,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA CLIPPERS_ACTION,NEW YORK_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,E. Freedom misses 2-pt layup from 4 ft,,0,0
1,1,11:36.0,,Defensive rebound by D. Jordan,0,0
2,1,11:21.0,,M. Teodosić makes 2-pt jump shot from 17 ft (assist by D. Jordan),0,2
3,1,11:04.0,C. Lee misses 2-pt jump shot from 13 ft,,0,2
4,1,11:01.0,,Defensive rebound by D. Jordan,0,2
5,1,10:54.0,,D. Jordan makes 2-pt layup from 1 ft (assist by M. Teodosić),0,4
6,1,10:37.0,Shooting foul by M. Teodosić (drawn by C. Lee),,0,4
7,1,10:37.0,C. Lee makes free throw 1 of 2,,1,4
8,1,10:37.0,C. Lee makes free throw 2 of 2,,2,4
9,1,10:26.0,,T. Harris misses 3-pt jump shot from 25 ft,2,4
10,1,10:22.0,Defensive rebound by E. Freedom,,2,4
11,1,10:04.0,E. Mudiay misses 2-pt jump shot from 14 ft,,2,4
12,1,10:00.0,Offensive rebound by E. Freedom,,2,4
13,1,9:59.0,E. Freedom makes 2-pt layup from 1 ft,,4,4
14,1,9:45.0,,Turnover by D. Jordan (bad pass),4,4
15,1,9:25.0,E. Freedom makes 2-pt layup at rim (assist by M. Beasley),,6,4
16,1,9:16.0,,C. Williams misses 2-pt jump shot from 1 ft (block by E. Freedom),6,4
17,1,9:06.0,,Offensive rebound by D. Jordan,6,4
18,1,9:06.0,,D. Jordan makes 2-pt layup at rim,6,6
19,1,8:57.0,M. Beasley misses 2-pt jump shot from 14 ft,,6,6
20,1,8:55.0,,Defensive rebound by D. Jordan,6,6
21,1,8:44.0,,T. Harris misses 2-pt jump shot from 8 ft,6,6
22,1,8:41.0,,Offensive rebound by D. Jordan,6,6
23,1,8:40.0,,D. Jordan misses 2-pt layup from 1 ft (block by M. Beasley),6,6
24,1,8:37.0,Defensive rebound by E. Mudiay,,6,6
25,1,8:36.0,Shooting foul by T. Harris (drawn by E. Mudiay),,6,6
26,1,8:36.0,E. Mudiay makes free throw 1 of 2,,7,6
27,1,8:36.0,E. Mudiay makes free throw 2 of 2,,8,6
