,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,,J. Redick misses 3-pt jump shot from 23 ft,0,0
1,1,11:42.0,Defensive rebound by D. Powell,,0,0
2,1,11:30.0,D. Smith misses 3-pt jump shot from 28 ft,,0,0
3,1,11:26.0,,Defensive rebound by D. Šarić,0,0
4,1,11:20.0,,Shooting foul by J. Motley (drawn by B. Simmons),0,0
5,1,11:20.0,,B. Simmons misses free throw 1 of 2,0,0
6,1,11:20.0,,Offensive rebound by Team,0,0
7,1,11:20.0,,B. Simmons makes free throw 2 of 2,0,1
8,1,11:07.0,H. Barnes misses 3-pt jump shot from 29 ft,,0,1
9,1,11:03.0,,Defensive rebound by R. Covington,0,1
10,1,10:58.0,,B. Simmons misses 2-pt hook shot from 10 ft,0,1
11,1,10:56.0,,Offensive rebound by A. Johnson,0,1
12,1,10:53.0,,J. Redick misses 2-pt jump shot from 21 ft,0,1
13,1,10:53.0,Defensive rebound by J. Motley,,0,1
14,1,10:42.0,J. Motley makes 2-pt dunk at rim (assist by D. Smith),,2,1
15,1,10:32.0,,R. Covington misses 2-pt jump shot from 15 ft,2,1
16,1,10:30.0,Defensive rebound by D. Smith,,2,1
17,1,10:23.0,D. Smith misses 2-pt jump shot from 18 ft,,2,1
18,1,10:21.0,,Defensive rebound by D. Šarić,2,1
19,1,10:00.0,,A. Johnson makes 2-pt dunk from 1 ft (assist by B. Simmons),2,3
20,1,9:37.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,2,3
21,1,9:35.0,,Defensive rebound by B. Simmons,2,3
22,1,9:27.0,,J. Redick misses 3-pt jump shot from 25 ft,2,3
23,1,9:23.0,Defensive rebound by H. Barnes,,2,3
24,1,9:11.0,J. Motley misses 2-pt jump shot from 22 ft,,2,3
25,1,9:07.0,,Defensive rebound by R. Covington,2,3
26,1,8:59.0,,D. Šarić makes 2-pt hook shot from 3 ft,2,5
27,1,8:39.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by J. Motley),,4,5
28,1,8:25.0,,Turnover by B. Simmons (bad pass; steal by D. Smith),4,5
29,1,8:16.0,D. Smith makes 2-pt jump shot from 6 ft,,6,5
30,1,8:07.0,,Shooting foul by D. Finney-Smith (drawn by B. Simmons),6,5
31,1,8:07.0,,B. Simmons misses free throw 1 of 2,6,5
32,1,8:07.0,,Offensive rebound by Team,6,5
33,1,8:07.0,,B. Simmons makes free throw 2 of 2,6,6
34,1,7:48.0,D. Powell makes 3-pt jump shot from 24 ft (assist by D. Finney-Smith),,9,6
35,1,7:38.0,,D. Šarić misses 3-pt jump shot from 26 ft,9,6
36,1,7:37.0,Defensive rebound by Team,,9,6
37,1,7:23.0,H. Barnes misses 3-pt jump shot from 27 ft,,9,6
38,1,7:21.0,,Defensive rebound by B. Simmons,9,6
39,1,7:14.0,,D. Šarić misses 3-pt jump shot from 23 ft,9,6
40,1,7:10.0,Defensive rebound by D. Powell,,9,6
41,1,6:50.0,J. Motley misses 2-pt layup from 3 ft,,9,6
42,1,6:48.0,,Defensive rebound by R. Covington,9,6
43,1,6:38.0,,Shooting foul by D. Smith (drawn by J. Redick),9,6
44,1,6:38.0,,Philadelphia full timeout,9,6
45,1,6:38.0,,J. Redick makes free throw 1 of 2,9,7
46,1,6:38.0,,J. Redick makes free throw 2 of 2,9,8
47,1,6:15.0,D. Finney-Smith makes 2-pt jump shot from 16 ft (assist by D. Powell),,11,8
48,1,5:48.0,,B. Simmons makes 2-pt layup from 1 ft (assist by D. Šarić),11,10
49,1,5:26.0,Turnover by D. Finney-Smith (lost ball; steal by B. Simmons),,11,10
50,1,5:22.0,,J. Redick misses 2-pt layup at rim,11,10
51,1,5:20.0,Defensive rebound by D. Finney-Smith,,11,10
52,1,5:08.0,H. Barnes misses 2-pt jump shot from 19 ft,,11,10
53,1,5:05.0,,Defensive rebound by R. Covington,11,10
54,1,4:59.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),11,13
55,1,4:39.0,Personal foul by A. Johnson (drawn by J. Motley),,11,13
56,1,4:39.0,,M. Belinelli enters the game for D. Šarić,11,13
57,1,4:39.0,,E. İlyasova enters the game for A. Johnson,11,13
58,1,4:39.0,,R. Holmes enters the game for J. Redick,11,13
59,1,4:29.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by D. Smith),,14,13
60,1,4:16.0,,B. Simmons makes 2-pt layup from 2 ft,14,15
61,1,3:58.0,H. Barnes misses 2-pt layup from 1 ft (block by R. Covington),,14,15
62,1,3:56.0,,Defensive rebound by M. Belinelli,14,15
63,1,3:56.0,,Turnover by M. Belinelli (turnover),14,15
64,1,3:56.0,,M. Fultz enters the game for B. Simmons,14,15
65,1,3:56.0,M. Kleber enters the game for J. Motley,,14,15
66,1,3:41.0,H. Barnes misses 3-pt jump shot from 25 ft,,14,15
67,1,3:37.0,,Defensive rebound by E. İlyasova,14,15
68,1,3:29.0,,E. İlyasova makes 2-pt jump shot from 20 ft (assist by R. Covington),14,17
69,1,3:11.0,Shooting foul by M. Fultz (drawn by H. Barnes),,14,17
70,1,3:11.0,H. Barnes misses free throw 1 of 2,,14,17
71,1,3:11.0,Offensive rebound by Team,,14,17
72,1,3:11.0,H. Barnes misses free throw 2 of 2,,14,17
73,1,3:08.0,,Defensive rebound by E. İlyasova,14,17
74,1,3:01.0,,M. Belinelli misses 2-pt jump shot from 20 ft,14,17
75,1,2:58.0,Defensive rebound by D. Powell,,14,17
76,1,2:51.0,Turnover by D. Smith (bad pass; steal by R. Holmes),,14,17
77,1,2:39.0,,Turnover by M. Fultz (bad pass; steal by D. Smith),14,17
78,1,2:36.0,Dallas full timeout,,14,17
79,1,2:36.0,Y. Ferrell enters the game for D. Finney-Smith,,14,17
80,1,2:28.0,H. Barnes misses 2-pt layup from 3 ft,,14,17
81,1,2:25.0,,Defensive rebound by M. Fultz,14,17
82,1,2:22.0,,M. Fultz misses 2-pt layup from 4 ft,14,17
83,1,2:19.0,Defensive rebound by M. Kleber,,14,17
84,1,2:13.0,H. Barnes misses 3-pt jump shot from 25 ft,,14,17
85,1,2:12.0,,Defensive rebound by Team,14,17
86,1,2:12.0,,J. Redick enters the game for R. Covington,14,17
87,1,2:03.0,,M. Belinelli makes 2-pt layup from 2 ft (assist by E. İlyasova),14,19
88,1,1:53.0,Shooting foul by R. Holmes (drawn by D. Powell),,14,19
89,1,1:53.0,D. Powell misses free throw 1 of 2,,14,19
90,1,1:53.0,Offensive rebound by Team,,14,19
91,1,1:53.0,D. McDermott enters the game for H. Barnes,,14,19
92,1,1:53.0,D. Powell makes free throw 2 of 2,,15,19
93,1,1:41.0,,R. Holmes makes 2-pt layup from 2 ft (assist by J. Redick),15,21
94,1,1:29.0,D. Powell misses 2-pt dunk from 2 ft,,15,21
95,1,1:26.0,,Defensive rebound by R. Holmes,15,21
96,1,1:19.0,,M. Fultz makes 2-pt jump shot from 8 ft (assist by J. Redick),15,23
97,1,1:08.0,D. Smith makes 2-pt layup from 2 ft,,17,23
98,1,1:05.0,Technical foul by D. Smith,,17,23
99,1,1:05.0,,M. Belinelli makes technical free throw,17,24
100,1,0:52.0,,Offensive foul by E. İlyasova (drawn by M. Kleber),17,24
101,1,0:52.0,,Turnover by E. İlyasova (offensive foul),17,24
102,1,0:41.0,D. McDermott misses 2-pt jump shot from 19 ft,,17,24
103,1,0:40.0,Offensive rebound by M. Kleber,,17,24
104,1,0:39.0,M. Kleber makes 2-pt layup from 2 ft,,19,24
105,1,0:32.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by E. İlyasova),19,26
106,1,0:28.0,D. Smith misses 3-pt jump shot from 25 ft,,19,26
107,1,0:26.0,,Defensive rebound by E. İlyasova,19,26
108,1,0:05.0,,J. Redick makes 2-pt jump shot from 22 ft,19,28
109,1,0:00.0,Shooting foul by M. Fultz (drawn by Y. Ferrell),,19,28
110,1,0:00.0,Y. Ferrell makes free throw 1 of 2,,20,28
111,1,0:00.0,Y. Ferrell misses free throw 2 of 2,,20,28
112,1,0:00.0,,Defensive rebound by R. Holmes,20,28
113,2,11:47.0,K. Collinsworth makes 2-pt hook shot from 2 ft,,22,28
114,2,11:32.0,,R. Holmes makes 2-pt dunk at rim (assist by M. Fultz),22,30
115,2,11:12.0,M. Kleber makes 2-pt hook shot from 2 ft (assist by H. Barnes),,24,30
116,2,10:50.0,,R. Holmes makes 2-pt jump shot from 2 ft (assist by J. Redick),24,32
117,2,10:26.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),,27,32
118,2,10:10.0,,J. Redick misses 2-pt jump shot from 20 ft (block by M. Kleber),27,32
119,2,10:08.0,Defensive rebound by Y. Ferrell,,27,32
120,2,10:02.0,D. McDermott makes 2-pt layup from 1 ft (assist by K. Collinsworth),,29,32
121,2,10:01.0,,Philadelphia full timeout,29,32
122,2,10:01.0,,R. Covington enters the game for J. Redick,29,32
123,2,9:45.0,,M. Belinelli misses 3-pt jump shot from 26 ft,29,32
124,2,9:45.0,Defensive rebound by M. Kleber,,29,32
125,2,9:32.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,29,32
126,2,9:29.0,,Defensive rebound by M. Fultz,29,32
127,2,9:25.0,,M. Fultz misses 2-pt layup from 3 ft,29,32
128,2,9:22.0,Defensive rebound by M. Kleber,,29,32
129,2,9:20.0,Turnover by M. Kleber (bad pass; steal by M. Fultz),,29,32
130,2,9:16.0,,M. Fultz makes 2-pt layup from 3 ft,29,34
131,2,9:12.0,Turnover by K. Collinsworth (lost ball; steal by R. Covington),,29,34
132,2,9:03.0,,E. İlyasova misses 2-pt jump shot from 6 ft,29,34
133,2,9:00.0,Defensive rebound by K. Collinsworth,,29,34
134,2,8:55.0,M. Kleber misses 3-pt jump shot from 24 ft,,29,34
135,2,8:52.0,,Defensive rebound by R. Holmes,29,34
136,2,8:40.0,,E. İlyasova misses 3-pt jump shot from 26 ft,29,34
137,2,8:37.0,Defensive rebound by H. Barnes,,29,34
138,2,8:29.0,H. Barnes makes 2-pt jump shot from 16 ft,,31,34
139,2,8:14.0,,M. Belinelli makes 2-pt jump shot from 19 ft (assist by E. İlyasova),31,36
140,2,7:57.0,H. Barnes makes 2-pt jump shot from 5 ft (assist by Y. Ferrell),,33,36
141,2,7:57.0,Shooting foul by M. Fultz (drawn by H. Barnes),,33,36
142,2,7:57.0,,B. Simmons enters the game for M. Fultz,33,36
143,2,7:57.0,,A. Johnson enters the game for R. Holmes,33,36
144,2,7:57.0,,D. Šarić enters the game for E. İlyasova,33,36
145,2,7:57.0,H. Barnes makes free throw 1 of 1,,34,36
146,2,7:40.0,,A. Johnson makes 2-pt hook shot from 2 ft (assist by B. Simmons),34,38
147,2,7:20.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,34,38
148,2,7:19.0,,Defensive rebound by Team,34,38
149,2,7:19.0,D. Smith enters the game for K. Collinsworth,,34,38
150,2,7:07.0,,A. Johnson makes 2-pt layup from 2 ft (assist by R. Covington),34,40
151,2,7:07.0,,Shooting foul by D. McDermott (drawn by A. Johnson),34,40
152,2,7:07.0,,A. Johnson misses free throw 1 of 1,34,40
153,2,7:07.0,Defensive rebound by M. Kleber,,34,40
154,2,6:54.0,D. McDermott misses 3-pt jump shot from 25 ft,,34,40
155,2,6:52.0,,Defensive rebound by M. Belinelli,34,40
156,2,6:44.0,,R. Covington makes 2-pt layup from 2 ft (assist by B. Simmons),34,42
157,2,6:43.0,Dallas full timeout,,34,42
158,2,6:32.0,Personal foul by D. Šarić (drawn by M. Kleber),,34,42
159,2,6:24.0,D. Smith misses 2-pt layup from 3 ft,,34,42
160,2,6:22.0,,Defensive rebound by A. Johnson,34,42
161,2,6:19.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by B. Simmons),34,45
162,2,6:03.0,H. Barnes misses 2-pt jump shot from 7 ft,,34,45
163,2,6:01.0,,Defensive rebound by D. Šarić,34,45
164,2,5:50.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by B. Simmons),34,48
