,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
0,1,11:42.0,,T. Hardaway misses 2-pt hook shot from 6 ft,0,0
1,1,11:36.0,Defensive rebound by G. Hill,,0,0
2,1,11:24.0,W. Cauley-Stein misses 2-pt dunk from 1 ft (block by K. Porziņģis),,0,0
3,1,11:21.0,,Defensive rebound by J. Jack,0,0
4,1,11:18.0,,E. Freedom misses 2-pt layup from 1 ft (block by B. Bogdanović),0,0
5,1,11:16.0,Defensive rebound by W. Cauley-Stein,,0,0
6,1,11:05.0,W. Cauley-Stein makes 2-pt hook shot from 3 ft,,2,0
7,1,10:49.0,,E. Freedom misses 2-pt layup from 1 ft,2,0
8,1,10:46.0,Defensive rebound by Z. Randolph,,2,0
9,1,10:42.0,G. Temple misses 3-pt jump shot from 22 ft,,2,0
10,1,10:39.0,Offensive rebound by W. Cauley-Stein,,2,0
11,1,10:37.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by W. Cauley-Stein),,4,0
12,1,10:25.0,,Turnover by E. Freedom (out of bounds lost ball),4,0
13,1,10:10.0,G. Temple makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,7,0
14,1,9:54.0,,Personal foul by G. Temple (drawn by T. Hardaway),7,0
15,1,9:49.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,7,0
16,1,9:46.0,Defensive rebound by G. Temple,,7,0
17,1,9:27.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,7,0
18,1,9:25.0,,Defensive rebound by E. Freedom,7,0
19,1,9:21.0,,Turnover by J. Jack (bad pass; steal by B. Bogdanović),7,0
20,1,9:11.0,Personal foul by E. Freedom (drawn by Z. Randolph),,7,0
21,1,9:00.0,G. Hill makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,10,0
22,1,8:38.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,10,0
23,1,8:33.0,,Offensive rebound by E. Freedom,10,0
