,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,Turnover by M. Morris (bad pass; steal by J. Smith),0,0
1,1,11:34.0,Shooting foul by B. Beal (drawn by J. Crowder),,0,0
2,1,11:34.0,J. Crowder makes free throw 1 of 2,,1,0
3,1,11:34.0,J. Crowder makes free throw 2 of 2,,2,0
4,1,11:18.0,,Turnover by B. Beal (lost ball; steal by L. James),2,0
5,1,11:14.0,D. Rose makes 2-pt layup from 1 ft (assist by L. James),,4,0
6,1,10:58.0,,M. Morris makes 2-pt layup at rim,4,2
7,1,10:34.0,K. Love misses 3-pt jump shot from 23 ft,,4,2
8,1,10:31.0,,Defensive rebound by M. Morris,4,2
9,1,10:30.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),4,5
10,1,10:10.0,K. Love makes 3-pt jump shot from 22 ft (assist by L. James),,7,5
11,1,9:48.0,,M. Morris misses 2-pt jump shot from 9 ft,7,5
12,1,9:47.0,,Offensive rebound by O. Porter,7,5
13,1,9:45.0,,Turnover by O. Porter (turnover; steal by K. Love),7,5
14,1,9:39.0,L. James makes 2-pt layup from 2 ft,,9,5
15,1,9:32.0,,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),9,7
16,1,9:21.0,Cleveland full timeout,,9,7
17,1,9:11.0,L. James makes 2-pt hook shot from 1 ft,,11,7
18,1,8:58.0,,J. Wall misses 3-pt jump shot from 26 ft,11,7
19,1,8:55.0,,Offensive rebound by O. Porter,11,7
20,1,8:55.0,,O. Porter makes 2-pt layup from 1 ft,11,9
21,1,8:47.0,D. Rose makes 2-pt layup from 1 ft,,13,9
22,1,8:26.0,,M. Gortat makes 2-pt hook shot from 10 ft,13,11
23,1,8:13.0,J. Crowder misses 2-pt jump shot from 19 ft,,13,11
24,1,8:11.0,,Defensive rebound by M. Gortat,13,11
25,1,8:05.0,,Turnover by M. Gortat (bad pass; steal by J. Crowder),13,11
26,1,7:51.0,L. James makes 2-pt layup at rim,,15,11
