,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
0,1,11:42.0,A. Davis misses 2-pt jump shot from 20 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Teague,0,0
2,1,11:27.0,,J. Teague misses 2-pt jump shot from 7 ft,0,0
3,1,11:24.0,,Offensive rebound by T. Gibson,0,0
4,1,11:22.0,,T. Gibson makes 2-pt layup at rim,0,2
5,1,11:13.0,R. Rondo misses 2-pt jump shot from 20 ft,,0,2
6,1,11:13.0,,Defensive rebound by K. Towns,0,2
7,1,10:53.0,,K. Towns misses 2-pt jump shot from 5 ft,0,2
8,1,10:50.0,,Offensive rebound by K. Towns,0,2
9,1,10:49.0,,K. Towns makes 2-pt layup from 1 ft,0,4
10,1,10:42.0,E. Moore misses 2-pt jump shot from 12 ft,,0,4
11,1,10:39.0,Offensive rebound by E. Moore,,0,4
12,1,10:38.0,Turnover by E. Moore (out of bounds lost ball),,0,4
13,1,10:23.0,,T. Gibson makes 2-pt dunk at rim (assist by J. Butler),0,6
14,1,10:11.0,J. Holiday misses 2-pt jump shot from 11 ft,,0,6
15,1,10:09.0,Offensive rebound by A. Davis,,0,6
16,1,10:07.0,A. Davis misses 2-pt jump shot from 13 ft,,0,6
17,1,10:04.0,,Defensive rebound by T. Gibson,0,6
18,1,9:55.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),0,9
19,1,9:50.0,New Orleans full timeout,,0,9
20,1,9:38.0,Shooting foul by K. Towns (drawn by A. Davis),,0,9
21,1,9:38.0,A. Davis makes free throw 1 of 2,,1,9
22,1,9:38.0,A. Davis makes free throw 2 of 2,,2,9
23,1,9:21.0,,Turnover by A. Wiggins (bad pass; steal by E. Moore),2,9
24,1,9:17.0,D. Cunningham makes 2-pt layup at rim (assist by E. Moore),,4,9
25,1,8:53.0,,Turnover by J. Butler (bad pass; steal by J. Holiday),4,9
26,1,8:47.0,E. Moore misses 3-pt jump shot from 25 ft,,4,9
27,1,8:44.0,,Defensive rebound by K. Towns,4,9
28,1,8:32.0,,T. Gibson misses 2-pt hook shot from 5 ft,4,9
29,1,8:28.0,,Offensive rebound by K. Towns,4,9
30,1,8:28.0,,K. Towns makes 2-pt layup at rim,4,11
31,1,8:19.0,D. Cunningham misses 2-pt layup from 5 ft (block by T. Gibson),,4,11
32,1,8:15.0,,Defensive rebound by J. Butler,4,11
33,1,8:07.0,,A. Wiggins misses 2-pt jump shot from 5 ft,4,11
34,1,8:05.0,Defensive rebound by R. Rondo,,4,11
35,1,7:56.0,A. Davis misses 2-pt jump shot from 11 ft,,4,11
36,1,7:53.0,,Defensive rebound by K. Towns,4,11
37,1,7:47.0,,A. Wiggins makes 2-pt layup from 5 ft (assist by J. Teague),4,13
38,1,7:27.0,J. Holiday misses 2-pt jump shot from 20 ft,,4,13
39,1,7:24.0,,Defensive rebound by K. Towns,4,13
40,1,7:19.0,,J. Teague makes 2-pt layup at rim,4,15
41,1,7:05.0,D. Cunningham misses 3-pt jump shot from 23 ft,,4,15
42,1,7:02.0,,Defensive rebound by T. Gibson,4,15
43,1,6:50.0,,J. Teague misses 2-pt layup from 1 ft,4,15
44,1,6:48.0,Defensive rebound by D. Cunningham,,4,15
45,1,6:43.0,A. Davis makes 2-pt layup from 1 ft (assist by R. Rondo),,6,15
46,1,6:30.0,,J. Butler makes 2-pt dunk from 1 ft,6,17
47,1,6:15.0,A. Davis misses 2-pt jump shot from 21 ft,,6,17
48,1,6:12.0,,Defensive rebound by J. Butler,6,17
49,1,6:07.0,,J. Butler makes 3-pt jump shot from 25 ft,6,20
50,1,5:55.0,R. Rondo misses 3-pt jump shot from 25 ft,,6,20
51,1,5:52.0,,Defensive rebound by K. Towns,6,20
52,1,5:41.0,,T. Gibson makes 2-pt dunk from 1 ft,6,22
53,1,5:37.0,New Orleans full timeout,,6,22
54,1,5:37.0,N. Mirotić enters the game for R. Rondo,,6,22
55,1,5:37.0,D. Miller enters the game for D. Cunningham,,6,22
56,1,5:27.0,N. Mirotić misses 3-pt jump shot from 24 ft,,6,22
57,1,5:23.0,Offensive rebound by A. Davis,,6,22
58,1,5:23.0,A. Davis makes 2-pt jump shot from 4 ft,,8,22
59,1,5:15.0,,Personal foul by N. Mirotić (drawn by K. Towns),8,22
60,1,5:06.0,,Shooting foul by A. Davis (drawn by K. Towns),8,22
61,1,5:06.0,,K. Towns makes free throw 1 of 2,8,23
62,1,5:06.0,,K. Towns misses free throw 2 of 2,8,23
63,1,5:03.0,Defensive rebound by N. Mirotić,,8,23
64,1,4:50.0,A. Davis misses 2-pt layup from 1 ft,,8,23
