,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:46.0,,D. Favors makes 2-pt jump shot from 5 ft (assist by J. Ingles),0,2
1,1,11:31.0,P. Millsap misses 2-pt jump shot from 10 ft,,0,2
2,1,11:27.0,,Defensive rebound by R. Gobert,0,2
3,1,11:17.0,,D. Favors misses 2-pt jump shot from 11 ft,0,2
4,1,11:13.0,Defensive rebound by J. Murray,,0,2
5,1,10:55.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,3,2
6,1,10:37.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),3,4
7,1,10:25.0,W. Chandler misses 3-pt jump shot from 22 ft,,3,4
8,1,10:22.0,,Defensive rebound by R. Rubio,3,4
9,1,10:21.0,,Turnover by R. Rubio (bad pass),3,4
10,1,9:58.0,W. Chandler misses 3-pt jump shot from 23 ft,,3,4
11,1,9:54.0,Offensive rebound by J. Murray,,3,4
12,1,9:53.0,Turnover by J. Murray (bad pass; steal by J. Ingles),,3,4
13,1,9:43.0,,Shooting foul by P. Millsap (drawn by D. Mitchell),3,4
14,1,9:43.0,,D. Mitchell makes free throw 1 of 2,3,5
15,1,9:43.0,,D. Mitchell makes free throw 2 of 2,3,6
16,1,9:18.0,J. Murray misses 3-pt jump shot from 23 ft,,3,6
17,1,9:16.0,,Defensive rebound by D. Favors,3,6
18,1,9:05.0,,D. Mitchell misses 2-pt jump shot from 8 ft,3,6
19,1,9:01.0,Defensive rebound by N. Jokić,,3,6
20,1,8:51.0,N. Jokić misses 2-pt hook shot from 2 ft (block by D. Mitchell),,3,6
21,1,8:48.0,,Defensive rebound by R. Rubio,3,6
22,1,8:44.0,,R. Rubio misses 2-pt jump shot from 17 ft,3,6
23,1,8:40.0,Defensive rebound by P. Millsap,,3,6
24,1,8:26.0,W. Chandler misses 2-pt jump shot from 15 ft,,3,6
25,1,8:23.0,,Defensive rebound by R. Gobert,3,6
26,1,8:15.0,,R. Rubio makes 2-pt jump shot from 18 ft,3,8
27,1,7:59.0,N. Jokić makes 2-pt jump shot from 19 ft (assist by J. Murray),,5,8
28,1,7:36.0,,D. Mitchell misses 2-pt layup from 1 ft,5,8
29,1,7:33.0,Defensive rebound by N. Jokić,,5,8
30,1,7:23.0,W. Chandler makes 2-pt dunk from 1 ft,,7,8
31,1,7:16.0,,Utah full timeout,7,8
32,1,7:16.0,,J. Johnson enters the game for D. Favors,7,8
33,1,7:05.0,,J. Johnson makes 2-pt jump shot from 8 ft,7,10
34,1,6:46.0,N. Jokić misses 2-pt layup from 2 ft,,7,10
35,1,6:43.0,,Defensive rebound by J. Ingles,7,10
36,1,6:39.0,,D. Mitchell makes 2-pt jump shot from 9 ft,7,12
