,QUARTER,TIME_REMAINING,MIAMI_ACTION,PORTLAND_ACTION,MIAMI_SCORE,PORTLAND_SCORE
0,1,11:43.0,B. Adebayo misses 2-pt jump shot from 1 ft (block by M. Harkless),,0,0
1,1,11:41.0,,Defensive rebound by C. McCollum,0,0
2,1,11:36.0,,Shooting foul by B. Adebayo (drawn by J. Nurkić),0,0
3,1,11:36.0,,J. Nurkić makes free throw 1 of 2,0,1
4,1,11:36.0,,J. Nurkić makes free throw 2 of 2,0,2
5,1,11:21.0,J. Richardson misses 3-pt jump shot from 24 ft,,0,2
6,1,11:20.0,,Defensive rebound by A. Aminu,0,2
7,1,11:10.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by M. Harkless),0,4
8,1,10:46.0,B. Adebayo makes 2-pt jump shot from 2 ft,,2,4
9,1,10:28.0,,J. Nurkić makes 2-pt layup at rim,2,6
10,1,10:11.0,J. Richardson misses 2-pt layup at rim (block by C. McCollum),,2,6
11,1,10:11.0,Offensive rebound by Team,,2,6
12,1,10:09.0,T. Johnson misses 2-pt jump shot from 15 ft,,2,6
13,1,10:07.0,,Defensive rebound by Team,2,6
14,1,9:56.0,,Offensive foul by J. Nurkić (drawn by B. Adebayo),2,6
15,1,9:56.0,,Turnover by J. Nurkić (offensive foul),2,6
16,1,9:46.0,Turnover by B. Adebayo (traveling),,2,6
17,1,9:27.0,,J. Nurkić misses 2-pt layup from 1 ft,2,6
18,1,9:25.0,Defensive rebound by J. Johnson,,2,6
19,1,9:21.0,G. Dragić makes 2-pt layup at rim,,4,6
20,1,9:14.0,,D. Lillard misses 3-pt jump shot from 29 ft,4,6
21,1,9:10.0,Defensive rebound by T. Johnson,,4,6
22,1,9:07.0,G. Dragić misses 3-pt jump shot from 24 ft,,4,6
23,1,9:03.0,,Defensive rebound by D. Lillard,4,6
24,1,9:01.0,,Personal foul by J. Richardson (drawn by D. Lillard),4,6
25,1,8:50.0,,Turnover by J. Nurkić (lost ball; steal by G. Dragić),4,6
26,1,8:47.0,J. Richardson makes 2-pt layup from 1 ft (assist by T. Johnson),,6,6
27,1,8:35.0,,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),6,8
28,1,8:24.0,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Johnson),,9,8
29,1,8:07.0,,C. McCollum misses 2-pt jump shot from 15 ft,9,8
30,1,8:05.0,Defensive rebound by G. Dragić,,9,8
31,1,7:56.0,G. Dragić makes 2-pt jump shot from 4 ft,,11,8
32,1,7:45.0,,Shooting foul by J. Richardson (drawn by C. McCollum),11,8
33,1,7:45.0,,C. McCollum makes free throw 1 of 2,11,9
34,1,7:45.0,W. Ellington enters the game for J. Richardson,,11,9
35,1,7:45.0,,C. McCollum makes free throw 2 of 2,11,10
36,1,7:32.0,T. Johnson misses 2-pt jump shot from 4 ft,,11,10
37,1,7:30.0,,Defensive rebound by J. Nurkić,11,10
38,1,7:12.0,,J. Nurkić misses 2-pt layup from 8 ft,11,10
39,1,7:09.0,,Offensive rebound by D. Lillard,11,10
40,1,7:09.0,,D. Lillard misses 2-pt layup at rim,11,10
41,1,7:08.0,,Offensive rebound by J. Nurkić,11,10
42,1,7:05.0,,J. Nurkić makes 2-pt hook shot from 2 ft,11,12
43,1,7:00.0,J. Johnson misses 3-pt jump shot from 22 ft,,11,12
44,1,6:57.0,,Defensive rebound by J. Nurkić,11,12
45,1,6:51.0,,D. Lillard makes 3-pt jump shot from 25 ft,11,15
46,1,6:51.0,,Shooting foul by G. Dragić (drawn by D. Lillard),11,15
47,1,6:51.0,,Portland full timeout,11,15
48,1,6:51.0,,D. Lillard makes free throw 1 of 1,11,16
49,1,6:32.0,W. Ellington misses 3-pt jump shot from 22 ft,,11,16
50,1,6:30.0,,Defensive rebound by J. Nurkić,11,16
51,1,6:21.0,,M. Harkless misses 3-pt jump shot from 24 ft,11,16
52,1,6:18.0,Defensive rebound by W. Ellington,,11,16
53,1,6:13.0,Turnover by J. Johnson (bad pass; steal by M. Harkless),,11,16
54,1,6:09.0,,C. McCollum misses 3-pt jump shot from 24 ft,11,16
55,1,6:06.0,Defensive rebound by J. Johnson,,11,16
56,1,6:00.0,T. Johnson misses 2-pt layup from 1 ft,,11,16
57,1,5:59.0,,Defensive rebound by J. Nurkić,11,16
58,1,5:48.0,,D. Lillard misses 2-pt layup from 1 ft (block by B. Adebayo),11,16
59,1,5:42.0,,Offensive rebound by M. Harkless,11,16
60,1,5:42.0,,M. Harkless misses 2-pt dunk at rim,11,16
61,1,5:41.0,Defensive rebound by B. Adebayo,,11,16
62,1,5:34.0,G. Dragić makes 2-pt jump shot from 16 ft,,13,16
63,1,5:19.0,,Shooting foul by W. Ellington (drawn by M. Harkless),13,16
64,1,5:19.0,,M. Harkless makes free throw 1 of 2,13,17
65,1,5:19.0,R. McGruder enters the game for T. Johnson,,13,17
66,1,5:19.0,,M. Harkless makes free throw 2 of 2,13,18
67,1,5:08.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by G. Dragić),,16,18
68,1,4:50.0,,D. Lillard misses 2-pt layup from 2 ft (block by R. McGruder),16,18
69,1,4:47.0,Defensive rebound by W. Ellington,,16,18
70,1,4:46.0,Shooting foul by A. Aminu (drawn by G. Dragić),,16,18
71,1,4:46.0,G. Dragić makes free throw 1 of 2,,17,18
72,1,4:46.0,,E. Turner enters the game for M. Harkless,17,18
73,1,4:46.0,,E. Davis enters the game for A. Aminu,17,18
74,1,4:46.0,,Z. Collins enters the game for J. Nurkić,17,18
75,1,4:46.0,K. Olynyk enters the game for B. Adebayo,,17,18
76,1,4:46.0,G. Dragić makes free throw 2 of 2,,18,18
77,1,4:26.0,,C. McCollum makes 2-pt jump shot from 16 ft,18,20
78,1,4:02.0,J. Johnson makes 2-pt jump shot from 3 ft,,20,20
79,1,4:02.0,Shooting foul by E. Davis (drawn by J. Johnson),,20,20
80,1,4:02.0,J. Johnson makes free throw 1 of 1,,21,20
81,1,3:43.0,,Shooting foul by K. Olynyk (drawn by C. McCollum),21,20
82,1,3:43.0,,C. McCollum makes free throw 1 of 2,21,21
83,1,3:43.0,,P. Connaughton enters the game for D. Lillard,21,21
84,1,3:43.0,,C. McCollum misses free throw 2 of 2,21,21
85,1,3:40.0,Defensive rebound by J. Johnson,,21,21
86,1,3:34.0,G. Dragić makes 2-pt jump shot from 8 ft (assist by K. Olynyk),,23,21
87,1,3:19.0,,E. Turner makes 2-pt jump shot from 8 ft,23,23
88,1,3:07.0,Turnover by K. Olynyk (out of bounds lost ball),,23,23
89,1,3:07.0,Miami full timeout,,23,23
90,1,3:07.0,,D. Lillard enters the game for C. McCollum,23,23
91,1,2:48.0,,Z. Collins makes 2-pt jump shot from 19 ft (assist by D. Lillard),23,25
92,1,2:31.0,R. McGruder misses 2-pt hook shot from 3 ft,,23,25
93,1,2:29.0,,Defensive rebound by Z. Collins,23,25
94,1,2:17.0,,Shooting foul by R. McGruder (drawn by D. Lillard),23,25
95,1,2:17.0,,D. Lillard misses free throw 1 of 2,23,25
96,1,2:17.0,,Offensive rebound by Team,23,25
97,1,2:17.0,J. Winslow enters the game for J. Johnson,,23,25
98,1,2:17.0,,D. Lillard makes free throw 2 of 2,23,26
99,1,2:11.0,Turnover by G. Dragić (step out of bounds),,23,26
100,1,2:11.0,T. Johnson enters the game for G. Dragić,,23,26
101,1,1:53.0,,Turnover by D. Lillard (out of bounds lost ball),23,26
102,1,1:37.0,W. Ellington misses 3-pt jump shot from 24 ft,,23,26
103,1,1:35.0,,Defensive rebound by E. Davis,23,26
104,1,1:29.0,Violation by W. Ellington (kicked ball),,23,26
105,1,1:19.0,,P. Connaughton makes 3-pt jump shot from 24 ft (assist by D. Lillard),23,29
