,QUARTER,TIME_REMAINING,DENVER_ACTION,WASHINGTON_ACTION,DENVER_SCORE,WASHINGTON_SCORE
0,1,11:38.0,J. Murray misses 3-pt jump shot from 27 ft,,0,0
1,1,11:32.0,,Defensive rebound by B. Beal,0,0
2,1,11:18.0,,M. Gortat makes 2-pt jump shot from 12 ft (assist by B. Beal),0,2
3,1,11:00.0,W. Barton misses 2-pt jump shot from 9 ft,,0,2
4,1,10:57.0,,Defensive rebound by M. Gortat,0,2
5,1,10:44.0,,M. Morris misses 2-pt jump shot from 19 ft,0,2
6,1,10:40.0,Defensive rebound by W. Chandler,,0,2
7,1,10:28.0,P. Millsap misses 2-pt jump shot from 12 ft,,0,2
8,1,10:28.0,,Defensive rebound by Team,0,2
9,1,10:11.0,,M. Morris misses 3-pt jump shot from 25 ft,0,2
10,1,10:07.0,Defensive rebound by W. Barton,,0,2
11,1,10:04.0,W. Barton misses 2-pt jump shot from 16 ft,,0,2
12,1,10:01.0,,Defensive rebound by O. Porter,0,2
13,1,9:45.0,,Turnover by M. Gortat (bad pass; steal by W. Barton),0,2
14,1,9:38.0,W. Barton makes 3-pt jump shot from 25 ft,,3,2
15,1,9:21.0,,B. Beal makes 2-pt jump shot from 19 ft (assist by M. Morris),3,4
16,1,9:09.0,N. Jokić misses 2-pt layup from 2 ft,,3,4
17,1,9:07.0,,Defensive rebound by O. Porter,3,4
18,1,9:02.0,,Personal foul by J. Murray (drawn by O. Porter),3,4
19,1,8:48.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by T. Satoranský),3,7
20,1,8:29.0,J. Murray makes 3-pt jump shot from 25 ft (assist by P. Millsap),,6,7
21,1,8:14.0,,Shooting foul by P. Millsap (drawn by M. Gortat),6,7
22,1,8:14.0,,M. Gortat makes free throw 1 of 2,6,8
23,1,8:14.0,,M. Gortat makes free throw 2 of 2,6,9
24,1,8:01.0,W. Chandler makes 3-pt jump shot from 27 ft (assist by P. Millsap),,9,9
25,1,7:36.0,,Turnover by T. Satoranský (lost ball; steal by J. Murray),9,9
26,1,7:27.0,W. Barton misses 3-pt jump shot from 27 ft,,9,9
27,1,7:21.0,,Defensive rebound by M. Morris,9,9
28,1,7:09.0,,M. Gortat makes 2-pt jump shot from 8 ft,9,11
29,1,6:38.0,Shooting foul by M. Gortat (drawn by N. Jokić),,9,11
30,1,6:38.0,,Washington full timeout,9,11
31,1,6:38.0,N. Jokić makes free throw 1 of 2,,10,11
32,1,6:38.0,N. Jokić makes free throw 2 of 2,,11,11
33,1,6:27.0,,T. Satoranský misses 2-pt layup from 4 ft,11,11
34,1,6:25.0,Defensive rebound by P. Millsap,,11,11
35,1,6:15.0,N. Jokić misses 2-pt hook shot from 7 ft,,11,11
36,1,6:13.0,,Defensive rebound by M. Gortat,11,11
37,1,6:09.0,,T. Satoranský misses 2-pt layup from 4 ft (block by W. Barton),11,11
38,1,6:06.0,,Offensive rebound by M. Gortat,11,11
39,1,6:05.0,,O. Porter misses 2-pt layup from 2 ft (block by W. Barton),11,11
40,1,6:02.0,,Offensive rebound by O. Porter,11,11
41,1,6:02.0,,Turnover by T. Satoranský (out of bounds lost ball),11,11
42,1,5:49.0,J. Murray makes 3-pt jump shot from 26 ft (assist by P. Millsap),,14,11
43,1,5:35.0,,M. Morris misses 2-pt jump shot from 15 ft,14,11
44,1,5:32.0,Defensive rebound by N. Jokić,,14,11
45,1,5:18.0,Personal foul by T. Satoranský (drawn by P. Millsap),,14,11
46,1,5:18.0,M. Plumlee enters the game for N. Jokić,,14,11
