,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
0,1,11:48.0,,A. Baynes makes 2-pt dunk at rim (assist by K. Irving),0,2
1,1,11:31.0,N. Batum misses 3-pt jump shot from 27 ft,,0,2
2,1,11:31.0,Offensive rebound by D. Howard,,0,2
3,1,11:29.0,D. Howard makes 2-pt layup at rim,,2,2
4,1,11:29.0,Shooting foul by A. Baynes (drawn by D. Howard),,2,2
5,1,11:29.0,D. Howard misses free throw 1 of 1,,2,2
6,1,11:25.0,,Defensive rebound by A. Horford,2,2
7,1,11:16.0,,K. Irving makes 3-pt jump shot from 26 ft,2,5
8,1,10:56.0,D. Howard misses 2-pt jump shot from 18 ft,,2,5
9,1,10:54.0,,Defensive rebound by J. Tatum,2,5
10,1,10:44.0,,J. Brown makes 2-pt jump shot from 18 ft (assist by K. Irving),2,7
11,1,10:26.0,D. Howard misses 2-pt jump shot from 14 ft,,2,7
12,1,10:25.0,,Defensive rebound by J. Brown,2,7
13,1,10:20.0,,Shooting foul by D. Howard (drawn by J. Brown),2,7
14,1,10:20.0,,J. Brown makes free throw 1 of 2,2,8
15,1,10:20.0,,J. Brown makes free throw 2 of 2,2,9
16,1,10:11.0,Shooting foul by J. Brown (drawn by K. Walker),,2,9
17,1,10:11.0,K. Walker makes free throw 1 of 2,,3,9
18,1,10:11.0,K. Walker misses free throw 2 of 2,,3,9
19,1,10:09.0,,Defensive rebound by A. Baynes,3,9
20,1,10:01.0,,K. Irving misses 2-pt jump shot from 16 ft,3,9
21,1,9:58.0,Defensive rebound by M. Williams,,3,9
22,1,9:47.0,K. Walker makes 2-pt jump shot from 16 ft,,5,9
23,1,9:36.0,,A. Baynes makes 2-pt jump shot from 16 ft (assist by K. Irving),5,11
24,1,9:20.0,N. Batum misses 3-pt jump shot from 26 ft,,5,11
25,1,9:18.0,,Defensive rebound by J. Tatum,5,11
26,1,9:09.0,,J. Brown makes 2-pt jump shot from 6 ft,5,13
27,1,8:55.0,K. Walker makes 3-pt jump shot from 26 ft,,8,13
28,1,8:39.0,,K. Irving makes 2-pt jump shot from 17 ft,8,15
29,1,8:18.0,K. Walker makes 3-pt jump shot from 25 ft,,11,15
30,1,7:59.0,,A. Horford misses 2-pt jump shot from 12 ft,11,15
31,1,7:57.0,,Offensive rebound by Team,11,15
32,1,7:51.0,,J. Tatum misses 2-pt layup from 3 ft,11,15
33,1,7:49.0,,Offensive rebound by Team,11,15
34,1,7:39.0,,Turnover by A. Baynes (bad pass; steal by N. Batum),11,15
35,1,7:33.0,K. Walker makes 2-pt layup from 3 ft (assist by N. Batum),,13,15
36,1,7:22.0,,K. Irving makes 2-pt jump shot from 19 ft,13,17
