,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,D. Gallinari makes 2-pt jump shot from 16 ft (assist by P. Beverley),0,2
1,1,11:23.0,A. Drummond makes 2-pt layup from 2 ft,,2,2
2,1,11:11.0,,B. Griffin misses 2-pt layup from 2 ft,2,2
3,1,11:08.0,Defensive rebound by A. Drummond,,2,2
4,1,10:59.0,T. Harris misses 2-pt jump shot from 6 ft,,2,2
5,1,10:55.0,,Defensive rebound by D. Jordan,2,2
6,1,10:47.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by B. Griffin),2,5
7,1,10:31.0,Turnover by A. Drummond (bad pass; steal by A. Rivers),,2,5
8,1,10:27.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),2,7
9,1,10:09.0,A. Drummond makes 2-pt layup from 1 ft (assist by A. Bradley),,4,7
10,1,9:46.0,,Turnover by A. Rivers (lost ball; steal by S. Johnson),4,7
11,1,9:42.0,S. Johnson makes 2-pt dunk at rim (assist by T. Harris),,6,7
12,1,9:23.0,,B. Griffin misses 2-pt hook shot from 2 ft,6,7
13,1,9:21.0,,Offensive rebound by D. Jordan,6,7
14,1,9:21.0,,D. Jordan misses 2-pt layup at rim,6,7
15,1,9:21.0,,Offensive rebound by D. Jordan,6,7
16,1,9:21.0,,Turnover by D. Jordan (bad pass),6,7
17,1,9:12.0,Personal foul by P. Beverley (drawn by R. Jackson),,6,7
18,1,9:02.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by R. Jackson),,9,7
19,1,8:36.0,,Shooting foul by T. Harris (drawn by B. Griffin),9,7
20,1,8:36.0,,B. Griffin makes free throw 1 of 2,9,8
21,1,8:36.0,,B. Griffin makes free throw 2 of 2,9,9
22,1,8:25.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by A. Drummond),,12,9
23,1,8:12.0,,P. Beverley misses 2-pt layup from 1 ft,12,9
24,1,8:10.0,Defensive rebound by S. Johnson,,12,9
25,1,8:07.0,A. Drummond makes 2-pt dunk at rim (assist by S. Johnson),,14,9
26,1,7:45.0,,Shooting foul by S. Johnson (drawn by D. Gallinari),14,9
27,1,7:45.0,,D. Gallinari makes free throw 1 of 2,14,10
28,1,7:45.0,,D. Gallinari makes free throw 2 of 2,14,11
29,1,7:33.0,S. Johnson misses 2-pt jump shot from 15 ft,,14,11
30,1,7:28.0,,Defensive rebound by B. Griffin,14,11
31,1,7:25.0,,A. Rivers misses 3-pt jump shot from 26 ft,14,11
32,1,7:20.0,Defensive rebound by S. Johnson,,14,11
33,1,7:10.0,S. Johnson misses 3-pt jump shot from 25 ft,,14,11
34,1,7:06.0,,Defensive rebound by B. Griffin,14,11
35,1,7:01.0,,D. Gallinari misses 3-pt jump shot from 22 ft,14,11
36,1,6:57.0,,Offensive rebound by D. Jordan,14,11
37,1,6:50.0,,Shooting foul by A. Drummond (drawn by B. Griffin),14,11
38,1,6:50.0,,LA Clippers full timeout,14,11
39,1,6:50.0,,B. Griffin misses free throw 1 of 2,14,11
40,1,6:50.0,,Offensive rebound by Team,14,11
41,1,6:50.0,,B. Griffin makes free throw 2 of 2,14,12
42,1,6:32.0,R. Jackson makes 2-pt jump shot from 9 ft,,16,12
43,1,6:06.0,,B. Griffin misses 3-pt jump shot from 24 ft,16,12
44,1,6:03.0,Defensive rebound by A. Bradley,,16,12
45,1,5:54.0,A. Bradley misses 2-pt jump shot from 16 ft,,16,12
46,1,5:51.0,,Defensive rebound by P. Beverley,16,12
47,1,5:46.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by B. Griffin),16,15
48,1,5:28.0,Turnover by A. Drummond (bad pass),,16,15
49,1,5:14.0,,Turnover by P. Beverley (bad pass; steal by A. Bradley),16,15
50,1,5:09.0,A. Bradley makes 2-pt jump shot from 20 ft,,18,15
51,1,4:47.0,,P. Beverley misses 3-pt jump shot from 24 ft,18,15
52,1,4:45.0,Defensive rebound by A. Drummond,,18,15
53,1,4:41.0,R. Jackson makes 2-pt jump shot from 4 ft,,20,15
54,1,4:24.0,,Personal block foul by A. Drummond (drawn by A. Rivers),20,15
55,1,4:24.0,,L. Williams enters the game for P. Beverley,20,15
56,1,4:24.0,J. Leuer enters the game for A. Drummond,,20,15
57,1,4:12.0,,D. Gallinari misses 2-pt jump shot from 12 ft,20,15
58,1,4:09.0,Defensive rebound by R. Jackson,,20,15
59,1,4:04.0,R. Jackson misses 2-pt jump shot from 19 ft,,20,15
60,1,4:00.0,,Defensive rebound by D. Gallinari,20,15
61,1,3:51.0,,A. Rivers misses 2-pt layup from 1 ft,20,15
62,1,3:49.0,Defensive rebound by J. Leuer,,20,15
63,1,3:45.0,T. Harris makes 2-pt jump shot from 6 ft,,22,15
64,1,3:25.0,,B. Griffin misses 2-pt layup from 1 ft,22,15
65,1,3:16.0,,Offensive rebound by D. Jordan,22,15
66,1,3:16.0,,D. Jordan misses 2-pt layup at rim,22,15
67,1,3:15.0,,Offensive rebound by A. Rivers,22,15
68,1,3:15.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by D. Gallinari),22,18
69,1,3:01.0,A. Bradley misses 3-pt jump shot from 25 ft,,22,18
70,1,2:58.0,,Defensive rebound by B. Griffin,22,18
71,1,2:58.0,,Personal foul by T. Harris (drawn by D. Jordan),22,18
72,1,2:58.0,Detroit full timeout,,22,18
73,1,2:58.0,,S. Thornwell enters the game for D. Gallinari,22,18
74,1,2:58.0,,W. Johnson enters the game for B. Griffin,22,18
75,1,2:58.0,I. Smith enters the game for R. Jackson,,22,18
76,1,2:58.0,H. Ellenson enters the game for S. Johnson,,22,18
77,1,2:58.0,R. Bullock enters the game for T. Harris,,22,18
78,1,2:58.0,,D. Jordan misses free throw 1 of 2,22,18
79,1,2:58.0,,Offensive rebound by Team,22,18
80,1,2:58.0,,D. Jordan makes free throw 2 of 2,22,19
81,1,2:49.0,A. Bradley misses 2-pt jump shot from 9 ft (block by S. Thornwell),,22,19
82,1,2:46.0,,Defensive rebound by L. Williams,22,19
83,1,2:37.0,,W. Johnson misses 3-pt jump shot from 24 ft,22,19
84,1,2:32.0,Defensive rebound by H. Ellenson,,22,19
85,1,2:25.0,J. Leuer misses 2-pt jump shot from 16 ft,,22,19
86,1,2:21.0,,Defensive rebound by W. Johnson,22,19
87,1,2:14.0,,L. Williams makes 2-pt jump shot from 2 ft,22,21
88,1,2:05.0,Offensive foul by H. Ellenson (drawn by S. Thornwell),,22,21
89,1,2:05.0,Turnover by H. Ellenson (offensive foul),,22,21
90,1,1:49.0,,W. Johnson misses 2-pt jump shot from 9 ft,22,21
91,1,1:44.0,Defensive rebound by H. Ellenson,,22,21
92,1,1:40.0,H. Ellenson misses 3-pt jump shot from 25 ft,,22,21
93,1,1:36.0,,Defensive rebound by L. Williams,22,21
94,1,1:32.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),22,23
95,1,1:19.0,H. Ellenson misses 2-pt jump shot from 17 ft,,22,23
96,1,1:15.0,,Defensive rebound by D. Jordan,22,23
97,1,0:59.0,,Personal foul by H. Ellenson (drawn by S. Thornwell),22,23
98,1,0:59.0,,S. Thornwell misses free throw 1 of 2,22,23
99,1,0:59.0,,Offensive rebound by Team,22,23
100,1,0:59.0,,S. Dekker enters the game for D. Jordan,22,23
101,1,0:59.0,,W. Reed enters the game for A. Rivers,22,23
102,1,0:59.0,,S. Thornwell makes free throw 2 of 2,22,24
103,1,0:45.0,Shooting foul by S. Thornwell (drawn by A. Bradley),,22,24
104,1,0:45.0,A. Bradley misses free throw 1 of 2,,22,24
105,1,0:45.0,Offensive rebound by Team,,22,24
106,1,0:45.0,A. Bradley makes free throw 2 of 2,,23,24
107,1,0:40.0,,Turnover by L. Williams (bad pass),23,24
108,1,0:31.0,A. Bradley makes 2-pt dunk from 2 ft (assist by J. Leuer),,25,24
109,1,0:19.0,,L. Williams misses 2-pt layup from 2 ft,25,24
110,1,0:16.0,Defensive rebound by J. Leuer,,25,24
111,1,0:01.0,I. Smith makes 2-pt jump shot from 18 ft,,27,24
112,1,0:00.0,,S. Dekker misses 3-pt jump shot from 51 ft,27,24
113,1,0:00.0,,Offensive rebound by Team,27,24
114,2,11:41.0,L. Galloway misses 3-pt jump shot from 25 ft,,27,24
115,2,11:37.0,,Defensive rebound by W. Johnson,27,24
116,2,11:30.0,,W. Reed makes 2-pt layup from 2 ft (assist by P. Beverley),27,26
117,2,11:17.0,I. Smith makes 2-pt layup from 1 ft,,29,26
118,2,11:07.0,,Shooting block foul by J. Leuer (drawn by L. Williams),29,26
119,2,11:07.0,,L. Williams makes free throw 2 of 2,29,27
120,2,11:07.0,,L. Williams makes free throw 1 of 2,29,28
121,2,10:49.0,I. Smith makes 2-pt jump shot from 15 ft,,31,28
122,2,10:42.0,,Turnover by W. Reed (lost ball; steal by H. Ellenson),31,28
123,2,10:36.0,R. Bullock misses 2-pt layup from 1 ft (block by W. Reed),,31,28
124,2,10:31.0,Offensive rebound by J. Leuer,,31,28
125,2,10:30.0,J. Leuer misses 2-pt jump shot from 1 ft,,31,28
126,2,10:30.0,,Defensive rebound by W. Johnson,31,28
127,2,10:23.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by W. Johnson),31,31
128,2,10:16.0,H. Ellenson misses 2-pt jump shot from 9 ft,,31,31
129,2,10:13.0,Offensive rebound by H. Ellenson,,31,31
130,2,10:13.0,H. Ellenson misses 2-pt layup at rim,,31,31
131,2,10:13.0,,Defensive rebound by Team,31,31
132,2,10:13.0,,B. Griffin enters the game for S. Dekker,31,31
133,2,9:58.0,,W. Reed makes 2-pt layup from 6 ft (assist by L. Williams),31,33
134,2,9:54.0,Detroit full timeout,,31,33
135,2,9:42.0,Shooting foul by W. Reed (drawn by J. Leuer),,31,33
136,2,9:42.0,J. Leuer makes free throw 1 of 2,,32,33
137,2,9:42.0,J. Leuer makes free throw 2 of 2,,33,33
138,2,9:26.0,,L. Williams misses 3-pt jump shot from 22 ft,33,33
139,2,9:20.0,Defensive rebound by R. Bullock,,33,33
140,2,9:14.0,R. Bullock misses 3-pt jump shot from 25 ft,,33,33
141,2,9:11.0,,Defensive rebound by W. Johnson,33,33
142,2,9:02.0,,B. Griffin makes 2-pt layup at rim,33,35
143,2,8:50.0,Shooting block foul by W. Reed (drawn by R. Bullock),,33,35
144,2,8:50.0,R. Bullock makes free throw 1 of 2,,34,35
145,2,8:50.0,T. Harris enters the game for H. Ellenson,,34,35
146,2,8:50.0,A. Drummond enters the game for J. Leuer,,34,35
147,2,8:50.0,R. Bullock misses free throw 2 of 2,,34,35
148,2,8:42.0,,Defensive rebound by W. Reed,34,35
149,2,8:36.0,,Def 3 sec tech foul by A. Drummond,34,35
150,2,8:36.0,,L. Williams makes technical free throw,34,36
151,2,8:28.0,,Personal foul by T. Harris (drawn by B. Griffin),34,36
152,2,8:28.0,J. Leuer enters the game for T. Harris,,34,36
153,2,8:22.0,,Shooting foul by J. Leuer (drawn by B. Griffin),34,36
154,2,8:22.0,,B. Griffin makes free throw 1 of 2,34,37
155,2,8:22.0,S. Johnson enters the game for R. Bullock,,34,37
156,2,8:22.0,,B. Griffin misses free throw 2 of 2,34,37
157,2,8:17.0,Defensive rebound by A. Drummond,,34,37
158,2,8:04.0,Shooting foul by W. Johnson (drawn by S. Johnson),,34,37
159,2,8:04.0,S. Johnson misses free throw 1 of 2,,34,37
160,2,8:04.0,Offensive rebound by Team,,34,37
161,2,8:04.0,S. Johnson makes free throw 2 of 2,,35,37
162,2,7:53.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by P. Beverley),35,40
163,2,7:35.0,,Offensive charge foul by J. Leuer (drawn by W. Reed),35,40
164,2,7:35.0,Turnover by J. Leuer (offensive foul),,35,40
165,2,7:35.0,,D. Gallinari enters the game for W. Johnson,35,40
166,2,7:35.0,H. Ellenson enters the game for J. Leuer,,35,40
167,2,7:24.0,,L. Williams misses 3-pt jump shot from 22 ft,35,40
168,2,7:19.0,Defensive rebound by L. Galloway,,35,40
169,2,7:16.0,L. Galloway makes 2-pt jump shot from 19 ft,,37,40
170,2,6:51.0,,Turnover by W. Reed (traveling),37,40
171,2,6:51.0,,A. Rivers enters the game for L. Williams,37,40
172,2,6:51.0,,D. Jordan enters the game for W. Reed,37,40
173,2,6:40.0,S. Johnson misses 3-pt jump shot from 24 ft,,37,40
174,2,6:36.0,,Defensive rebound by B. Griffin,37,40
175,2,6:28.0,,B. Griffin misses 2-pt jump shot from 5 ft (block by A. Drummond),37,40
176,2,6:24.0,,Offensive rebound by B. Griffin,37,40
177,2,6:22.0,,B. Griffin makes 2-pt dunk at rim,37,42
178,2,6:10.0,H. Ellenson misses 3-pt jump shot from 24 ft,,37,42
179,2,6:06.0,,Defensive rebound by D. Jordan,37,42
180,2,6:02.0,,D. Gallinari misses 3-pt jump shot from 24 ft,37,42
181,2,5:58.0,Defensive rebound by I. Smith,,37,42
182,2,5:55.0,L. Galloway misses 3-pt jump shot from 25 ft,,37,42
