,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
0,1,11:46.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Ball),0,3
1,1,11:30.0,Shooting foul by B. Lopez (drawn by W. Cauley-Stein),,0,3
2,1,11:30.0,W. Cauley-Stein makes free throw 1 of 2,,1,3
3,1,11:30.0,W. Cauley-Stein misses free throw 2 of 2,,1,3
4,1,11:27.0,,Defensive rebound by J. Randle,1,3
5,1,11:20.0,,Turnover by B. Ingram (bad pass; steal by D. Fox),1,3
6,1,11:13.0,D. Fox makes 2-pt dunk from 1 ft,,3,3
7,1,11:03.0,,B. Ingram makes 2-pt layup from 2 ft,3,5
8,1,10:52.0,D. Fox misses 2-pt jump shot from 4 ft,,3,5
9,1,10:50.0,,Defensive rebound by L. Ball,3,5
10,1,10:47.0,,B. Lopez misses 3-pt jump shot from 25 ft,3,5
11,1,10:44.0,Defensive rebound by Z. Randolph,,3,5
12,1,10:31.0,Turnover by Z. Randolph (bad pass),,3,5
13,1,10:23.0,,L. Ball misses 3-pt jump shot from 25 ft,3,5
14,1,10:19.0,Defensive rebound by Z. Randolph,,3,5
15,1,10:09.0,D. Fox makes 3-pt jump shot from 25 ft (assist by Z. Randolph),,6,5
16,1,9:54.0,,B. Lopez makes 2-pt hook shot from 10 ft,6,7
17,1,9:32.0,M. Richardson misses 2-pt jump shot from 14 ft (block by B. Ingram),,6,7
18,1,9:32.0,Offensive rebound by Team,,6,7
19,1,9:30.0,Z. Randolph misses 2-pt jump shot from 18 ft,,6,7
20,1,9:26.0,,Defensive rebound by L. Ball,6,7
21,1,9:17.0,,J. Randle makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),6,10
22,1,9:06.0,Turnover by D. Fox (bad pass; steal by K. Caldwell-Pope),,6,10
23,1,9:03.0,,Shooting foul by B. Hield (drawn by J. Randle),6,10
24,1,9:03.0,,J. Randle makes free throw 1 of 2,6,11
25,1,9:03.0,,J. Randle makes free throw 2 of 2,6,12
26,1,8:42.0,Z. Randolph misses 2-pt hook shot from 10 ft,,6,12
27,1,8:38.0,,Defensive rebound by B. Ingram,6,12
28,1,8:35.0,,B. Ingram makes 3-pt jump shot from 23 ft (assist by L. Ball),6,15
29,1,8:28.0,Sacramento full timeout,,6,15
30,1,8:13.0,M. Richardson misses 2-pt layup from 1 ft,,6,15
31,1,8:08.0,,Defensive rebound by B. Lopez,6,15
32,1,8:06.0,,B. Ingram makes 2-pt layup from 1 ft,6,17
33,1,7:45.0,W. Cauley-Stein misses 2-pt jump shot from 7 ft,,6,17
34,1,7:42.0,,Defensive rebound by B. Lopez,6,17
35,1,7:38.0,,B. Ingram makes 3-pt jump shot from 22 ft (assist by L. Ball),6,20
36,1,7:10.0,W. Cauley-Stein misses 2-pt hook shot from 5 ft,,6,20
37,1,7:07.0,,Defensive rebound by B. Lopez,6,20
38,1,7:01.0,,J. Randle makes 2-pt layup from 1 ft (assist by B. Ingram),6,22
39,1,6:57.0,Sacramento full timeout,,6,22
40,1,6:57.0,B. Bogdanović enters the game for M. Richardson,,6,22
41,1,6:57.0,G. Temple enters the game for B. Hield,,6,22
42,1,6:48.0,Shooting foul by B. Ingram (drawn by W. Cauley-Stein),,6,22
43,1,6:48.0,W. Cauley-Stein misses free throw 1 of 2,,6,22
44,1,6:48.0,Offensive rebound by Team,,6,22
45,1,6:48.0,W. Cauley-Stein misses free throw 2 of 2,,6,22
46,1,6:45.0,,Defensive rebound by J. Randle,6,22
47,1,6:36.0,,L. Ball misses 2-pt layup from 1 ft,6,22
48,1,6:33.0,Defensive rebound by Z. Randolph,,6,22
49,1,6:26.0,G. Temple misses 3-pt jump shot from 23 ft,,6,22
50,1,6:21.0,,Defensive rebound by L. Ball,6,22
51,1,6:17.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,6,22
52,1,6:14.0,Defensive rebound by Z. Randolph,,6,22
53,1,5:58.0,Turnover by D. Fox (step out of bounds),,6,22
54,1,5:47.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,6,24
55,1,5:40.0,Personal foul by B. Ingram (drawn by G. Temple),,6,24
56,1,5:40.0,,T. Ennis enters the game for L. Ball,6,24
57,1,5:40.0,,C. Brewer enters the game for B. Ingram,6,24
58,1,5:33.0,Z. Randolph misses 2-pt hook shot from 6 ft,,6,24
59,1,5:28.0,Offensive rebound by Z. Randolph,,6,24
60,1,5:28.0,Z. Randolph misses 2-pt layup at rim,,6,24
61,1,5:28.0,Offensive rebound by Z. Randolph,,6,24
62,1,5:24.0,Z. Randolph misses 2-pt layup at rim,,6,24
63,1,5:23.0,Offensive rebound by Z. Randolph,,6,24
64,1,5:21.0,Z. Randolph makes 2-pt layup from 1 ft,,8,24
