,QUARTER,TIME_REMAINING,DENVER_ACTION,PHILADELPHIA_ACTION,DENVER_SCORE,PHILADELPHIA_SCORE
0,1,11:53.0,,R. Covington misses 3-pt jump shot from 25 ft,0,0
1,1,11:49.0,Defensive rebound by J. Murray,,0,0
2,1,11:44.0,W. Barton makes 3-pt jump shot from 26 ft (assist by J. Murray),,3,0
3,1,11:29.0,,J. Embiid misses 2-pt layup from 1 ft,3,0
4,1,11:27.0,Defensive rebound by P. Millsap,,3,0
5,1,11:19.0,P. Millsap misses 2-pt jump shot from 8 ft,,3,0
6,1,11:16.0,,Defensive rebound by R. Covington,3,0
7,1,11:14.0,,Turnover by R. Covington (lost ball; steal by W. Chandler),3,0
8,1,11:10.0,W. Barton makes 3-pt jump shot from 26 ft (assist by W. Chandler),,6,0
9,1,11:00.0,,Personal foul by W. Barton (drawn by J. Redick),6,0
10,1,10:57.0,,R. Covington misses 2-pt dunk from 1 ft,6,0
11,1,10:57.0,Defensive rebound by Team,,6,0
12,1,10:55.0,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),,8,0
13,1,10:55.0,Shooting foul by R. Covington (drawn by W. Barton),,8,0
14,1,10:55.0,W. Barton makes free throw 1 of 1,,9,0
15,1,10:45.0,,J. Embiid makes 2-pt layup from 2 ft (assist by R. Covington),9,2
16,1,10:25.0,W. Barton misses 2-pt layup from 1 ft,,9,2
17,1,10:23.0,,Defensive rebound by J. Embiid,9,2
18,1,10:11.0,,J. Embiid makes 2-pt jump shot from 11 ft,9,4
19,1,9:54.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by W. Barton),,11,4
20,1,9:54.0,,Philadelphia full timeout,11,4
21,1,9:39.0,,Shooting foul by N. Jokić (drawn by J. Embiid),11,4
22,1,9:39.0,,J. Embiid makes free throw 1 of 2,11,5
23,1,9:39.0,,J. Embiid makes free throw 2 of 2,11,6
24,1,9:16.0,N. Jokić misses 2-pt jump shot from 12 ft,,11,6
25,1,9:15.0,Offensive rebound by P. Millsap,,11,6
26,1,9:15.0,Turnover by Team (shot clock),,11,6
27,1,8:57.0,,J. Embiid misses 2-pt jump shot from 3 ft,11,6
28,1,8:55.0,Defensive rebound by P. Millsap,,11,6
29,1,8:45.0,W. Barton misses 2-pt layup from 1 ft,,11,6
30,1,8:43.0,Offensive rebound by N. Jokić,,11,6
31,1,8:41.0,N. Jokić misses 2-pt layup from 4 ft,,11,6
32,1,8:37.0,Offensive rebound by N. Jokić,,11,6
33,1,8:37.0,N. Jokić misses 2-pt layup at rim,,11,6
34,1,8:37.0,Offensive rebound by W. Chandler,,11,6
35,1,8:35.0,Turnover by P. Millsap (bad pass),,11,6
36,1,8:22.0,,Turnover by R. Covington (bad pass; steal by N. Jokić),11,6
37,1,8:17.0,J. Murray makes 2-pt dunk at rim,,13,6
38,1,8:03.0,,Personal foul by W. Chandler (drawn by B. Simmons),13,6
39,1,8:03.0,,M. Belinelli enters the game for R. Covington,13,6
40,1,8:03.0,,T. McConnell enters the game for J. Redick,13,6
41,1,7:49.0,,B. Simmons misses 2-pt jump shot from 8 ft,13,6
42,1,7:48.0,Defensive rebound by N. Jokić,,13,6
43,1,7:37.0,W. Chandler misses 3-pt jump shot from 22 ft,,13,6
44,1,7:34.0,,Defensive rebound by J. Embiid,13,6
45,1,7:29.0,,D. Šarić makes 2-pt jump shot from 15 ft (assist by T. McConnell),13,8
46,1,7:04.0,W. Barton misses 2-pt jump shot from 20 ft,,13,8
47,1,7:03.0,Offensive rebound by Team,,13,8
48,1,7:03.0,Turnover by Team (shot clock),,13,8
49,1,7:03.0,,A. Johnson enters the game for J. Embiid,13,8
50,1,6:55.0,,D. Šarić makes 2-pt jump shot from 18 ft (assist by B. Simmons),13,10
51,1,6:27.0,J. Murray misses 3-pt jump shot from 25 ft,,13,10
52,1,6:26.0,,Defensive rebound by B. Simmons,13,10
53,1,6:19.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. McConnell),13,13
54,1,6:18.0,Denver full timeout,,13,13
55,1,5:54.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by J. Murray),,15,13
56,1,5:33.0,,T. McConnell makes 2-pt layup from 2 ft (assist by B. Simmons),15,15
57,1,5:20.0,D. Harris enters the game for J. Murray,,15,15
58,1,5:12.0,N. Jokić misses 2-pt jump shot from 17 ft,,15,15
59,1,5:08.0,,Defensive rebound by D. Šarić,15,15
60,1,4:53.0,,Turnover by T. McConnell (traveling),15,15
61,1,4:37.0,W. Chandler makes 2-pt layup from 2 ft (assist by N. Jokić),,17,15
62,1,4:28.0,,D. Šarić misses 3-pt jump shot from 25 ft,17,15
63,1,4:28.0,Defensive rebound by W. Chandler,,17,15
64,1,4:09.0,W. Barton makes 3-pt jump shot from 28 ft (assist by N. Jokić),,20,15
65,1,3:50.0,,A. Johnson misses 3-pt jump shot from 25 ft,20,15
66,1,3:47.0,Defensive rebound by W. Chandler,,20,15
67,1,3:41.0,N. Jokić misses 2-pt jump shot from 21 ft,,20,15
68,1,3:39.0,,Defensive rebound by M. Belinelli,20,15
69,1,3:33.0,,D. Šarić misses 3-pt jump shot from 22 ft,20,15
70,1,3:30.0,Defensive rebound by N. Jokić,,20,15
71,1,3:27.0,Turnover by N. Jokić (lost ball; steal by T. McConnell),,20,15
72,1,3:20.0,,Turnover by T. McConnell (bad pass; steal by W. Chandler),20,15
73,1,3:14.0,D. Harris makes 2-pt jump shot from 21 ft (assist by W. Chandler),,22,15
74,1,2:54.0,,D. Šarić misses 2-pt layup from 1 ft,22,15
75,1,2:54.0,,Offensive rebound by Team,22,15
76,1,2:54.0,,Turnover by D. Šarić (traveling),22,15
77,1,2:54.0,,M. Fultz enters the game for A. Johnson,22,15
78,1,2:54.0,,J. Redick enters the game for D. Šarić,22,15
79,1,2:54.0,,R. Covington enters the game for T. McConnell,22,15
80,1,2:54.0,,E. İlyasova enters the game for M. Belinelli,22,15
81,1,2:54.0,,J. Embiid enters the game for B. Simmons,22,15
82,1,2:54.0,T. Lyles enters the game for P. Millsap,,22,15
83,1,2:54.0,M. Plumlee enters the game for W. Barton,,22,15
84,1,2:54.0,J. Murray enters the game for N. Jokić,,22,15
85,1,2:44.0,W. Chandler misses 3-pt jump shot from 27 ft,,22,15
86,1,2:40.0,,Defensive rebound by E. İlyasova,22,15
87,1,2:33.0,,Turnover by M. Fultz (lost ball; steal by J. Murray),22,15
88,1,2:27.0,T. Lyles misses 3-pt jump shot from 26 ft,,22,15
89,1,2:24.0,,Defensive rebound by J. Embiid,22,15
90,1,2:11.0,Violation by W. Chandler (kicked ball),,22,15
91,1,2:11.0,T. Craig enters the game for W. Chandler,,22,15
92,1,2:09.0,,J. Redick makes 2-pt layup from 3 ft (assist by R. Covington),22,17
93,1,1:59.0,Personal foul by M. Fultz (drawn by M. Plumlee),,22,17
94,1,1:55.0,T. Lyles makes 2-pt layup from 1 ft (assist by M. Plumlee),,24,17
95,1,1:41.0,,M. Fultz makes 2-pt layup from 2 ft (assist by J. Embiid),24,19
96,1,1:28.0,J. Murray makes 2-pt jump shot from 7 ft,,26,19
97,1,1:17.0,,Shooting foul by D. Harris (drawn by J. Embiid),26,19
98,1,1:17.0,,J. Embiid makes free throw 1 of 2,26,20
99,1,1:17.0,,J. Embiid makes free throw 2 of 2,26,21
100,1,1:01.0,J. Murray misses 2-pt layup from 1 ft (block by E. İlyasova),,26,21
101,1,0:58.0,,Defensive rebound by R. Covington,26,21
102,1,0:55.0,,E. İlyasova makes 2-pt jump shot from 13 ft (assist by M. Fultz),26,23
103,1,0:44.0,Turnover by M. Plumlee (out of bounds lost ball),,26,23
104,1,0:35.0,,M. Fultz misses 2-pt jump shot from 10 ft,26,23
105,1,0:32.0,Defensive rebound by T. Craig,,26,23
106,1,0:27.0,Shooting foul by E. İlyasova (drawn by D. Harris),,26,23
107,1,0:27.0,D. Harris makes free throw 1 of 2,,27,23
108,1,0:27.0,D. Harris misses free throw 2 of 2,,27,23
109,1,0:26.0,,Defensive rebound by J. Embiid,27,23
110,1,0:03.0,,Turnover by J. Redick (turnover),27,23
111,1,0:00.0,D. Harris misses 3-pt jump shot from 34 ft,,27,23
112,1,0:00.0,Offensive rebound by Team,,27,23
113,2,11:48.0,Personal foul by J. Embiid (drawn by D. Harris),,27,23
114,2,11:35.0,J. Murray makes 3-pt jump shot from 26 ft,,30,23
115,2,11:27.0,,Personal foul by M. Plumlee (drawn by M. Fultz),30,23
116,2,11:27.0,W. Barton enters the game for D. Harris,,30,23
117,2,11:17.0,,J. Redick misses 2-pt jump shot from 18 ft,30,23
118,2,11:14.0,Defensive rebound by T. Craig,,30,23
119,2,11:03.0,Turnover by M. Plumlee (lost ball; steal by R. Covington),,30,23
120,2,10:56.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by M. Fultz),30,26
121,2,10:32.0,Turnover by J. Murray (traveling),,30,26
122,2,10:20.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Fultz),30,29
123,2,10:20.0,,Shooting foul by T. Craig (drawn by R. Covington),30,29
124,2,10:20.0,,R. Covington makes free throw 1 of 1,30,30
125,2,10:10.0,T. Lyles makes 2-pt dunk at rim (assist by M. Plumlee),,32,30
126,2,9:52.0,,M. Fultz misses 2-pt jump shot from 12 ft (block by M. Plumlee),32,30
127,2,9:49.0,,Offensive rebound by M. Fultz,32,30
128,2,9:45.0,,M. Fultz misses 2-pt jump shot from 5 ft (block by J. Murray),32,30
129,2,9:42.0,Defensive rebound by T. Craig,,32,30
130,2,9:30.0,W. Barton makes 2-pt jump shot from 11 ft (assist by T. Craig),,34,30
131,2,9:22.0,,Shooting foul by M. Plumlee (drawn by J. Embiid),34,30
132,2,9:22.0,,B. Simmons enters the game for M. Fultz,34,30
133,2,9:22.0,,J. Embiid misses free throw 1 of 2,34,30
134,2,9:22.0,,Offensive rebound by Team,34,30
135,2,9:22.0,,J. Embiid makes free throw 2 of 2,34,31
136,2,9:14.0,Offensive foul by M. Plumlee (drawn by E. İlyasova),,34,31
137,2,9:14.0,Turnover by M. Plumlee (offensive foul),,34,31
138,2,9:14.0,N. Jokić enters the game for M. Plumlee,,34,31
139,2,8:53.0,,J. Embiid makes 2-pt layup from 4 ft,34,33
140,2,8:39.0,Shooting foul by J. Embiid (drawn by N. Jokić),,34,33
141,2,8:39.0,N. Jokić makes free throw 1 of 2,,35,33
142,2,8:39.0,,M. Belinelli enters the game for J. Redick,35,33
143,2,8:39.0,,D. Šarić enters the game for E. İlyasova,35,33
144,2,8:39.0,W. Chandler enters the game for J. Murray,,35,33
145,2,8:39.0,N. Jokić misses free throw 2 of 2,,35,33
146,2,8:37.0,,Defensive rebound by B. Simmons,35,33
147,2,8:26.0,,Shooting foul by T. Craig (drawn by J. Embiid),35,33
148,2,8:26.0,,J. Embiid misses free throw 1 of 2,35,33
149,2,8:26.0,,Offensive rebound by Team,35,33
150,2,8:26.0,,J. Embiid makes free throw 2 of 2,35,34
151,2,8:13.0,Turnover by W. Chandler (out of bounds lost ball),,35,34
152,2,8:03.0,,Turnover by M. Belinelli (bad pass; steal by T. Craig),35,34
153,2,8:02.0,Personal foul by M. Belinelli (drawn by T. Craig),,35,34
154,2,8:02.0,,A. Johnson enters the game for J. Embiid,35,34
155,2,8:02.0,P. Millsap enters the game for T. Lyles,,35,34
156,2,7:53.0,Personal foul by M. Belinelli (drawn by T. Craig),,35,34
157,2,7:46.0,W. Barton misses 2-pt layup from 4 ft (block by R. Covington),,35,34
158,2,7:43.0,,Defensive rebound by M. Belinelli,35,34
159,2,7:29.0,,R. Covington misses 3-pt jump shot from 24 ft,35,34
160,2,7:27.0,Defensive rebound by W. Chandler,,35,34
161,2,7:20.0,W. Barton misses 3-pt jump shot from 26 ft,,35,34
162,2,7:17.0,,Defensive rebound by D. Šarić,35,34
163,2,7:15.0,,Turnover by D. Šarić (bad pass),35,34
164,2,7:02.0,Personal foul by A. Johnson (drawn by N. Jokić),,35,34
165,2,7:02.0,N. Jokić makes free throw 1 of 2,,36,34
166,2,7:02.0,N. Jokić makes free throw 2 of 2,,37,34
167,2,6:56.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),37,37
168,2,6:41.0,Turnover by W. Barton (turnover),,37,37
169,2,6:41.0,,Philadelphia full timeout,37,37
170,2,6:31.0,,Turnover by D. Šarić (lost ball; steal by P. Millsap),37,37
171,2,6:21.0,T. Craig makes 2-pt layup from 2 ft (assist by W. Chandler),,39,37
172,2,6:07.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by A. Johnson),39,39
173,2,5:44.0,N. Jokić misses 2-pt jump shot from 5 ft,,39,39
174,2,5:44.0,Offensive rebound by Team,,39,39
175,2,5:44.0,J. Murray enters the game for T. Craig,,39,39
176,2,5:28.0,W. Barton makes 3-pt jump shot from 25 ft (assist by P. Millsap),,42,39
177,2,5:21.0,,R. Covington misses 3-pt jump shot from 26 ft,42,39
178,2,5:18.0,Defensive rebound by J. Murray,,42,39
179,2,5:14.0,W. Barton makes 3-pt jump shot from 24 ft (assist by J. Murray),,45,39
180,2,4:58.0,,D. Šarić misses 2-pt layup from 1 ft,45,39
181,2,4:57.0,Defensive rebound by P. Millsap,,45,39
182,2,4:55.0,Shooting foul by R. Covington (drawn by P. Millsap),,45,39
183,2,4:55.0,P. Millsap makes free throw 1 of 2,,46,39
184,2,4:55.0,,J. Embiid enters the game for A. Johnson,46,39
185,2,4:55.0,,E. İlyasova enters the game for D. Šarić,46,39
186,2,4:55.0,P. Millsap makes free throw 2 of 2,,47,39
187,2,4:41.0,,M. Belinelli misses 2-pt layup from 3 ft,47,39
188,2,4:39.0,Defensive rebound by P. Millsap,,47,39
189,2,4:36.0,Turnover by W. Barton (out of bounds lost ball),,47,39
190,2,4:23.0,,J. Embiid makes 2-pt layup from 1 ft,47,41
191,2,4:04.0,P. Millsap makes 2-pt jump shot from 11 ft,,49,41
192,2,3:54.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by E. İlyasova),49,44
193,2,3:33.0,P. Millsap misses 3-pt jump shot from 25 ft,,49,44
194,2,3:32.0,Offensive rebound by Team,,49,44
195,2,3:32.0,,Loose ball foul by M. Belinelli (drawn by N. Jokić),49,44
196,2,3:32.0,N. Jokić makes free throw 1 of 2,,50,44
197,2,3:32.0,,J. Redick enters the game for M. Belinelli,50,44
198,2,3:32.0,,T. McConnell enters the game for R. Covington,50,44
199,2,3:32.0,N. Jokić makes free throw 2 of 2,,51,44
200,2,3:19.0,,Personal foul by W. Barton (drawn by B. Simmons),51,44
201,2,3:19.0,,B. Simmons misses free throw 1 of 2,51,44
202,2,3:19.0,,Offensive rebound by Team,51,44
203,2,3:19.0,,B. Simmons makes free throw 2 of 2,51,45
204,2,3:01.0,P. Millsap makes 2-pt jump shot from 11 ft,,53,45
205,2,2:36.0,,B. Simmons misses 2-pt jump shot from 12 ft,53,45
206,2,2:36.0,,Offensive rebound by Team,53,45
207,2,2:36.0,Loose ball foul by J. Murray (drawn by E. İlyasova),,53,45
208,2,2:36.0,Denver full timeout,,53,45
209,2,2:36.0,,E. İlyasova misses free throw 1 of 2,53,45
210,2,2:36.0,,Offensive rebound by Team,53,45
211,2,2:36.0,,E. İlyasova misses free throw 2 of 2,53,45
