,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
0,1,11:45.0,,Violation by J. Ingles (kicked ball),0,0
1,1,11:40.0,P. Gasol misses 3-pt jump shot from 25 ft,,0,0
2,1,11:34.0,,Defensive rebound by R. O'Neale,0,0
3,1,11:15.0,,D. Mitchell misses 3-pt jump shot from 26 ft (block by D. Green),0,0
4,1,11:11.0,Defensive rebound by D. Green,,0,0
5,1,11:05.0,K. Anderson makes 2-pt layup from 1 ft (assist by P. Gasol),,2,0
6,1,10:45.0,,D. Mitchell misses 3-pt jump shot from 23 ft,2,0
7,1,10:43.0,Defensive rebound by P. Gasol,,2,0
8,1,10:35.0,K. Anderson misses 3-pt jump shot from 22 ft,,2,0
9,1,10:33.0,,Defensive rebound by J. Ingles,2,0
10,1,10:16.0,,J. Ingles makes 2-pt layup from 3 ft,2,2
11,1,10:02.0,D. Murray misses 2-pt jump shot from 6 ft,,2,2
12,1,10:00.0,,Defensive rebound by R. Gobert,2,2
13,1,9:53.0,,J. Ingles makes 3-pt jump shot from 26 ft,2,5
14,1,9:34.0,P. Gasol misses 2-pt jump shot from 20 ft,,2,5
15,1,9:31.0,,Defensive rebound by R. Gobert,2,5
16,1,9:26.0,,J. Ingles misses 2-pt jump shot from 14 ft,2,5
17,1,9:23.0,Defensive rebound by D. Bertāns,,2,5
18,1,9:14.0,Shooting foul by R. O'Neale (drawn by K. Anderson),,2,5
19,1,9:14.0,K. Anderson makes free throw 1 of 2,,3,5
20,1,9:14.0,K. Anderson makes free throw 2 of 2,,4,5
21,1,8:49.0,,Turnover by Team (shot clock),4,5
22,1,8:39.0,Turnover by D. Murray (bad pass; steal by D. Mitchell),,4,5
23,1,8:24.0,,Personal foul by D. Green (drawn by D. Mitchell),4,5
24,1,8:17.0,,D. Mitchell misses 3-pt jump shot from 26 ft,4,5
25,1,8:12.0,Defensive rebound by K. Anderson,,4,5
26,1,8:09.0,D. Bertāns makes 2-pt layup from 2 ft (assist by P. Gasol),,6,5
27,1,8:09.0,,Violation by D. Favors (def goaltending),6,5
28,1,7:57.0,,R. O'Neale makes 2-pt jump shot from 15 ft,6,7
29,1,7:45.0,Personal foul by J. Ingles (drawn by K. Anderson),,6,7
30,1,7:36.0,K. Anderson misses 2-pt layup from 2 ft (block by D. Favors),,6,7
31,1,7:33.0,,Defensive rebound by J. Ingles,6,7
32,1,7:23.0,,J. Ingles makes 3-pt jump shot from 25 ft,6,10
33,1,7:06.0,Shooting foul by D. Mitchell (drawn by K. Anderson),,6,10
34,1,7:06.0,K. Anderson makes free throw 1 of 2,,7,10
35,1,7:06.0,K. Anderson makes free throw 2 of 2,,8,10
36,1,6:46.0,,D. Favors misses 2-pt jump shot from 13 ft,8,10
37,1,6:43.0,Defensive rebound by P. Gasol,,8,10
38,1,6:35.0,D. Murray makes 2-pt jump shot from 17 ft,,10,10
39,1,6:35.0,,Utah full timeout,10,10
40,1,6:35.0,,J. Crowder enters the game for D. Favors,10,10
41,1,6:35.0,M. Ginóbili enters the game for D. Green,,10,10
42,1,6:19.0,,D. Mitchell makes 3-pt jump shot from 24 ft,10,13
43,1,6:03.0,D. Murray misses 2-pt jump shot from 7 ft (block by R. Gobert),,10,13
44,1,6:02.0,,Defensive rebound by Team,10,13
45,1,6:01.0,,J. Jerebko enters the game for R. O'Neale,10,13
46,1,5:53.0,Loose ball foul by D. Murray (drawn by R. Gobert),,10,13
47,1,5:44.0,,D. Mitchell misses 3-pt jump shot from 25 ft,10,13
48,1,5:41.0,Defensive rebound by P. Gasol,,10,13
49,1,5:38.0,K. Anderson misses 2-pt jump shot from 16 ft,,10,13
50,1,5:33.0,,Defensive rebound by R. Gobert,10,13
51,1,5:20.0,,J. Crowder misses 3-pt jump shot from 24 ft,10,13
52,1,5:18.0,Defensive rebound by Team,,10,13
53,1,5:18.0,T. Parker enters the game for D. Murray,,10,13
54,1,5:08.0,Turnover by M. Ginóbili (lost ball; steal by J. Ingles),,10,13
55,1,5:04.0,,J. Ingles makes 2-pt dunk from 3 ft,10,15
56,1,4:44.0,Shooting foul by R. Gobert (drawn by P. Gasol),,10,15
57,1,4:44.0,P. Gasol makes free throw 1 of 2,,11,15
58,1,4:44.0,P. Gasol makes free throw 2 of 2,,12,15
59,1,4:35.0,,J. Ingles misses 3-pt jump shot from 28 ft,12,15
60,1,4:31.0,Defensive rebound by P. Gasol,,12,15
61,1,4:22.0,D. Bertāns misses 3-pt jump shot from 25 ft,,12,15
62,1,4:20.0,,Defensive rebound by J. Ingles,12,15
63,1,4:16.0,,J. Jerebko misses 2-pt layup from 1 ft (block by D. Bertāns),12,15
64,1,4:09.0,Defensive rebound by K. Anderson,,12,15
65,1,4:07.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,12,15
66,1,4:06.0,,Defensive rebound by Team,12,15
67,1,3:52.0,,J. Crowder misses 2-pt layup from 2 ft (block by K. Anderson),12,15
68,1,3:49.0,Defensive rebound by K. Anderson,,12,15
69,1,3:47.0,D. Bertāns makes 3-pt jump shot from 24 ft (assist by K. Anderson),,15,15
70,1,3:26.0,,Turnover by D. Mitchell (bad pass),15,15
71,1,3:26.0,San Antonio full timeout,,15,15
72,1,3:26.0,,A. Burks enters the game for J. Ingles,15,15
73,1,3:26.0,P. Mills enters the game for K. Anderson,,15,15
74,1,3:26.0,D. Green enters the game for D. Bertāns,,15,15
75,1,3:26.0,,R. O'Neale enters the game for J. Jerebko,15,15
76,1,3:04.0,Personal foul by A. Burks (drawn by M. Ginóbili),,15,15
77,1,3:04.0,J. Lauvergne enters the game for P. Gasol,,15,15
78,1,3:04.0,M. Ginóbili misses free throw 1 of 2,,15,15
79,1,3:04.0,Offensive rebound by Team,,15,15
80,1,3:04.0,M. Ginóbili makes free throw 2 of 2,,16,15
81,1,2:47.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),16,17
82,1,2:47.0,,Shooting foul by J. Lauvergne (drawn by R. Gobert),16,17
