,QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
0,1,11:47.0,,R. Bullock misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,Defensive rebound by K. Irving,,0,0
2,1,11:36.0,K. Irving misses 2-pt jump shot from 10 ft,,0,0
3,1,11:31.0,,Defensive rebound by B. Griffin,0,0
4,1,11:24.0,,B. Griffin misses 2-pt jump shot from 14 ft,0,0
5,1,11:21.0,Defensive rebound by K. Irving,,0,0
6,1,11:08.0,K. Irving makes 3-pt jump shot from 28 ft (assist by A. Horford),,3,0
7,1,10:50.0,,S. Johnson misses 3-pt jump shot from 25 ft,3,0
8,1,10:48.0,Defensive rebound by A. Horford,,3,0
9,1,10:39.0,J. Tatum makes 2-pt jump shot from 10 ft,,5,0
10,1,10:15.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by I. Smith),5,3
11,1,9:55.0,Shooting foul by A. Drummond (drawn by A. Baynes),,5,3
12,1,9:55.0,A. Baynes misses free throw 1 of 2,,5,3
13,1,9:55.0,Offensive rebound by Team,,5,3
14,1,9:55.0,A. Baynes makes free throw 2 of 2,,6,3
15,1,9:41.0,,R. Bullock makes 3-pt jump shot from 25 ft,6,6
16,1,9:21.0,G. Monroe enters the game for A. Baynes,,6,6
17,1,9:13.0,K. Irving misses 3-pt jump shot from 24 ft,,6,6
18,1,9:12.0,,Defensive rebound by Team,6,6
19,1,9:01.0,,Turnover by B. Griffin (bad pass; steal by G. Monroe),6,6
20,1,8:47.0,G. Monroe misses 2-pt layup from 4 ft (block by A. Drummond),,6,6
21,1,8:43.0,,Defensive rebound by S. Johnson,6,6
22,1,8:39.0,,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),6,8
23,1,8:23.0,J. Brown misses 2-pt jump shot from 20 ft,,6,8
24,1,8:20.0,,Defensive rebound by R. Bullock,6,8
25,1,8:16.0,,S. Johnson makes 3-pt jump shot from 25 ft (assist by I. Smith),6,11
26,1,8:15.0,Boston full timeout,,6,11
27,1,8:04.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by G. Monroe),,9,11
28,1,7:37.0,,B. Griffin misses 2-pt jump shot from 6 ft,9,11
29,1,7:33.0,Defensive rebound by J. Brown,,9,11
30,1,7:20.0,A. Horford misses 3-pt jump shot from 26 ft,,9,11
31,1,7:16.0,,Defensive rebound by I. Smith,9,11
32,1,7:08.0,,A. Drummond makes 2-pt jump shot from 3 ft (assist by S. Johnson),9,13
33,1,6:50.0,J. Brown makes 2-pt layup from 2 ft (assist by G. Monroe),,11,13
34,1,6:28.0,,Shooting foul by J. Tatum (drawn by S. Johnson),11,13
35,1,6:28.0,,S. Johnson misses free throw 1 of 2,11,13
36,1,6:28.0,,Offensive rebound by Team,11,13
37,1,6:28.0,,S. Johnson makes free throw 2 of 2,11,14
38,1,6:13.0,A. Horford misses 2-pt layup from 2 ft (block by A. Drummond),,11,14
39,1,6:09.0,,Defensive rebound by A. Drummond,11,14
40,1,6:07.0,,S. Johnson makes 2-pt layup from 1 ft,11,16
41,1,5:46.0,Offensive foul by A. Horford (drawn by S. Johnson),,11,16
42,1,5:46.0,Turnover by A. Horford (offensive foul),,11,16
43,1,5:31.0,,B. Griffin misses 2-pt jump shot from 16 ft,11,16
44,1,5:28.0,Defensive rebound by A. Horford,,11,16
45,1,5:20.0,Turnover by A. Horford (bad pass),,11,16
46,1,5:10.0,,Shooting foul by G. Monroe (drawn by A. Drummond),11,16
47,1,5:10.0,,A. Drummond makes free throw 1 of 2,11,17
48,1,5:10.0,,A. Tolliver enters the game for B. Griffin,11,17
49,1,5:10.0,M. Morris enters the game for J. Brown,,11,17
50,1,5:10.0,M. Smart enters the game for A. Horford,,11,17
51,1,5:10.0,,A. Drummond misses free throw 2 of 2,11,17
52,1,5:07.0,Defensive rebound by G. Monroe,,11,17
