,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:37.0,,R. Hollis-Jefferson misses 2-pt jump shot from 12 ft,0,0
1,1,11:34.0,Defensive rebound by G. Dragić,,0,0
2,1,11:21.0,J. Johnson misses 2-pt layup at rim,,0,0
3,1,11:19.0,,Defensive rebound by D. Carroll,0,0
4,1,11:13.0,,D. Carroll makes 2-pt jump shot from 9 ft,0,2
5,1,11:13.0,,Shooting foul by J. Richardson (drawn by D. Carroll),0,2
6,1,11:13.0,,D. Carroll misses free throw 1 of 1,0,2
7,1,11:12.0,Defensive rebound by G. Dragić,,0,2
8,1,10:58.0,G. Dragić misses 2-pt jump shot from 13 ft,,0,2
9,1,10:55.0,,Defensive rebound by S. Dinwiddie,0,2
10,1,10:42.0,,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),0,5
11,1,10:28.0,D. Waiters misses 3-pt jump shot from 24 ft,,0,5
12,1,10:24.0,,Defensive rebound by D. Carroll,0,5
13,1,10:14.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),0,8
14,1,9:56.0,D. Waiters makes 2-pt layup from 1 ft,,2,8
15,1,9:44.0,,T. Zeller makes 2-pt hook shot from 5 ft (assist by S. Dinwiddie),2,10
16,1,9:30.0,G. Dragić misses 2-pt jump shot from 8 ft,,2,10
17,1,9:28.0,,Defensive rebound by D. Carroll,2,10
18,1,9:15.0,,D. Carroll misses 2-pt jump shot from 6 ft,2,10
19,1,9:15.0,Defensive rebound by J. Richardson,,2,10
20,1,9:06.0,J. Richardson makes 2-pt jump shot from 16 ft,,4,10
21,1,9:06.0,Shooting foul by D. Carroll (drawn by J. Richardson),,4,10
22,1,9:06.0,J. Richardson makes free throw 1 of 1,,5,10
23,1,8:51.0,,S. Dinwiddie makes 2-pt jump shot from 9 ft,5,12
24,1,8:30.0,J. Johnson makes 2-pt dunk at rim (assist by K. Olynyk),,7,12
25,1,8:05.0,,A. Crabbe misses 2-pt jump shot from 23 ft,7,12
26,1,8:01.0,Defensive rebound by K. Olynyk,,7,12
27,1,7:58.0,Personal foul by T. Zeller (drawn by D. Waiters),,7,12
28,1,7:58.0,T. Johnson enters the game for G. Dragić,,7,12
29,1,7:50.0,D. Waiters misses 2-pt jump shot from 16 ft,,7,12
30,1,7:50.0,,Defensive rebound by R. Hollis-Jefferson,7,12
31,1,7:38.0,,R. Hollis-Jefferson makes 2-pt jump shot from 14 ft (assist by S. Dinwiddie),7,14
32,1,7:25.0,T. Johnson makes 2-pt jump shot from 12 ft,,9,14
33,1,7:05.0,,S. Dinwiddie misses 3-pt jump shot from 27 ft,9,14
34,1,7:05.0,,Offensive rebound by A. Crabbe,9,14
35,1,6:53.0,,T. Zeller makes 2-pt layup at rim (assist by S. Dinwiddie),9,16
36,1,6:37.0,D. Waiters misses 2-pt layup from 1 ft,,9,16
37,1,6:35.0,,Defensive rebound by T. Zeller,9,16
38,1,6:24.0,,A. Crabbe misses 2-pt jump shot from 18 ft,9,16
39,1,6:24.0,Defensive rebound by J. Johnson,,9,16
40,1,6:14.0,T. Johnson makes 2-pt jump shot from 22 ft (assist by K. Olynyk),,11,16
41,1,6:05.0,,Brooklyn full timeout,11,16
42,1,6:05.0,,J. Allen enters the game for T. Zeller,11,16
43,1,6:05.0,,C. LeVert enters the game for A. Crabbe,11,16
44,1,6:05.0,J. Winslow enters the game for J. Richardson,,11,16
45,1,6:05.0,W. Ellington enters the game for J. Johnson,,11,16
46,1,5:55.0,,Turnover by D. Carroll (traveling),11,16
47,1,5:41.0,W. Ellington misses 3-pt jump shot from 24 ft,,11,16
48,1,5:36.0,,Defensive rebound by D. Carroll,11,16
49,1,5:27.0,,D. Carroll misses 3-pt jump shot from 25 ft,11,16
50,1,5:24.0,Defensive rebound by T. Johnson,,11,16
51,1,5:12.0,K. Olynyk makes 2-pt jump shot from 15 ft (assist by D. Waiters),,13,16
52,1,4:51.0,,R. Hollis-Jefferson makes 2-pt jump shot from 11 ft,13,18
53,1,4:51.0,,Shooting foul by W. Ellington (drawn by R. Hollis-Jefferson),13,18
54,1,4:51.0,,Q. Acy enters the game for D. Carroll,13,18
