,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:42.0,Turnover by H. Whiteside (lost ball; steal by I. Thomas),,0,0
1,1,11:22.0,,J. Crowder misses 2-pt jump shot from 21 ft,0,0
2,1,11:19.0,Defensive rebound by G. Dragić,,0,0
3,1,11:15.0,T. Johnson misses 3-pt jump shot from 24 ft,,0,0
4,1,11:11.0,,Defensive rebound by J. Smith,0,0
5,1,10:55.0,,J. Crowder makes 2-pt layup at rim (assist by I. Thomas),0,2
6,1,10:44.0,G. Dragić misses 3-pt jump shot from 25 ft,,0,2
7,1,10:41.0,,Defensive rebound by J. Crowder,0,2
8,1,10:30.0,,I. Thomas misses 3-pt jump shot from 25 ft,0,2
9,1,10:27.0,Defensive rebound by J. Johnson,,0,2
10,1,10:18.0,J. Richardson misses 3-pt jump shot from 22 ft,,0,2
11,1,10:14.0,,Defensive rebound by T. Thompson,0,2
12,1,10:03.0,,L. James makes 2-pt jump shot from 4 ft,0,4
13,1,9:50.0,J. Richardson misses 2-pt layup at rim,,0,4
14,1,9:48.0,,Defensive rebound by J. Crowder,0,4
15,1,9:43.0,,I. Thomas misses 3-pt jump shot from 22 ft,0,4
16,1,9:39.0,Defensive rebound by T. Johnson,,0,4
17,1,9:25.0,T. Johnson misses 3-pt jump shot from 24 ft,,0,4
18,1,9:21.0,,Defensive rebound by L. James,0,4
19,1,9:13.0,,I. Thomas makes 2-pt jump shot from 16 ft,0,6
20,1,8:58.0,Personal foul by T. Thompson (drawn by H. Whiteside),,0,6
21,1,8:45.0,J. Richardson makes 2-pt layup from 1 ft,,2,6
22,1,8:32.0,,L. James makes 2-pt jump shot from 21 ft,2,8
23,1,8:21.0,Turnover by G. Dragić (lost ball; steal by I. Thomas),,2,8
24,1,8:17.0,,T. Thompson misses 2-pt layup from 2 ft,2,8
25,1,8:17.0,,Offensive rebound by I. Thomas,2,8
26,1,8:17.0,,Shooting foul by T. Johnson (drawn by I. Thomas),2,8
27,1,8:17.0,,I. Thomas makes free throw 1 of 2,2,9
28,1,8:17.0,,I. Thomas makes free throw 2 of 2,2,10
29,1,8:07.0,J. Richardson misses 2-pt jump shot from 15 ft,,2,10
30,1,8:04.0,,Defensive rebound by I. Thomas,2,10
31,1,7:53.0,,L. James misses 2-pt jump shot from 15 ft,2,10
32,1,7:51.0,Defensive rebound by T. Johnson,,2,10
33,1,7:43.0,Shooting foul by I. Thomas (drawn by H. Whiteside),,2,10
34,1,7:43.0,H. Whiteside misses free throw 1 of 2,,2,10
35,1,7:43.0,Offensive rebound by Team,,2,10
36,1,7:43.0,H. Whiteside makes free throw 2 of 2,,3,10
37,1,7:34.0,,Offensive foul by L. James (drawn by T. Johnson),3,10
38,1,7:34.0,,Turnover by L. James (offensive foul),3,10
39,1,7:20.0,T. Johnson makes 2-pt layup at rim (assist by J. Johnson),,5,10
