,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:41.0,Turnover by V. Carter (bad pass),,0,0
1,1,11:27.0,,J. Jackson makes 2-pt layup at rim,0,2
2,1,11:12.0,V. Carter misses 3-pt jump shot from 26 ft,,0,2
3,1,11:09.0,,Defensive rebound by M. Chriss,0,2
4,1,10:53.0,,M. Chriss misses 2-pt jump shot from 2 ft,0,2
5,1,10:51.0,Defensive rebound by J. Jackson,,0,2
6,1,10:44.0,B. Bogdanović makes 2-pt jump shot from 10 ft,,2,2
7,1,10:27.0,,D. Bender misses 3-pt jump shot from 25 ft,2,2
8,1,10:27.0,Defensive rebound by Team,,2,2
9,1,10:04.0,B. Bogdanović makes 2-pt jump shot from 4 ft,,4,2
10,1,9:48.0,,T. Ulis misses 2-pt jump shot from 21 ft,4,2
11,1,9:44.0,Defensive rebound by W. Cauley-Stein,,4,2
12,1,9:42.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,4,2
13,1,9:38.0,,Defensive rebound by D. Bender,4,2
14,1,9:31.0,,J. Jackson misses 2-pt layup at rim,4,2
15,1,9:26.0,,Offensive rebound by D. Bender,4,2
16,1,9:26.0,,D. Bender makes 2-pt layup at rim,4,4
17,1,9:09.0,V. Carter makes 2-pt layup from 1 ft,,6,4
18,1,8:49.0,,T. Daniels misses 2-pt layup at rim,6,4
19,1,8:46.0,Defensive rebound by D. Fox,,6,4
20,1,8:40.0,D. Fox misses 2-pt jump shot from 11 ft,,6,4
21,1,8:37.0,,Defensive rebound by T. Ulis,6,4
22,1,8:34.0,,J. Jackson misses 2-pt layup at rim (block by J. Jackson),6,4
23,1,8:34.0,Defensive rebound by Team,,6,4
24,1,8:23.0,,Violation by M. Chriss (kicked ball),6,4
25,1,8:13.0,Turnover by B. Bogdanović (lost ball; steal by J. Jackson),,6,4
26,1,8:08.0,,J. Jackson misses 2-pt layup at rim,6,4
27,1,8:06.0,Defensive rebound by D. Fox,,6,4
28,1,8:02.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),,8,4
29,1,7:41.0,,M. Chriss misses 3-pt jump shot from 26 ft,8,4
30,1,7:40.0,Defensive rebound by D. Fox,,8,4
31,1,7:34.0,D. Fox misses 3-pt jump shot from 24 ft,,8,4
32,1,7:30.0,,Defensive rebound by J. Jackson,8,4
33,1,7:20.0,,M. Chriss misses 2-pt jump shot from 5 ft,8,4
34,1,7:18.0,Defensive rebound by D. Fox,,8,4
