,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DALLAS_ACTION,SACRAMENTO_SCORE,DALLAS_SCORE
0,1,11:37.0,Z. Randolph makes 2-pt jump shot from 17 ft (assist by B. Hield),,2,0
1,1,11:24.0,,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by J. Barea),2,2
2,1,11:02.0,Turnover by B. Hield (bad pass; steal by W. Matthews),,2,2
3,1,10:58.0,,Turnover by W. Matthews (bad pass),2,2
4,1,10:42.0,J. Jackson misses 2-pt jump shot from 15 ft,,2,2
5,1,10:40.0,,Defensive rebound by D. Nowitzki,2,2
6,1,10:31.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),2,5
7,1,10:16.0,J. Jackson makes 2-pt jump shot from 13 ft (assist by B. Hield),,4,5
8,1,10:00.0,,W. Matthews misses 3-pt jump shot from 25 ft,4,5
9,1,10:00.0,Defensive rebound by W. Cauley-Stein,,4,5
10,1,9:38.0,G. Hill misses 2-pt layup from 3 ft,,4,5
11,1,9:35.0,,Defensive rebound by D. Nowitzki,4,5
12,1,9:32.0,,J. Barea misses 3-pt jump shot from 26 ft,4,5
13,1,9:32.0,Defensive rebound by W. Cauley-Stein,,4,5
14,1,9:20.0,Z. Randolph misses 2-pt layup from 1 ft,,4,5
15,1,9:20.0,,Defensive rebound by D. Nowitzki,4,5
16,1,9:07.0,Violation by G. Hill (kicked ball),,4,5
17,1,8:56.0,,H. Barnes makes 2-pt jump shot from 16 ft (assist by J. Barea),4,7
18,1,8:33.0,Shooting foul by D. Nowitzki (drawn by W. Cauley-Stein),,4,7
19,1,8:33.0,W. Cauley-Stein makes free throw 1 of 2,,5,7
20,1,8:33.0,W. Cauley-Stein makes free throw 2 of 2,,6,7
21,1,8:18.0,,Turnover by J. Barea (bad pass; steal by G. Hill),6,7
22,1,8:14.0,G. Hill makes 2-pt layup from 2 ft,,8,7
23,1,8:04.0,,N. Noel makes 2-pt dunk from 1 ft (assist by H. Barnes),8,9
24,1,7:44.0,Turnover by G. Hill (bad pass),,8,9
25,1,7:30.0,,N. Noel makes 2-pt dunk from 1 ft (assist by J. Barea),8,11
26,1,7:15.0,Z. Randolph misses 3-pt jump shot from 25 ft,,8,11
27,1,7:12.0,Offensive rebound by W. Cauley-Stein,,8,11
28,1,7:11.0,B. Hield misses 3-pt jump shot from 24 ft,,8,11
29,1,7:10.0,,Defensive rebound by Team,8,11
30,1,7:10.0,,Y. Ferrell enters the game for D. Nowitzki,8,11
31,1,7:10.0,,D. Powell enters the game for J. Barea,8,11
32,1,6:53.0,,D. Powell makes 3-pt jump shot from 24 ft (assist by W. Matthews),8,14
33,1,6:35.0,Personal foul by W. Matthews (drawn by B. Hield),,8,14
34,1,6:35.0,,Dallas full timeout,8,14
35,1,6:28.0,Z. Randolph misses 2-pt layup from 4 ft (block by N. Noel),,8,14
36,1,6:24.0,,Defensive rebound by N. Noel,8,14
37,1,6:22.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,8,14
38,1,6:22.0,,Offensive rebound by D. Powell,8,14
39,1,6:07.0,,D. Powell misses 3-pt jump shot from 25 ft,8,14
40,1,6:04.0,Defensive rebound by B. Hield,,8,14
41,1,5:51.0,B. Hield makes 2-pt jump shot from 13 ft,,10,14
42,1,5:28.0,,H. Barnes makes 2-pt layup from 1 ft (assist by D. Powell),10,16
43,1,5:01.0,Turnover by G. Hill (bad pass; steal by N. Noel),,10,16
44,1,4:52.0,,D. Powell misses 3-pt jump shot from 27 ft,10,16
45,1,4:48.0,Defensive rebound by J. Jackson,,10,16
46,1,4:36.0,Turnover by G. Hill (traveling),,10,16
47,1,4:36.0,G. Temple enters the game for J. Jackson,,10,16
48,1,4:26.0,,Turnover by Y. Ferrell (bad pass; steal by Z. Randolph),10,16
49,1,4:19.0,Turnover by G. Hill (step out of bounds),,10,16
50,1,4:19.0,,S. Mejri enters the game for N. Noel,10,16
51,1,4:03.0,,Y. Ferrell makes 2-pt layup from 2 ft,10,18
52,1,3:56.0,Sacramento full timeout,,10,18
53,1,3:56.0,D. Fox enters the game for W. Cauley-Stein,,10,18
54,1,3:56.0,K. Koufos enters the game for G. Hill,,10,18
55,1,3:50.0,G. Temple misses 2-pt jump shot from 17 ft,,10,18
56,1,3:46.0,,Defensive rebound by S. Mejri,10,18
57,1,3:26.0,,H. Barnes misses 2-pt layup from 3 ft (block by K. Koufos),10,18
58,1,3:23.0,Defensive rebound by G. Temple,,10,18
59,1,3:21.0,D. Fox misses 2-pt jump shot from 20 ft,,10,18
60,1,3:16.0,Offensive rebound by Z. Randolph,,10,18
61,1,3:16.0,Z. Randolph misses 2-pt layup at rim,,10,18
62,1,3:15.0,,Defensive rebound by D. Powell,10,18
63,1,3:03.0,,Y. Ferrell misses 2-pt jump shot from 6 ft,10,18
64,1,3:01.0,Defensive rebound by D. Fox,,10,18
65,1,2:43.0,G. Temple makes 3-pt jump shot from 24 ft (assist by D. Fox),,13,18
66,1,2:24.0,,Shooting foul by K. Koufos (drawn by Y. Ferrell),13,18
67,1,2:24.0,,Y. Ferrell makes free throw 1 of 2,13,19
68,1,2:24.0,,Y. Ferrell makes free throw 2 of 2,13,20
69,1,2:24.0,,D. Finney-Smith enters the game for D. Powell,13,20
70,1,2:24.0,,J. Barea enters the game for W. Matthews,13,20
71,1,2:24.0,,D. Nowitzki enters the game for H. Barnes,13,20
72,1,2:24.0,S. Labissière enters the game for Z. Randolph,,13,20
73,1,2:11.0,S. Labissière makes 2-pt jump shot from 12 ft (assist by D. Fox),,15,20
74,1,1:49.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,15,20
75,1,1:47.0,Defensive rebound by B. Hield,,15,20
76,1,1:38.0,D. Fox misses 2-pt jump shot from 6 ft (block by S. Mejri),,15,20
77,1,1:35.0,,Defensive rebound by S. Mejri,15,20
78,1,1:28.0,,Shooting foul by D. Fox (drawn by D. Finney-Smith),15,20
79,1,1:28.0,,D. Finney-Smith makes free throw 1 of 2,15,21
80,1,1:28.0,,D. Finney-Smith misses free throw 2 of 2,15,21
81,1,1:25.0,Defensive rebound by K. Koufos,,15,21
82,1,1:19.0,D. Fox misses 2-pt jump shot from 23 ft,,15,21
83,1,1:19.0,Offensive rebound by S. Labissière,,15,21
84,1,1:09.0,S. Labissière makes 2-pt hook shot from 3 ft (assist by D. Fox),,17,21
85,1,0:44.0,,J. Barea misses 2-pt jump shot from 11 ft,17,21
86,1,0:42.0,,Offensive rebound by D. Finney-Smith,17,21
87,1,0:34.0,,J. Barea makes 2-pt layup from 4 ft,17,23
88,1,0:29.0,S. Labissière makes 2-pt jump shot from 13 ft (assist by D. Fox),,19,23
89,1,0:06.0,,J. Barea misses 2-pt layup from 2 ft (block by S. Labissière),19,23
90,1,0:06.0,,Offensive rebound by Team,19,23
91,1,0:06.0,,W. Matthews enters the game for D. Finney-Smith,19,23
92,1,0:06.0,,D. Powell enters the game for D. Nowitzki,19,23
93,1,0:03.0,,D. Powell misses 2-pt jump shot from 22 ft,19,23
94,1,0:01.0,B. Hield misses 3-pt jump shot from 50 ft,,19,23
95,1,0:01.0,Offensive rebound by Team,,19,23
96,1,0:00.0,Offensive rebound by B. Hield,,19,23
97,2,11:48.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),19,25
98,2,11:35.0,Personal block foul by D. Finney-Smith (drawn by V. Carter),,19,25
99,2,11:28.0,V. Carter misses 3-pt jump shot from 26 ft,,19,25
100,2,11:25.0,Offensive rebound by K. Koufos,,19,25
101,2,11:25.0,Personal foul by J. Barea (drawn by K. Koufos),,19,25
102,2,11:12.0,S. Labissière misses 2-pt jump shot from 12 ft,,19,25
103,2,11:09.0,,Defensive rebound by J. Barea,19,25
104,2,11:00.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,19,25
105,2,10:56.0,Defensive rebound by S. Labissière,,19,25
106,2,10:52.0,D. Fox makes 2-pt layup from 2 ft,,21,25
107,2,10:39.0,,J. Barea misses 2-pt layup from 5 ft,21,25
108,2,10:38.0,Defensive rebound by D. Fox,,21,25
109,2,10:28.0,S. Labissière misses 2-pt layup from 3 ft,,21,25
110,2,10:28.0,Offensive rebound by D. Fox,,21,25
111,2,10:25.0,V. Carter makes 3-pt jump shot from 25 ft (assist by D. Fox),,24,25
112,2,9:58.0,,D. Finney-Smith makes 2-pt jump shot from 21 ft (assist by J. Barea),24,27
113,2,9:45.0,D. Fox makes 2-pt jump shot from 17 ft,,26,27
114,2,9:26.0,,Personal foul by S. Labissière (drawn by D. Nowitzki),26,27
115,2,9:26.0,,Y. Ferrell enters the game for J. Barea,26,27
116,2,9:20.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by Y. Ferrell),26,29
117,2,9:09.0,Turnover by K. Koufos (lost ball; steal by G. Clavell),,26,29
118,2,9:04.0,,Personal foul by K. Koufos (drawn by D. Nowitzki),26,29
119,2,8:59.0,,G. Clavell makes 3-pt jump shot from 22 ft (assist by Y. Ferrell),26,32
120,2,8:52.0,Sacramento full timeout,,26,32
121,2,8:39.0,D. Fox misses 2-pt jump shot from 14 ft,,26,32
122,2,8:36.0,,Defensive rebound by D. Nowitzki,26,32
123,2,8:23.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,26,32
124,2,8:19.0,,Offensive rebound by G. Clavell,26,32
125,2,8:18.0,,G. Clavell misses 3-pt jump shot from 23 ft,26,32
126,2,8:18.0,Defensive rebound by V. Carter,,26,32
127,2,8:06.0,S. Labissière misses 2-pt jump shot from 15 ft,,26,32
128,2,8:02.0,,Defensive rebound by Y. Ferrell,26,32
129,2,7:53.0,,Turnover by Y. Ferrell (bad pass; steal by D. Fox),26,32
130,2,7:50.0,D. Fox misses 2-pt layup from 2 ft,,26,32
131,2,7:47.0,Offensive rebound by G. Temple,,26,32
132,2,7:36.0,S. Labissière misses 2-pt layup from 1 ft (block by S. Mejri),,26,32
133,2,7:33.0,,Defensive rebound by D. Nowitzki,26,32
134,2,7:30.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),26,35
135,2,7:15.0,Turnover by D. Fox (traveling),,26,35
136,2,7:15.0,,N. Noel enters the game for G. Clavell,26,35
137,2,7:15.0,,H. Barnes enters the game for D. Nowitzki,26,35
138,2,7:15.0,,W. Matthews enters the game for S. Mejri,26,35
139,2,7:15.0,G. Hill enters the game for S. Labissière,,26,35
140,2,6:54.0,,Turnover by W. Matthews (lost ball; steal by G. Temple),26,35
141,2,6:45.0,G. Temple misses 3-pt jump shot from 25 ft,,26,35
142,2,6:39.0,Offensive rebound by K. Koufos,,26,35
143,2,6:39.0,K. Koufos misses 2-pt layup at rim,,26,35
144,2,6:38.0,,Defensive rebound by N. Noel,26,35
145,2,6:33.0,,Y. Ferrell makes 3-pt jump shot from 24 ft,26,38
146,2,6:12.0,D. Fox makes 3-pt jump shot from 22 ft (assist by G. Temple),,29,38
147,2,5:50.0,,H. Barnes misses 2-pt jump shot from 9 ft,29,38
148,2,5:47.0,,Offensive rebound by D. Finney-Smith,29,38
149,2,5:47.0,,D. Finney-Smith makes 2-pt layup at rim,29,40
150,2,5:27.0,V. Carter misses 3-pt jump shot from 22 ft,,29,40
151,2,5:23.0,,Defensive rebound by Y. Ferrell,29,40
152,2,5:20.0,,Y. Ferrell misses 3-pt jump shot from 26 ft,29,40
153,2,5:15.0,,Offensive rebound by H. Barnes,29,40
154,2,5:13.0,,W. Matthews misses 3-pt jump shot from 25 ft,29,40
155,2,5:13.0,Defensive rebound by G. Temple,,29,40
156,2,4:54.0,G. Temple makes 3-pt jump shot from 22 ft (assist by D. Fox),,32,40
157,2,4:37.0,,W. Matthews misses 3-pt jump shot from 25 ft,32,40
158,2,4:35.0,Defensive rebound by G. Temple,,32,40
159,2,4:32.0,Personal foul by D. Finney-Smith (drawn by G. Temple),,32,40
160,2,4:32.0,,J. Barea enters the game for D. Finney-Smith,32,40
161,2,4:32.0,W. Cauley-Stein enters the game for G. Temple,,32,40
162,2,4:32.0,Z. Randolph enters the game for K. Koufos,,32,40
163,2,4:24.0,D. Fox misses 2-pt jump shot from 19 ft,,32,40
164,2,4:24.0,Offensive rebound by W. Cauley-Stein,,32,40
165,2,4:11.0,Z. Randolph misses 2-pt jump shot from 7 ft (block by N. Noel),,32,40
166,2,4:09.0,Offensive rebound by G. Hill,,32,40
167,2,4:07.0,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by G. Hill),,34,40
168,2,3:51.0,,Personal block foul by W. Cauley-Stein (drawn by H. Barnes),34,40
169,2,3:51.0,,Dallas full timeout,34,40
170,2,3:47.0,,Personal foul by V. Carter (drawn by N. Noel),34,40
171,2,3:38.0,,H. Barnes misses 2-pt layup from 1 ft,34,40
172,2,3:36.0,,Offensive rebound by N. Noel,34,40
173,2,3:34.0,,N. Noel makes 2-pt layup from 2 ft,34,42
174,2,3:18.0,G. Hill makes 2-pt jump shot from 21 ft (assist by D. Fox),,36,42
175,2,3:07.0,,Personal foul by D. Fox (drawn by Y. Ferrell),36,42
176,2,3:07.0,,Y. Ferrell makes free throw 1 of 2,36,43
177,2,3:07.0,B. Hield enters the game for D. Fox,,36,43
178,2,3:07.0,,Y. Ferrell misses free throw 2 of 2,36,43
179,2,3:05.0,Defensive rebound by W. Cauley-Stein,,36,43
180,2,2:47.0,V. Carter misses 2-pt jump shot from 8 ft,,36,43
181,2,2:43.0,,Defensive rebound by N. Noel,36,43
182,2,2:33.0,,H. Barnes misses 2-pt jump shot from 6 ft,36,43
183,2,2:30.0,Defensive rebound by V. Carter,,36,43
184,2,2:26.0,B. Hield makes 2-pt jump shot from 20 ft,,38,43
185,2,2:13.0,,Personal foul by W. Cauley-Stein (drawn by H. Barnes),38,43
186,2,2:13.0,,H. Barnes makes free throw 1 of 2,38,44
187,2,2:13.0,,D. Nowitzki enters the game for J. Barea,38,44
188,2,2:13.0,G. Temple enters the game for V. Carter,,38,44
189,2,2:13.0,,H. Barnes misses free throw 2 of 2,38,44
