,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
0,1,11:38.0,J. Holiday misses 2-pt layup from 9 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Jerebko,0,0
2,1,11:29.0,,R. Rubio misses 2-pt jump shot from 17 ft,0,0
3,1,11:29.0,Defensive rebound by R. Rondo,,0,0
4,1,11:22.0,J. Holiday misses 3-pt jump shot from 25 ft,,0,0
5,1,11:22.0,,Defensive rebound by D. Favors,0,0
6,1,11:05.0,,J. Jerebko misses 3-pt jump shot from 22 ft,0,0
7,1,11:02.0,Defensive rebound by R. Rondo,,0,0
8,1,10:55.0,A. Davis makes 2-pt layup from 1 ft (assist by R. Rondo),,2,0
9,1,10:55.0,Shooting foul by J. Jerebko (drawn by A. Davis),,2,0
10,1,10:55.0,A. Davis misses free throw 1 of 1,,2,0
11,1,10:53.0,,Defensive rebound by J. Jerebko,2,0
12,1,10:39.0,,D. Mitchell makes 3-pt jump shot from 27 ft (assist by D. Favors),2,3
13,1,10:25.0,E. Moore makes 2-pt jump shot from 23 ft (assist by J. Holiday),,4,3
14,1,10:08.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by D. Favors),4,6
15,1,9:51.0,Shooting foul by J. Jerebko (drawn by A. Davis),,4,6
16,1,9:51.0,A. Davis misses free throw 1 of 2,,4,6
17,1,9:51.0,Offensive rebound by Team,,4,6
18,1,9:51.0,,T. Sefolosha enters the game for J. Jerebko,4,6
19,1,9:51.0,A. Davis misses free throw 2 of 2,,4,6
20,1,9:49.0,,Defensive rebound by R. Rubio,4,6
21,1,9:32.0,,Loose ball foul by D. Mitchell (drawn by R. Rondo),4,6
22,1,9:32.0,,Turnover by D. Mitchell (turnover),4,6
23,1,9:16.0,A. Davis makes 2-pt jump shot from 16 ft,,6,6
24,1,9:03.0,,Shooting foul by D. Cousins (drawn by D. Favors),6,6
25,1,9:03.0,,D. Favors misses free throw 1 of 2,6,6
26,1,9:03.0,,Offensive rebound by Team,6,6
27,1,9:03.0,,D. Favors misses free throw 2 of 2,6,6
28,1,9:00.0,Defensive rebound by R. Rondo,,6,6
29,1,8:56.0,A. Davis makes 2-pt layup at rim (assist by R. Rondo),,8,6
30,1,8:39.0,,D. Mitchell misses 2-pt layup from 2 ft,8,6
31,1,8:38.0,,Offensive rebound by D. Favors,8,6
32,1,8:36.0,,D. Mitchell makes 2-pt layup from 3 ft (assist by D. Favors),8,8
33,1,8:26.0,D. Cousins misses 3-pt jump shot from 25 ft,,8,8
34,1,8:23.0,,Defensive rebound by J. Ingles,8,8
35,1,8:10.0,,J. Ingles makes 3-pt jump shot from 25 ft,8,11
36,1,7:55.0,A. Davis misses 2-pt jump shot from 7 ft,,8,11
37,1,7:53.0,,Defensive rebound by R. Rubio,8,11
38,1,7:49.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),8,14
39,1,7:39.0,New Orleans full timeout,,8,14
40,1,7:32.0,Turnover by J. Holiday (bad pass; steal by D. Favors),,8,14
41,1,7:28.0,,T. Sefolosha misses 2-pt layup from 3 ft (block by J. Holiday),8,14
42,1,7:28.0,,Offensive rebound by Team,8,14
43,1,7:18.0,,R. Rubio misses 2-pt jump shot from 12 ft,8,14
44,1,7:15.0,Defensive rebound by A. Davis,,8,14
45,1,7:06.0,R. Rondo misses 3-pt jump shot from 25 ft,,8,14
46,1,7:04.0,,Defensive rebound by D. Favors,8,14
47,1,6:49.0,,J. Ingles misses 3-pt jump shot from 29 ft,8,14
48,1,6:46.0,Defensive rebound by A. Davis,,8,14
49,1,6:35.0,R. Rondo makes 2-pt layup from 2 ft (assist by D. Cousins),,10,14
50,1,6:09.0,,D. Mitchell misses 2-pt jump shot from 23 ft,10,14
51,1,6:07.0,Defensive rebound by D. Cousins,,10,14
52,1,5:53.0,D. Cousins misses 2-pt layup from 4 ft,,10,14
53,1,5:47.0,Offensive rebound by D. Cousins,,10,14
54,1,5:47.0,D. Cousins makes 2-pt layup at rim,,12,14
55,1,5:37.0,,D. Mitchell misses 3-pt jump shot from 24 ft,12,14
56,1,5:33.0,Defensive rebound by D. Cousins,,12,14
57,1,5:23.0,R. Rondo misses 2-pt layup from 3 ft,,12,14
58,1,5:21.0,,Defensive rebound by T. Sefolosha,12,14
59,1,5:13.0,,Turnover by D. Mitchell (bad pass; steal by A. Davis),12,14
60,1,5:07.0,Personal foul by J. Ingles (drawn by A. Davis),,12,14
61,1,5:07.0,,A. Burks enters the game for R. Rubio,12,14
62,1,5:03.0,D. Cousins misses 2-pt hook shot from 9 ft,,12,14
63,1,5:01.0,,Defensive rebound by D. Mitchell,12,14
64,1,4:47.0,,Turnover by D. Favors (lost ball; steal by E. Moore),12,14
65,1,4:43.0,E. Moore makes 2-pt dunk from 1 ft (assist by R. Rondo),,14,14
66,1,4:43.0,,Utah full timeout,14,14
67,1,4:43.0,,E. Udoh enters the game for D. Favors,14,14
68,1,4:43.0,J. Nelson enters the game for R. Rondo,,14,14
69,1,4:43.0,D. Miller enters the game for A. Davis,,14,14
70,1,4:30.0,,D. Mitchell misses 2-pt jump shot from 11 ft,14,14
71,1,4:26.0,Defensive rebound by D. Cousins,,14,14
72,1,4:08.0,J. Nelson makes 3-pt jump shot from 22 ft (assist by D. Miller),,17,14
73,1,3:50.0,,A. Burks misses 3-pt jump shot from 25 ft,17,14
74,1,3:50.0,Defensive rebound by D. Cousins,,17,14
75,1,3:38.0,E. Moore makes 3-pt jump shot from 24 ft (assist by D. Cousins),,20,14
76,1,3:17.0,,A. Burks makes 2-pt jump shot from 7 ft,20,16
77,1,3:05.0,J. Holiday misses 3-pt jump shot from 25 ft,,20,16
78,1,3:02.0,,Defensive rebound by J. Ingles,20,16
79,1,2:54.0,,T. Sefolosha makes 3-pt jump shot from 22 ft (assist by J. Ingles),20,19
80,1,2:30.0,D. Cousins makes 2-pt layup from 1 ft,,22,19
81,1,2:16.0,,J. Ingles misses 3-pt jump shot from 25 ft,22,19
82,1,2:13.0,Defensive rebound by D. Cousins,,22,19
83,1,2:01.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by E. Moore),,24,19
84,1,1:43.0,,A. Burks makes 2-pt jump shot from 10 ft,24,21
85,1,1:17.0,E. Moore makes 3-pt jump shot from 23 ft (assist by D. Cousins),,27,21
86,1,0:59.0,,D. Mitchell misses 2-pt jump shot from 20 ft,27,21
87,1,0:56.0,,Offensive rebound by E. Udoh,27,21
88,1,0:50.0,,A. Burks makes 2-pt layup from 2 ft,27,23
89,1,0:45.0,E. Moore misses 3-pt jump shot from 24 ft,,27,23
90,1,0:42.0,,Defensive rebound by J. Ingles,27,23
91,1,0:28.0,,D. Mitchell makes 3-pt jump shot from 25 ft,27,26
92,1,0:08.0,Shooting foul by E. Udoh (drawn by D. Cousins),,27,26
