,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW YORK_ACTION,DALLAS_SCORE,NEW YORK_SCORE
0,1,11:42.0,,E. Mudiay makes 2-pt jump shot from 11 ft,0,2
1,1,11:21.0,D. Smith makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),,3,2
2,1,11:00.0,,Turnover by E. Freedom (lost ball; steal by D. Nowitzki),3,2
3,1,10:53.0,Turnover by D. Nowitzki (bad pass; steal by C. Lee),,3,2
4,1,10:53.0,,Personal foul by D. Nowitzki (drawn by E. Mudiay),3,2
5,1,10:36.0,,L. Thomas misses 3-pt jump shot from 25 ft,3,2
6,1,10:32.0,Defensive rebound by D. Finney-Smith,,3,2
7,1,10:17.0,D. Smith misses 3-pt jump shot from 25 ft,,3,2
8,1,10:15.0,,Defensive rebound by T. Hardaway,3,2
9,1,10:12.0,,Personal foul by D. Finney-Smith (drawn by T. Hardaway),3,2
10,1,9:56.0,,T. Hardaway misses 3-pt jump shot from 23 ft,3,2
11,1,9:53.0,,Offensive rebound by E. Freedom,3,2
12,1,9:51.0,,E. Freedom misses 2-pt layup at rim,3,2
13,1,9:50.0,,Offensive rebound by E. Freedom,3,2
14,1,9:50.0,,E. Freedom misses 2-pt layup at rim,3,2
15,1,9:50.0,,Offensive rebound by E. Freedom,3,2
16,1,9:50.0,,Shooting foul by D. Nowitzki (drawn by E. Freedom),3,2
17,1,9:50.0,N. Noel enters the game for D. Nowitzki,,3,2
18,1,9:50.0,,E. Freedom misses free throw 1 of 2,3,2
19,1,9:50.0,,Offensive rebound by Team,3,2
20,1,9:50.0,,E. Freedom makes free throw 2 of 2,3,3
21,1,9:30.0,H. Barnes makes 2-pt layup from 1 ft,,5,3
22,1,9:13.0,,T. Hardaway misses 2-pt layup from 1 ft (block by D. Smith),5,3
23,1,9:10.0,,Offensive rebound by E. Freedom,5,3
24,1,9:09.0,,E. Freedom makes 2-pt layup from 1 ft,5,5
25,1,9:02.0,D. Smith misses 2-pt jump shot from 14 ft,,5,5
26,1,9:02.0,,Defensive rebound by Team,5,5
27,1,8:53.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by L. Thomas),5,8
28,1,8:39.0,Personal foul by L. Thomas (drawn by H. Barnes),,5,8
29,1,8:30.0,D. Finney-Smith misses 3-pt jump shot from 22 ft,,5,8
30,1,8:28.0,,Defensive rebound by E. Freedom,5,8
31,1,8:23.0,,Personal foul by D. Smith (drawn by E. Mudiay),5,8
32,1,8:11.0,,Turnover by E. Mudiay (bad pass; steal by Y. Ferrell),5,8
33,1,8:02.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by N. Noel),,8,8
34,1,7:49.0,,T. Hardaway makes 2-pt layup at rim (assist by E. Mudiay),8,10
35,1,7:32.0,H. Barnes makes 2-pt jump shot from 17 ft,,10,10
36,1,7:18.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by L. Thomas),10,13
37,1,6:59.0,N. Noel misses 2-pt layup from 3 ft,,10,13
38,1,6:56.0,Offensive rebound by D. Smith,,10,13
39,1,6:53.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,10,13
