,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:45.0,,K. Lowry makes 2-pt jump shot from 10 ft (assist by J. Valančiūnas),0,2
1,1,11:32.0,E. Bledsoe makes 2-pt jump shot from 8 ft,,2,2
2,1,11:18.0,,K. Lowry misses 3-pt jump shot from 25 ft,2,2
3,1,11:16.0,Defensive rebound by G. Antetokounmpo,,2,2
4,1,11:08.0,Personal foul by K. Lowry (drawn by G. Antetokounmpo),,2,2
5,1,10:58.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,4,2
6,1,10:41.0,,S. Ibaka misses 2-pt jump shot from 17 ft,4,2
7,1,10:39.0,Defensive rebound by J. Henson,,4,2
8,1,10:35.0,Turnover by E. Bledsoe (bad pass),,4,2
9,1,10:27.0,,D. DeRozan makes 2-pt jump shot from 16 ft,4,4
10,1,10:11.0,Shooting foul by D. DeRozan (drawn by K. Middleton),,4,4
11,1,10:11.0,K. Middleton makes free throw 1 of 3,,5,4
12,1,10:11.0,K. Middleton makes free throw 2 of 3,,6,4
13,1,10:11.0,K. Middleton makes free throw 3 of 3,,7,4
14,1,9:50.0,,K. Lowry makes 3-pt jump shot from 22 ft (assist by D. DeRozan),7,7
15,1,9:33.0,E. Bledsoe makes 2-pt jump shot from 12 ft,,9,7
16,1,9:16.0,,S. Ibaka makes 3-pt jump shot from 25 ft,9,10
17,1,9:03.0,K. Middleton misses 2-pt jump shot from 10 ft,,9,10
18,1,9:00.0,,Defensive rebound by J. Valančiūnas,9,10
19,1,8:53.0,,Personal foul by T. Snell (drawn by S. Ibaka),9,10
20,1,8:43.0,,D. DeRozan misses 2-pt layup from 2 ft (block by G. Antetokounmpo),9,10
21,1,8:40.0,Defensive rebound by G. Antetokounmpo,,9,10
22,1,8:37.0,T. Snell misses 3-pt jump shot from 24 ft,,9,10
23,1,8:37.0,,Defensive rebound by S. Ibaka,9,10
24,1,8:35.0,,Personal foul by K. Middleton (drawn by S. Ibaka),9,10
25,1,8:22.0,,S. Ibaka makes 2-pt layup from 3 ft (assist by K. Lowry),9,12
26,1,8:05.0,J. Henson misses 2-pt hook shot from 6 ft,,9,12
27,1,8:03.0,,Defensive rebound by S. Ibaka,9,12
