,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:50.0,Shooting foul by T. Prince (drawn by R. Bullock),,0,0
1,1,11:50.0,R. Bullock makes free throw 1 of 2,,1,0
2,1,11:50.0,R. Bullock makes free throw 2 of 2,,2,0
3,1,11:38.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by K. Bazemore),2,3
4,1,11:21.0,Turnover by I. Smith (bad pass; steal by D. Dedmon),,2,3
5,1,11:18.0,,D. Dedmon misses 2-pt layup from 1 ft,2,3
6,1,11:17.0,Defensive rebound by A. Drummond,,2,3
7,1,11:03.0,A. Drummond makes 2-pt jump shot from 12 ft (assist by R. Bullock),,4,3
8,1,10:46.0,,K. Bazemore misses 2-pt layup from 2 ft,4,3
9,1,10:44.0,Defensive rebound by S. Johnson,,4,3
10,1,10:41.0,S. Johnson misses 2-pt jump shot from 20 ft,,4,3
11,1,10:37.0,,Defensive rebound by E. İlyasova,4,3
12,1,10:20.0,,D. Schröder makes 2-pt layup from 1 ft,4,5
13,1,10:03.0,B. Griffin misses 2-pt layup from 8 ft,,4,5
14,1,9:57.0,Offensive rebound by B. Griffin,,4,5
15,1,9:57.0,B. Griffin makes 2-pt layup at rim,,6,5
16,1,9:53.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Schröder),6,7
17,1,9:53.0,,Shooting foul by R. Bullock (drawn by D. Dedmon),6,7
18,1,9:53.0,,D. Dedmon makes free throw 1 of 1,6,8
19,1,9:43.0,Turnover by R. Bullock (traveling),,6,8
20,1,9:27.0,,E. İlyasova misses 3-pt jump shot from 23 ft,6,8
21,1,9:23.0,Defensive rebound by A. Drummond,,6,8
22,1,9:13.0,R. Bullock misses 3-pt jump shot from 24 ft,,6,8
23,1,9:08.0,,Defensive rebound by D. Dedmon,6,8
24,1,9:01.0,,Personal block foul by I. Smith (drawn by D. Schröder),6,8
25,1,8:54.0,,T. Prince misses 3-pt jump shot from 22 ft,6,8
26,1,8:52.0,,Offensive rebound by Team,6,8
27,1,8:50.0,,D. Schröder misses 2-pt jump shot from 15 ft,6,8
28,1,8:45.0,Defensive rebound by R. Bullock,,6,8
29,1,8:38.0,A. Drummond misses 2-pt layup from 4 ft,,6,8
30,1,8:38.0,Offensive rebound by Team,,6,8
31,1,8:36.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by I. Smith),,9,8
32,1,8:14.0,,E. İlyasova makes 2-pt layup at rim (assist by T. Prince),9,10
33,1,7:58.0,B. Griffin misses 3-pt jump shot from 25 ft,,9,10
34,1,7:56.0,,Defensive rebound by D. Dedmon,9,10
35,1,7:50.0,,D. Schröder makes 2-pt jump shot from 11 ft,9,12
36,1,7:32.0,R. Bullock makes 2-pt jump shot from 22 ft (assist by B. Griffin),,11,12
37,1,7:18.0,,Turnover by D. Schröder (bad pass; steal by A. Drummond),11,12
38,1,7:14.0,Turnover by A. Drummond (lost ball; steal by D. Schröder),,11,12
39,1,7:06.0,,Turnover by D. Dedmon (lost ball; steal by B. Griffin),11,12
40,1,7:00.0,Shooting foul by E. İlyasova (drawn by A. Drummond),,11,12
41,1,7:00.0,A. Drummond makes free throw 1 of 2,,12,12
42,1,7:00.0,,T. Dorsey enters the game for T. Prince,12,12
43,1,7:00.0,,Atlanta full timeout,12,12
44,1,7:00.0,A. Drummond misses free throw 2 of 2,,12,12
45,1,6:57.0,,Defensive rebound by D. Dedmon,12,12
46,1,6:38.0,,E. İlyasova misses 2-pt jump shot from 3 ft,12,12
47,1,6:33.0,Defensive rebound by B. Griffin,,12,12
48,1,6:26.0,,Violation by D. Dedmon (kicked ball),12,12
49,1,6:18.0,I. Smith misses 2-pt jump shot from 14 ft,,12,12
50,1,6:15.0,,Defensive rebound by D. Dedmon,12,12
51,1,6:09.0,,Shooting foul by S. Johnson (drawn by K. Bazemore),12,12
52,1,6:09.0,,K. Bazemore makes free throw 1 of 2,12,13
53,1,6:09.0,,K. Bazemore makes free throw 2 of 2,12,14
54,1,5:52.0,Personal foul by T. Dorsey (drawn by B. Griffin),,12,14
55,1,5:45.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by I. Smith),,15,14
56,1,5:17.0,,K. Bazemore misses 2-pt jump shot from 22 ft,15,14
57,1,5:15.0,Defensive rebound by A. Drummond,,15,14
58,1,5:08.0,Turnover by B. Griffin (lost ball; steal by K. Bazemore),,15,14
59,1,5:04.0,,Shooting foul by S. Johnson (drawn by E. İlyasova),15,14
60,1,5:04.0,,E. İlyasova makes free throw 1 of 2,15,15
61,1,5:04.0,,M. Delaney enters the game for K. Bazemore,15,15
62,1,5:04.0,L. Kennard enters the game for S. Johnson,,15,15
63,1,5:04.0,,E. İlyasova makes free throw 2 of 2,15,16
64,1,4:53.0,Turnover by R. Bullock (bad pass; steal by D. Dedmon),,15,16
65,1,4:38.0,,T. Dorsey makes 3-pt jump shot from 24 ft (assist by M. Delaney),15,19
66,1,4:10.0,B. Griffin misses 2-pt hook shot from 10 ft,,15,19
67,1,4:07.0,Offensive rebound by B. Griffin,,15,19
68,1,4:05.0,B. Griffin makes 2-pt layup at rim,,17,19
69,1,3:51.0,,D. Schröder makes 2-pt layup from 2 ft,17,21
70,1,3:29.0,L. Kennard misses 3-pt jump shot from 23 ft,,17,21
71,1,3:26.0,,Defensive rebound by T. Dorsey,17,21
72,1,3:23.0,,D. Schröder misses 3-pt jump shot from 24 ft,17,21
