,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
0,1,11:46.0,J. Nurkić makes 2-pt jump shot from 20 ft (assist by S. Napier),,2,0
1,1,11:27.0,,K. Kuzma misses 2-pt jump shot from 16 ft,2,0
2,1,11:23.0,Defensive rebound by J. Nurkić,,2,0
3,1,11:12.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by S. Napier),,5,0
4,1,10:56.0,,A. Bogut makes 2-pt hook shot from 6 ft (assist by L. Ball),5,2
5,1,10:38.0,J. Nurkić misses 2-pt jump shot from 4 ft,,5,2
6,1,10:35.0,,Defensive rebound by K. Caldwell-Pope,5,2
7,1,10:19.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Hart),5,5
8,1,10:05.0,E. Turner makes 2-pt jump shot from 16 ft (assist by J. Nurkić),,7,5
9,1,9:48.0,,L. Ball misses 3-pt jump shot from 25 ft,7,5
10,1,9:44.0,Defensive rebound by A. Aminu,,7,5
11,1,9:37.0,J. Nurkić misses 2-pt jump shot from 22 ft,,7,5
12,1,9:33.0,,Defensive rebound by L. Ball,7,5
13,1,9:30.0,,Personal foul by C. McCollum (drawn by K. Caldwell-Pope),7,5
14,1,9:15.0,,K. Kuzma misses 2-pt jump shot from 19 ft,7,5
15,1,9:11.0,Defensive rebound by E. Turner,,7,5
16,1,9:03.0,E. Turner misses 2-pt jump shot from 9 ft,,7,5
17,1,8:59.0,,Defensive rebound by A. Bogut,7,5
18,1,8:51.0,,Turnover by L. Ball (bad pass; steal by J. Nurkić),7,5
19,1,8:46.0,S. Napier misses 3-pt jump shot from 25 ft,,7,5
20,1,8:41.0,,Defensive rebound by A. Bogut,7,5
21,1,8:37.0,,L. Ball misses 2-pt layup from 4 ft (block by A. Aminu),7,5
22,1,8:34.0,Defensive rebound by A. Aminu,,7,5
23,1,8:26.0,S. Napier misses 2-pt layup from 1 ft,,7,5
24,1,8:23.0,,Defensive rebound by A. Bogut,7,5
25,1,8:10.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),7,7
26,1,7:55.0,S. Napier misses 3-pt jump shot from 26 ft,,7,7
27,1,7:50.0,Offensive rebound by A. Aminu,,7,7
28,1,7:49.0,Turnover by A. Aminu (lost ball; steal by J. Hart),,7,7
29,1,7:44.0,,L. Ball misses 3-pt jump shot from 27 ft,7,7
30,1,7:44.0,Defensive rebound by C. McCollum,,7,7
31,1,7:35.0,Turnover by C. McCollum (lost ball; steal by K. Caldwell-Pope),,7,7
32,1,7:29.0,,K. Caldwell-Pope misses 2-pt jump shot from 7 ft,7,7
33,1,7:24.0,Defensive rebound by C. McCollum,,7,7
34,1,7:22.0,E. Turner misses 2-pt jump shot from 10 ft,,7,7
