,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:48.0,Personal foul by W. Matthews (drawn by M. Gasol),,0,0
1,1,11:38.0,M. Conley misses 2-pt jump shot from 18 ft,,0,0
2,1,11:35.0,,Defensive rebound by H. Barnes,0,0
3,1,11:24.0,,Personal foul by A. Harrison (drawn by W. Matthews),0,0
4,1,11:11.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,0,0
5,1,11:07.0,Defensive rebound by J. Ennis,,0,0
6,1,10:57.0,M. Gasol misses 2-pt hook shot from 5 ft,,0,0
7,1,10:54.0,,Defensive rebound by D. Nowitzki,0,0
8,1,10:44.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Smith),0,3
9,1,10:20.0,M. Conley makes 3-pt jump shot from 26 ft (assist by A. Harrison),,3,3
10,1,10:01.0,,W. Matthews misses 3-pt jump shot from 24 ft,3,3
11,1,9:58.0,Defensive rebound by J. Ennis,,3,3
12,1,9:41.0,M. Gasol misses 3-pt jump shot from 24 ft,,3,3
13,1,9:37.0,,Defensive rebound by W. Matthews,3,3
14,1,9:27.0,,D. Smith makes 3-pt jump shot from 25 ft (assist by N. Noel),3,6
15,1,9:10.0,M. Gasol makes 2-pt jump shot from 8 ft,,5,6
16,1,8:50.0,,Turnover by H. Barnes (lost ball; steal by J. Ennis),5,6
17,1,8:46.0,J. Ennis makes 2-pt layup from 1 ft (assist by J. Martin),,7,6
18,1,8:30.0,,N. Noel makes 2-pt hook shot from 5 ft (assist by H. Barnes),7,8
19,1,8:16.0,J. Ennis misses 2-pt jump shot from 18 ft,,7,8
20,1,8:14.0,,Defensive rebound by H. Barnes,7,8
21,1,8:08.0,,D. Smith misses 3-pt jump shot from 24 ft,7,8
22,1,8:04.0,Defensive rebound by M. Conley,,7,8
23,1,7:58.0,M. Conley misses 2-pt jump shot from 4 ft,,7,8
24,1,7:56.0,,Defensive rebound by D. Nowitzki,7,8
25,1,7:44.0,,Shooting foul by M. Conley (drawn by W. Matthews),7,8
26,1,7:44.0,,W. Matthews makes free throw 1 of 2,7,9
27,1,7:44.0,,W. Matthews makes free throw 2 of 2,7,10
28,1,7:30.0,A. Harrison misses 3-pt jump shot from 22 ft,,7,10
29,1,7:28.0,,Defensive rebound by Team,7,10
30,1,7:12.0,,W. Matthews misses 2-pt jump shot from 20 ft,7,10
31,1,7:10.0,,Offensive rebound by D. Nowitzki,7,10
32,1,7:10.0,,D. Nowitzki makes 2-pt layup from 1 ft,7,12
33,1,7:10.0,,Shooting foul by A. Harrison (drawn by D. Nowitzki),7,12
34,1,7:10.0,M. Chalmers enters the game for A. Harrison,,7,12
35,1,7:10.0,,D. Nowitzki makes free throw 1 of 1,7,13
36,1,6:59.0,Turnover by J. Martin (bad pass; steal by N. Noel),,7,13
37,1,6:54.0,,W. Matthews makes 2-pt layup from 2 ft,7,15
38,1,6:45.0,Turnover by M. Chalmers (bad pass; steal by W. Matthews),,7,15
39,1,6:38.0,,D. Smith makes 2-pt dunk from 1 ft,7,17
40,1,6:32.0,Memphis full timeout,,7,17
41,1,6:32.0,,D. Harris enters the game for D. Smith,7,17
42,1,6:32.0,,Y. Ferrell enters the game for D. Nowitzki,7,17
43,1,6:32.0,D. Brooks enters the game for J. Ennis,,7,17
44,1,6:16.0,J. Martin misses 2-pt layup from 3 ft (block by N. Noel),,7,17
45,1,6:13.0,,Defensive rebound by W. Matthews,7,17
46,1,6:05.0,,Def 3 sec tech foul by M. Gasol,7,17
47,1,6:05.0,,H. Barnes misses technical free throw,7,17
48,1,6:05.0,,Offensive rebound by Team,7,17
49,1,5:51.0,,D. Harris makes 2-pt jump shot from 1 ft,7,19
50,1,5:40.0,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),,10,19
51,1,5:22.0,,D. Harris misses 2-pt jump shot from 8 ft,10,19
