,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,Turnover by W. Cauley-Stein (lost ball; steal by D. Green),,0,0
1,1,11:16.0,,A. Iguodala makes 3-pt jump shot from 22 ft (assist by Q. Cook),0,3
2,1,10:56.0,Z. Randolph makes 3-pt jump shot from 25 ft (assist by D. Fox),,3,3
3,1,10:40.0,,D. Green misses 3-pt jump shot from 27 ft,3,3
4,1,10:37.0,Defensive rebound by Z. Randolph,,3,3
5,1,10:29.0,Personal foul by Z. Pachulia (drawn by Z. Randolph),,3,3
6,1,10:23.0,D. Fox misses 2-pt jump shot from 14 ft,,3,3
7,1,10:21.0,,Defensive rebound by Z. Pachulia,3,3
8,1,10:11.0,,Q. Cook makes 2-pt jump shot from 20 ft,3,5
9,1,9:57.0,Turnover by D. Fox (bad pass),,3,5
10,1,9:44.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by D. Green),3,8
11,1,9:23.0,J. Jackson misses 3-pt jump shot from 26 ft,,3,8
12,1,9:19.0,,Defensive rebound by D. Green,3,8
13,1,9:15.0,,N. Young makes 3-pt jump shot from 25 ft (assist by D. Green),3,11
14,1,8:53.0,Z. Randolph makes 2-pt jump shot from 17 ft,,5,11
15,1,8:42.0,,Turnover by N. Young (bad pass; steal by Z. Randolph),5,11
16,1,8:35.0,J. Jackson makes 2-pt layup from 2 ft (assist by Z. Randolph),,7,11
17,1,8:12.0,,D. Green makes 2-pt layup from 2 ft (assist by Z. Pachulia),7,13
18,1,7:50.0,D. Fox misses 3-pt jump shot from 25 ft,,7,13
19,1,7:47.0,,Defensive rebound by Z. Pachulia,7,13
20,1,7:35.0,,Z. Pachulia makes 2-pt jump shot from 19 ft (assist by Q. Cook),7,15
21,1,7:14.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,7,15
22,1,7:11.0,Offensive rebound by W. Cauley-Stein,,7,15
