,QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
0,1,11:42.0,M. Chriss misses 3-pt jump shot from 22 ft,,0,0
1,1,11:36.0,Offensive rebound by T. Chandler,,0,0
2,1,11:35.0,Turnover by T. Chandler (lost ball; steal by J. Wall),,0,0
3,1,11:32.0,,K. Oubre makes 2-pt layup from 1 ft (assist by J. Wall),0,2
4,1,11:08.0,M. Chriss makes 2-pt layup from 1 ft,,2,2
5,1,10:53.0,,B. Beal makes 2-pt jump shot from 16 ft,2,4
6,1,10:29.0,D. Booker misses 3-pt jump shot from 29 ft,,2,4
7,1,10:26.0,,Defensive rebound by J. Wall,2,4
8,1,10:22.0,,J. Wall makes 2-pt layup at rim,2,6
9,1,10:13.0,M. James misses 2-pt jump shot from 4 ft,,2,6
10,1,10:09.0,,Defensive rebound by J. Wall,2,6
11,1,10:07.0,,Shooting foul by M. James (drawn by B. Beal),2,6
12,1,10:07.0,,B. Beal makes free throw 1 of 2,2,7
13,1,10:07.0,,B. Beal makes free throw 2 of 2,2,8
14,1,9:58.0,D. Booker makes 2-pt jump shot from 11 ft,,4,8
15,1,9:34.0,,J. Smith misses 3-pt jump shot from 23 ft,4,8
16,1,9:33.0,Defensive rebound by M. James,,4,8
17,1,9:33.0,,Personal foul by T. Chandler (drawn by M. Gortat),4,8
18,1,9:26.0,,M. Gortat misses 2-pt jump shot from 11 ft,4,8
19,1,9:22.0,Defensive rebound by M. Chriss,,4,8
20,1,9:22.0,Personal foul by K. Oubre (drawn by D. Booker),,4,8
21,1,9:09.0,Shooting foul by K. Oubre (drawn by M. Chriss),,4,8
22,1,9:09.0,M. Chriss makes free throw 1 of 2,,5,8
23,1,9:09.0,,T. Satoranský enters the game for K. Oubre,5,8
24,1,9:09.0,M. Chriss makes free throw 2 of 2,,6,8
25,1,8:59.0,,J. Wall misses 2-pt dunk from 1 ft,6,8
26,1,8:56.0,Defensive rebound by M. James,,6,8
27,1,8:54.0,M. James misses 3-pt jump shot from 26 ft,,6,8
