,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:44.0,,J. Murray makes 2-pt jump shot from 9 ft (assist by N. Jokić),0,2
1,1,11:24.0,K. Towns makes 2-pt jump shot from 10 ft,,2,2
2,1,11:05.0,,N. Jokić makes 2-pt jump shot from 3 ft (assist by P. Millsap),2,4
3,1,10:43.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),,4,4
4,1,10:35.0,,N. Jokić misses 3-pt jump shot from 25 ft,4,4
5,1,10:31.0,Defensive rebound by T. Gibson,,4,4
6,1,10:21.0,J. Teague misses 3-pt jump shot from 25 ft,,4,4
7,1,10:18.0,,Defensive rebound by W. Chandler,4,4
8,1,10:08.0,,P. Millsap misses 2-pt jump shot from 13 ft,4,4
9,1,10:05.0,,Offensive rebound by Team,4,4
10,1,9:46.0,,W. Barton misses 3-pt jump shot from 24 ft,4,4
11,1,9:46.0,,Offensive rebound by Team,4,4
12,1,9:39.0,,N. Jokić misses 2-pt jump shot from 5 ft,4,4
13,1,9:38.0,,Offensive rebound by Team,4,4
14,1,9:25.0,,J. Murray misses 2-pt layup from 1 ft,4,4
15,1,9:22.0,Defensive rebound by N. Bjelica,,4,4
16,1,9:13.0,J. Teague misses 2-pt layup from 2 ft (block by P. Millsap),,4,4
17,1,9:10.0,,Defensive rebound by W. Barton,4,4
18,1,9:01.0,,W. Barton makes 2-pt dunk from 2 ft (assist by N. Jokić),4,6
19,1,8:40.0,K. Towns misses 3-pt jump shot from 24 ft,,4,6
20,1,8:37.0,,Defensive rebound by W. Barton,4,6
21,1,8:21.0,,Turnover by N. Jokić (bad pass),4,6
22,1,8:08.0,Turnover by A. Wiggins (step out of bounds),,4,6
23,1,8:00.0,,N. Jokić misses 2-pt jump shot from 18 ft,4,6
24,1,7:56.0,Defensive rebound by A. Wiggins,,4,6
25,1,7:39.0,K. Towns misses 3-pt jump shot from 25 ft,,4,6
26,1,7:38.0,Offensive rebound by T. Gibson,,4,6
27,1,7:35.0,T. Gibson misses 2-pt layup from 2 ft,,4,6
28,1,7:31.0,Offensive rebound by N. Bjelica,,4,6
29,1,7:31.0,N. Bjelica makes 2-pt layup at rim,,6,6
30,1,7:22.0,,N. Jokić makes 2-pt layup from 1 ft,6,8
31,1,7:05.0,N. Bjelica misses 2-pt hook shot from 6 ft,,6,8
32,1,7:02.0,Offensive rebound by T. Gibson,,6,8
33,1,7:00.0,A. Wiggins misses 3-pt jump shot from 24 ft,,6,8
34,1,6:56.0,,Defensive rebound by Team,6,8
35,1,6:56.0,,Denver full timeout,6,8
36,1,6:41.0,,W. Chandler misses 3-pt jump shot from 22 ft,6,8
