,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHOENIX_ACTION,MEMPHIS_SCORE,PHOENIX_SCORE
0,1,11:40.0,T. Evans makes 2-pt layup at rim,,2,0
1,1,11:16.0,,G. Monroe makes 2-pt layup at rim (assist by T. Ulis),2,2
2,1,11:01.0,T. Evans makes 2-pt layup at rim,,4,2
3,1,10:53.0,,Shooting foul by M. Gasol (drawn by J. Jackson),4,2
4,1,10:53.0,,J. Jackson makes free throw 1 of 2,4,3
5,1,10:53.0,,J. Jackson makes free throw 2 of 2,4,4
6,1,10:34.0,T. Evans makes 2-pt layup from 2 ft,,6,4
7,1,10:13.0,,T. Ulis misses 2-pt layup at rim,6,4
8,1,10:10.0,Defensive rebound by J. Green,,6,4
9,1,10:03.0,Personal foul by G. Monroe (drawn by M. Gasol),,6,4
10,1,9:55.0,Personal foul by T. Ulis (drawn by A. Harrison),,6,4
11,1,9:49.0,D. Brooks misses 2-pt jump shot from 12 ft,,6,4
12,1,9:47.0,,Defensive rebound by T. Warren,6,4
13,1,9:43.0,,T. Ulis makes 3-pt jump shot from 25 ft,6,7
14,1,9:30.0,A. Harrison makes 2-pt layup at rim,,8,7
15,1,9:09.0,,T. Warren misses 2-pt jump shot from 11 ft,8,7
16,1,9:08.0,Defensive rebound by J. Green,,8,7
17,1,8:59.0,T. Evans misses 2-pt layup at rim,,8,7
18,1,8:57.0,,Defensive rebound by M. Chriss,8,7
19,1,8:54.0,,Turnover by T. Ulis (bad pass; steal by D. Brooks),8,7
20,1,8:45.0,J. Green makes 2-pt layup at rim,,10,7
21,1,8:45.0,,Phoenix full timeout,10,7
22,1,8:27.0,,T. Warren misses 2-pt jump shot from 14 ft,10,7
23,1,8:24.0,Defensive rebound by M. Gasol,,10,7
24,1,8:05.0,J. Green makes 2-pt dunk at rim (assist by M. Gasol),,12,7
25,1,7:39.0,,T. Ulis misses 3-pt jump shot from 25 ft,12,7
26,1,7:37.0,Defensive rebound by D. Brooks,,12,7
27,1,7:23.0,M. Gasol misses 2-pt jump shot from 14 ft,,12,7
28,1,7:22.0,Offensive rebound by J. Green,,12,7
29,1,7:22.0,Personal foul by M. Chriss (drawn by J. Green),,12,7
30,1,7:09.0,M. Gasol misses 2-pt jump shot from 21 ft,,12,7
31,1,7:06.0,,Defensive rebound by T. Ulis,12,7
32,1,6:56.0,,T. Warren makes 2-pt hook shot from 5 ft (assist by G. Monroe),12,9
33,1,6:37.0,D. Brooks misses 3-pt jump shot from 25 ft,,12,9
34,1,6:34.0,,Defensive rebound by M. Chriss,12,9
35,1,6:29.0,,J. Jackson misses 2-pt jump shot from 11 ft,12,9
36,1,6:26.0,Defensive rebound by T. Evans,,12,9
37,1,6:22.0,J. Green makes 2-pt layup at rim (assist by M. Gasol),,14,9
38,1,6:03.0,,J. Jackson misses 2-pt jump shot from 19 ft,14,9
39,1,5:59.0,Defensive rebound by T. Evans,,14,9
40,1,5:55.0,A. Harrison misses 3-pt jump shot from 24 ft,,14,9
41,1,5:50.0,,Defensive rebound by G. Monroe,14,9
42,1,5:45.0,,T. Ulis misses 2-pt jump shot from 12 ft,14,9
43,1,5:44.0,,Offensive rebound by G. Monroe,14,9
44,1,5:39.0,,T. Warren misses 2-pt layup at rim,14,9
45,1,5:39.0,,Offensive rebound by G. Monroe,14,9
46,1,5:35.0,,Turnover by G. Monroe (traveling),14,9
47,1,5:35.0,,T. Daniels enters the game for J. Jackson,14,9
48,1,5:35.0,B. Wright enters the game for D. Brooks,,14,9
49,1,5:35.0,C. Parsons enters the game for J. Green,,14,9
50,1,5:20.0,T. Evans makes 3-pt jump shot from 25 ft,,17,9
51,1,5:03.0,,T. Warren misses 2-pt layup from 1 ft,17,9
52,1,5:03.0,Defensive rebound by B. Wright,,17,9
53,1,4:51.0,B. Wright makes 2-pt dunk from 1 ft (assist by A. Harrison),,19,9
54,1,4:33.0,,T. Ulis misses 2-pt jump shot from 13 ft (block by M. Gasol),19,9
55,1,4:28.0,,Offensive rebound by M. Chriss,19,9
56,1,4:27.0,,T. Daniels misses 2-pt jump shot from 16 ft,19,9
57,1,4:27.0,Defensive rebound by T. Evans,,19,9
58,1,4:23.0,B. Wright makes 2-pt layup at rim (assist by T. Evans),,21,9
59,1,4:23.0,Shooting foul by M. Chriss (drawn by B. Wright),,21,9
60,1,4:23.0,B. Wright misses free throw 1 of 1,,21,9
61,1,4:23.0,M. Chalmers enters the game for A. Harrison,,21,9
62,1,4:23.0,D. Davis enters the game for M. Gasol,,21,9
63,1,4:20.0,,Defensive rebound by G. Monroe,21,9
64,1,4:07.0,,I. Canaan enters the game for M. Chriss,21,9
65,1,4:07.0,,D. Bender enters the game for T. Ulis,21,9
66,1,3:59.0,,D. Bender misses 2-pt jump shot from 5 ft,21,9
67,1,3:59.0,,Offensive rebound by Team,21,9
68,1,3:59.0,,Personal foul by D. Davis (drawn by G. Monroe),21,9
69,1,3:52.0,,T. Daniels makes 3-pt jump shot from 27 ft (assist by I. Canaan),21,12
70,1,3:39.0,Personal foul by T. Daniels (drawn by T. Evans),,21,12
71,1,3:39.0,T. Evans makes free throw 1 of 2,,22,12
72,1,3:39.0,T. Evans makes free throw 2 of 2,,23,12
73,1,3:21.0,,G. Monroe makes 2-pt layup from 1 ft (assist by T. Daniels),23,14
74,1,3:06.0,B. Wright misses 2-pt dunk at rim,,23,14
75,1,3:04.0,,Defensive rebound by T. Warren,23,14
76,1,2:51.0,,D. Bender misses 3-pt jump shot from 23 ft,23,14
77,1,2:47.0,,Offensive rebound by T. Warren,23,14
78,1,2:44.0,,G. Monroe misses 2-pt layup from 3 ft,23,14
79,1,2:42.0,,Offensive rebound by G. Monroe,23,14
80,1,2:42.0,,G. Monroe makes 2-pt layup from 1 ft,23,16
81,1,2:23.0,C. Parsons makes 2-pt jump shot from 17 ft,,25,16
82,1,2:12.0,,Shooting foul by B. Wright (drawn by D. Bender),25,16
83,1,2:12.0,Memphis full timeout,,25,16
84,1,2:12.0,,A. Len enters the game for G. Monroe,25,16
85,1,2:12.0,M. Gasol enters the game for T. Evans,,25,16
86,1,2:12.0,B. McLemore enters the game for B. Wright,,25,16
87,1,2:12.0,,D. Bender misses free throw 1 of 2,25,16
88,1,2:12.0,,Offensive rebound by Team,25,16
89,1,2:12.0,,D. Bender makes free throw 2 of 2,25,17
90,1,1:51.0,C. Parsons misses 3-pt jump shot from 25 ft,,25,17
91,1,1:49.0,,Defensive rebound by I. Canaan,25,17
92,1,1:49.0,,Personal foul by D. Davis (drawn by I. Canaan),25,17
93,1,1:31.0,,A. Len makes 2-pt dunk from 1 ft (assist by I. Canaan),25,19
94,1,1:17.0,Turnover by M. Gasol (bad pass; steal by I. Canaan),,25,19
95,1,1:13.0,,I. Canaan misses 2-pt layup at rim,25,19
96,1,1:10.0,,Offensive rebound by A. Len,25,19
97,1,1:08.0,,T. Warren makes 2-pt jump shot from 13 ft (assist by T. Daniels),25,21
98,1,0:46.0,B. McLemore misses 3-pt jump shot from 25 ft,,25,21
99,1,0:43.0,Offensive rebound by M. Gasol,,25,21
