,QUARTER,TIME_REMAINING,DALLAS_ACTION,BROOKLYN_ACTION,DALLAS_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,D. Russell makes 3-pt jump shot from 22 ft (assist by J. Allen),0,3
1,1,11:28.0,D. Smith misses 2-pt jump shot from 12 ft,,0,3
2,1,11:26.0,,Defensive rebound by D. Russell,0,3
3,1,11:10.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. Russell),0,6
4,1,10:59.0,K. Collinsworth misses 2-pt jump shot from 10 ft,,0,6
5,1,10:56.0,Offensive rebound by K. Collinsworth,,0,6
6,1,10:56.0,K. Collinsworth misses 2-pt layup at rim,,0,6
7,1,10:55.0,,Defensive rebound by D. Carroll,0,6
8,1,10:50.0,,R. Hollis-Jefferson makes 2-pt jump shot from 8 ft (assist by D. Carroll),0,8
9,1,10:29.0,D. Powell misses 2-pt jump shot from 21 ft,,0,8
10,1,10:29.0,Offensive rebound by Team,,0,8
11,1,10:27.0,Turnover by D. Nowitzki (bad pass),,0,8
12,1,10:10.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),0,11
13,1,10:08.0,Dallas full timeout,,0,11
14,1,9:58.0,D. Smith makes 3-pt jump shot from 24 ft (assist by D. Powell),,3,11
15,1,9:32.0,,D. Russell misses 3-pt jump shot from 28 ft,3,11
16,1,9:27.0,Defensive rebound by D. Nowitzki,,3,11
17,1,9:18.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by D. Smith),,5,11
18,1,8:56.0,,D. Russell makes 3-pt jump shot from 27 ft (assist by D. Carroll),5,14
19,1,8:45.0,D. Powell misses 2-pt jump shot from 21 ft,,5,14
20,1,8:43.0,,Defensive rebound by J. Allen,5,14
21,1,8:36.0,,Turnover by J. Allen (lost ball; steal by D. Nowitzki),5,14
22,1,8:30.0,D. McDermott misses 2-pt layup from 1 ft,,5,14
23,1,8:28.0,,Defensive rebound by R. Hollis-Jefferson,5,14
24,1,8:24.0,,D. Carroll misses 3-pt jump shot from 24 ft,5,14
25,1,8:22.0,Defensive rebound by D. Nowitzki,,5,14
26,1,8:15.0,D. Smith misses 3-pt jump shot from 24 ft,,5,14
27,1,8:11.0,,Defensive rebound by J. Allen,5,14
28,1,7:59.0,,Personal foul by D. Smith (drawn by D. Russell),5,14
29,1,7:52.0,,J. Allen misses 2-pt dunk from 1 ft,5,14
30,1,7:50.0,Defensive rebound by D. Powell,,5,14
31,1,7:41.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,5,14
32,1,7:39.0,Offensive rebound by K. Collinsworth,,5,14
33,1,7:39.0,K. Collinsworth misses 2-pt layup from 1 ft,,5,14
34,1,7:38.0,,Defensive rebound by D. Carroll,5,14
35,1,7:27.0,,R. Hollis-Jefferson makes 2-pt jump shot from 13 ft,5,16
36,1,7:05.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Nowitzki),,5,16
37,1,7:05.0,D. Nowitzki makes free throw 1 of 2,,6,16
38,1,7:05.0,D. Nowitzki makes free throw 2 of 2,,7,16
39,1,6:58.0,,D. Russell makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),7,19
40,1,6:40.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,7,19
41,1,6:40.0,,Defensive rebound by D. Carroll,7,19
42,1,6:21.0,,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),7,21
43,1,6:10.0,D. Powell makes 2-pt dunk at rim (assist by D. Smith),,9,21
44,1,6:01.0,,D. Russell misses 3-pt jump shot from 24 ft,9,21
45,1,5:57.0,Defensive rebound by K. Collinsworth,,9,21
46,1,5:51.0,D. Smith makes 2-pt jump shot from 17 ft,,11,21
47,1,5:35.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),11,23
48,1,5:35.0,,Shooting foul by D. Nowitzki (drawn by R. Hollis-Jefferson),11,23
49,1,5:35.0,,S. Dinwiddie enters the game for J. Harris,11,23
50,1,5:35.0,Y. Ferrell enters the game for D. Nowitzki,,11,23
51,1,5:35.0,M. Kleber enters the game for D. Smith,,11,23
52,1,5:35.0,,R. Hollis-Jefferson makes free throw 1 of 1,11,24
53,1,5:22.0,K. Collinsworth misses 2-pt layup at rim (block by J. Allen),,11,24
54,1,5:19.0,,Defensive rebound by D. Carroll,11,24
55,1,5:15.0,,Turnover by S. Dinwiddie (traveling),11,24
56,1,5:06.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,14,24
57,1,4:50.0,,Personal foul by D. McDermott (drawn by D. Russell),14,24
58,1,4:50.0,,C. LeVert enters the game for D. Carroll,14,24
59,1,4:50.0,J. Motley enters the game for D. Powell,,14,24
60,1,4:44.0,,J. Allen misses 2-pt dunk from 2 ft,14,24
61,1,4:41.0,,Offensive rebound by J. Allen,14,24
62,1,4:37.0,,R. Hollis-Jefferson misses 3-pt jump shot from 22 ft,14,24
63,1,4:32.0,Defensive rebound by K. Collinsworth,,14,24
64,1,4:22.0,Turnover by K. Collinsworth (bad pass; steal by R. Hollis-Jefferson),,14,24
65,1,4:19.0,,Personal foul by M. Kleber (drawn by R. Hollis-Jefferson),14,24
66,1,4:19.0,,J. Okafor enters the game for J. Allen,14,24
67,1,4:19.0,J. Jones enters the game for K. Collinsworth,,14,24
68,1,4:09.0,,C. LeVert misses 2-pt jump shot from 8 ft,14,24
69,1,4:08.0,,Offensive rebound by C. LeVert,14,24
70,1,4:08.0,,Shooting foul by J. Jones (drawn by C. LeVert),14,24
71,1,4:08.0,,C. LeVert misses free throw 1 of 2,14,24
72,1,4:08.0,,Offensive rebound by Team,14,24
73,1,4:08.0,,C. LeVert misses free throw 2 of 2,14,24
74,1,4:06.0,Defensive rebound by J. Motley,,14,24
75,1,3:49.0,D. McDermott makes 2-pt layup from 3 ft (assist by Y. Ferrell),,16,24
76,1,3:27.0,,R. Hollis-Jefferson misses 2-pt jump shot from 7 ft,16,24
77,1,3:26.0,Defensive rebound by Y. Ferrell,,16,24
78,1,3:18.0,J. Motley makes 2-pt hook shot from 7 ft (assist by M. Kleber),,18,24
79,1,3:17.0,,Brooklyn full timeout,18,24
80,1,3:17.0,,Q. Acy enters the game for D. Russell,18,24
81,1,3:17.0,,J. Harris enters the game for R. Hollis-Jefferson,18,24
82,1,3:07.0,,Q. Acy makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie),18,27
83,1,2:47.0,Y. Ferrell makes 2-pt jump shot from 11 ft (assist by J. Motley),,20,27
84,1,2:25.0,,Q. Acy misses 3-pt jump shot from 25 ft,20,27
85,1,2:23.0,Defensive rebound by J. Motley,,20,27
86,1,2:16.0,Y. Ferrell misses 2-pt jump shot from 11 ft,,20,27
87,1,2:13.0,,Defensive rebound by C. LeVert,20,27
88,1,2:05.0,,Q. Acy makes 3-pt jump shot from 24 ft (assist by C. LeVert),20,30
89,1,1:53.0,J. Motley makes 2-pt jump shot from 12 ft (assist by Y. Ferrell),,22,30
90,1,1:33.0,,Turnover by J. Okafor (bad pass; steal by M. Kleber),22,30
91,1,1:25.0,Y. Ferrell misses 2-pt jump shot from 11 ft,,22,30
92,1,1:22.0,,Defensive rebound by J. Okafor,22,30
93,1,1:01.0,,Q. Acy misses 3-pt jump shot from 25 ft,22,30
94,1,0:58.0,Defensive rebound by Team,,22,30
95,1,0:58.0,K. Collinsworth enters the game for D. McDermott,,22,30
96,1,0:46.0,Personal foul by C. LeVert (drawn by Y. Ferrell),,22,30
97,1,0:33.0,Personal foul by Q. Acy (drawn by M. Kleber),,22,30
98,1,0:33.0,M. Kleber makes free throw 1 of 2,,23,30
99,1,0:33.0,M. Kleber makes free throw 2 of 2,,24,30
100,1,0:15.0,,C. LeVert misses 3-pt jump shot from 23 ft,24,30
101,1,0:12.0,Defensive rebound by Y. Ferrell,,24,30
102,1,0:03.0,Y. Ferrell misses 2-pt jump shot from 20 ft,,24,30
103,1,0:02.0,Offensive rebound by K. Collinsworth,,24,30
104,1,0:01.0,K. Collinsworth misses 2-pt layup from 1 ft,,24,30
105,1,0:00.0,Offensive rebound by Team,,24,30
106,2,11:48.0,D. Smith misses 2-pt jump shot from 19 ft,,24,30
107,2,11:47.0,,Defensive rebound by Team,24,30
108,2,11:24.0,,S. Dinwiddie makes 3-pt jump shot from 31 ft (assist by Q. Acy),24,33
109,2,11:13.0,Shooting foul by J. Harris (drawn by J. Jones),,24,33
110,2,11:13.0,J. Jones makes free throw 1 of 2,,25,33
111,2,11:13.0,J. Jones misses free throw 2 of 2,,25,33
112,2,11:09.0,Offensive rebound by J. Jones,,25,33
113,2,11:07.0,D. Nowitzki makes 3-pt jump shot from 30 ft (assist by J. Jones),,28,33
114,2,10:51.0,,Q. Acy makes 3-pt jump shot from 25 ft (assist by C. LeVert),28,36
115,2,10:35.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,28,36
116,2,10:32.0,,Defensive rebound by J. Okafor,28,36
117,2,10:27.0,,C. LeVert makes 2-pt layup from 1 ft (assist by S. Dinwiddie),28,38
118,2,10:10.0,D. Powell makes 2-pt jump shot from 22 ft (assist by Y. Ferrell),,30,38
119,2,9:59.0,,D. Carroll enters the game for J. Okafor,30,38
120,2,9:54.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),30,41
121,2,9:37.0,J. Jones misses 3-pt jump shot from 24 ft,,30,41
122,2,9:36.0,,Defensive rebound by D. Carroll,30,41
123,2,9:20.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,30,41
124,2,9:19.0,,Offensive rebound by D. Carroll,30,41
125,2,9:19.0,,D. Carroll makes 2-pt layup from 2 ft,30,43
126,2,9:17.0,Dallas full timeout,,30,43
127,2,9:17.0,D. McDermott enters the game for J. Jones,,30,43
128,2,9:02.0,D. McDermott makes 2-pt layup from 1 ft (assist by D. Smith),,32,43
129,2,8:52.0,,Shooting foul by D. Nowitzki (drawn by J. Harris),32,43
130,2,8:52.0,,J. Harris makes free throw 1 of 2,32,44
131,2,8:52.0,,J. Harris makes free throw 2 of 2,32,45
132,2,8:38.0,D. Powell makes 2-pt jump shot from 21 ft (assist by D. Nowitzki),,34,45
133,2,8:15.0,,J. Harris misses 3-pt jump shot from 22 ft,34,45
134,2,8:12.0,Defensive rebound by D. Smith,,34,45
135,2,8:03.0,D. Smith makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),,37,45
136,2,7:40.0,,C. LeVert makes 2-pt jump shot from 5 ft,37,47
137,2,7:13.0,D. Smith misses 3-pt jump shot from 25 ft,,37,47
138,2,7:10.0,,Defensive rebound by S. Dinwiddie,37,47
139,2,7:05.0,,Q. Acy misses 2-pt layup from 2 ft (block by D. Smith),37,47
140,2,7:02.0,Defensive rebound by D. Nowitzki,,37,47
141,2,6:59.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,37,47
142,2,6:57.0,,Defensive rebound by J. Harris,37,47
143,2,6:50.0,,S. Dinwiddie makes 2-pt dunk at rim,37,49
144,2,6:49.0,Dallas full timeout,,37,49
145,2,6:49.0,,J. Allen enters the game for Q. Acy,37,49
146,2,6:49.0,,R. Hollis-Jefferson enters the game for C. LeVert,37,49
147,2,6:49.0,K. Collinsworth enters the game for Y. Ferrell,,37,49
148,2,6:36.0,D. Smith makes 2-pt layup from 1 ft (assist by D. Powell),,39,49
149,2,6:20.0,,J. Harris misses 3-pt jump shot from 22 ft,39,49
150,2,6:17.0,Defensive rebound by K. Collinsworth,,39,49
151,2,6:03.0,D. Nowitzki makes 2-pt jump shot from 13 ft,,41,49
152,2,6:03.0,Shooting foul by S. Dinwiddie (drawn by D. Nowitzki),,41,49
153,2,6:03.0,,D. Russell enters the game for S. Dinwiddie,41,49
154,2,6:03.0,D. Nowitzki makes free throw 1 of 1,,42,49
155,2,5:40.0,,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft (block by D. Smith),42,49
156,2,5:37.0,,Offensive rebound by R. Hollis-Jefferson,42,49
157,2,5:37.0,,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,42,49
158,2,5:35.0,Defensive rebound by D. Smith,,42,49
159,2,5:24.0,D. McDermott misses 3-pt jump shot from 22 ft,,42,49
160,2,5:20.0,Offensive rebound by D. Powell,,42,49
161,2,5:13.0,D. Powell misses 2-pt hook shot from 5 ft,,42,49
162,2,5:12.0,,Defensive rebound by D. Carroll,42,49
163,2,5:02.0,,D. Russell makes 2-pt jump shot from 8 ft,42,51
164,2,5:02.0,,Shooting foul by K. Collinsworth (drawn by D. Russell),42,51
165,2,5:02.0,,C. LeVert enters the game for J. Harris,42,51
166,2,5:02.0,,D. Russell misses free throw 1 of 1,42,51
167,2,5:00.0,Defensive rebound by D. Nowitzki,,42,51
168,2,4:51.0,D. Smith makes 2-pt jump shot from 5 ft,,44,51
169,2,4:51.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Smith),,44,51
170,2,4:51.0,D. Smith makes free throw 1 of 1,,45,51
