,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:43.0,E. Gordon misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Nowitzki,0,0
2,1,11:21.0,,Personal foul by P. Tucker (drawn by Y. Ferrell),0,0
3,1,11:06.0,,H. Barnes misses 2-pt jump shot from 12 ft,0,0
4,1,11:03.0,Defensive rebound by C. Capela,,0,0
5,1,10:58.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by C. Paul),,3,0
6,1,10:37.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Smith),3,3
7,1,10:23.0,E. Gordon makes 2-pt jump shot from 9 ft,,5,3
8,1,10:06.0,,H. Barnes misses 2-pt jump shot from 14 ft,5,3
9,1,10:04.0,Defensive rebound by C. Capela,,5,3
10,1,9:54.0,P. Tucker misses 3-pt jump shot from 25 ft,,5,3
11,1,9:51.0,,Defensive rebound by D. Nowitzki,5,3
12,1,9:45.0,,D. Nowitzki misses 3-pt jump shot from 28 ft,5,3
13,1,9:42.0,Defensive rebound by C. Paul,,5,3
14,1,9:35.0,C. Paul makes 2-pt jump shot from 18 ft,,7,3
15,1,9:24.0,,Turnover by D. Smith (bad pass),7,3
16,1,9:24.0,,Dallas full timeout,7,3
17,1,9:09.0,P. Tucker makes 2-pt jump shot from 19 ft (assist by C. Paul),,9,3
18,1,8:58.0,,Y. Ferrell misses 3-pt jump shot from 25 ft (block by C. Capela),9,3
19,1,8:54.0,Defensive rebound by E. Gordon,,9,3
20,1,8:50.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by P. Tucker),,12,3
21,1,8:34.0,,D. Smith misses 2-pt jump shot from 21 ft,12,3
22,1,8:30.0,Defensive rebound by C. Capela,,12,3
23,1,8:25.0,C. Paul misses 3-pt jump shot from 24 ft,,12,3
24,1,8:22.0,Offensive rebound by P. Tucker,,12,3
25,1,8:20.0,E. Gordon misses 3-pt jump shot from 22 ft,,12,3
26,1,8:20.0,Offensive rebound by Team,,12,3
27,1,8:08.0,C. Paul makes 2-pt jump shot from 16 ft,,14,3
28,1,7:48.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,14,3
29,1,7:45.0,,Offensive rebound by Team,14,3
30,1,7:33.0,,Turnover by D. Smith (bad pass),14,3
31,1,7:23.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),,17,3
32,1,7:19.0,,Dallas full timeout,17,3
33,1,7:19.0,,D. McDermott enters the game for D. Nowitzki,17,3
34,1,7:19.0,,J. Barea enters the game for Y. Ferrell,17,3
35,1,7:19.0,L. Mbah a Moute enters the game for P. Tucker,,17,3
36,1,7:19.0,J. Johnson enters the game for C. Paul,,17,3
37,1,7:07.0,,D. Smith misses 2-pt layup from 2 ft (block by C. Capela),17,3
38,1,7:05.0,,Offensive rebound by D. Smith,17,3
39,1,7:00.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),17,5
40,1,6:37.0,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by E. Gordon),,20,5
41,1,6:24.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),20,7
42,1,6:11.0,E. Gordon misses 3-pt jump shot from 28 ft,,20,7
43,1,6:10.0,,Defensive rebound by Team,20,7
44,1,5:49.0,,H. Barnes misses 2-pt jump shot from 8 ft,20,7
45,1,5:47.0,,Offensive rebound by D. Powell,20,7
46,1,5:45.0,,J. Barea misses 3-pt jump shot from 25 ft,20,7
47,1,5:42.0,,Offensive rebound by D. Powell,20,7
48,1,5:34.0,,J. Barea misses 2-pt layup from 4 ft,20,7
49,1,5:32.0,Defensive rebound by C. Capela,,20,7
50,1,5:19.0,Shooting foul by D. Powell (drawn by C. Capela),,20,7
51,1,5:19.0,C. Capela misses free throw 1 of 2,,20,7
52,1,5:19.0,Offensive rebound by Team,,20,7
53,1,5:19.0,,N. Noel enters the game for D. Powell,20,7
54,1,5:19.0,C. Capela misses free throw 2 of 2,,20,7
55,1,5:17.0,,Defensive rebound by N. Noel,20,7
56,1,4:54.0,,J. Barea misses 2-pt layup from 3 ft,20,7
57,1,4:51.0,Defensive rebound by J. Johnson,,20,7
58,1,4:47.0,T. Ariza misses 3-pt jump shot from 26 ft,,20,7
59,1,4:45.0,,Defensive rebound by N. Noel,20,7
60,1,4:36.0,,D. Smith misses 2-pt jump shot from 21 ft,20,7
61,1,4:34.0,Defensive rebound by J. Johnson,,20,7
62,1,4:24.0,J. Johnson misses 2-pt jump shot from 18 ft,,20,7
63,1,4:24.0,,Defensive rebound by H. Barnes,20,7
64,1,4:12.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Barea),20,10
65,1,3:51.0,J. Johnson misses 2-pt hook shot from 4 ft,,20,10
66,1,3:50.0,,Defensive rebound by N. Noel,20,10
67,1,3:44.0,,Personal foul by J. Johnson (drawn by N. Noel),20,10
68,1,3:44.0,G. Green enters the game for T. Ariza,,20,10
69,1,3:44.0,T. Black enters the game for C. Capela,,20,10
70,1,3:28.0,,N. Noel misses 2-pt jump shot from 16 ft,20,10
71,1,3:24.0,Defensive rebound by G. Green,,20,10
72,1,3:19.0,Shooting foul by D. McDermott (drawn by T. Black),,20,10
73,1,3:19.0,T. Black misses free throw 1 of 2,,20,10
74,1,3:19.0,Offensive rebound by Team,,20,10
75,1,3:19.0,C. Paul enters the game for E. Gordon,,20,10
76,1,3:19.0,T. Black makes free throw 2 of 2,,21,10
77,1,3:09.0,,D. McDermott misses 2-pt layup from 4 ft,21,10
78,1,3:06.0,Defensive rebound by G. Green,,21,10
79,1,2:54.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,21,10
80,1,2:52.0,,Defensive rebound by H. Barnes,21,10
81,1,2:47.0,,J. Barea misses 3-pt jump shot from 25 ft,21,10
82,1,2:44.0,Defensive rebound by G. Green,,21,10
83,1,2:33.0,C. Paul misses 2-pt jump shot from 14 ft,,21,10
84,1,2:33.0,Offensive rebound by T. Black,,21,10
85,1,2:33.0,,Loose ball foul by H. Barnes (drawn by T. Black),21,10
