,QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,0,0
1,1,11:38.0,Defensive rebound by T. Young,,0,0
2,1,11:20.0,V. Oladipo makes 2-pt layup from 2 ft,,2,0
3,1,11:00.0,,W. Cauley-Stein makes 2-pt jump shot from 6 ft,2,2
4,1,10:51.0,Personal foul by D. Fox (drawn by D. Collison),,2,2
5,1,10:51.0,,B. Hield enters the game for B. Bogdanović,2,2
6,1,10:40.0,M. Turner misses 3-pt jump shot from 25 ft,,2,2
7,1,10:36.0,,Defensive rebound by B. Hield,2,2
8,1,10:25.0,,B. Hield makes 2-pt jump shot from 21 ft,2,4
9,1,10:20.0,Indiana full timeout,,2,4
10,1,10:04.0,M. Turner makes 2-pt jump shot from 16 ft (assist by D. Collison),,4,4
11,1,9:47.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by W. Cauley-Stein),4,7
12,1,9:20.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,7
13,1,9:19.0,Offensive rebound by Team,,4,7
14,1,9:15.0,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by M. Turner),,6,7
15,1,8:57.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Hield),6,9
16,1,8:41.0,M. Turner misses 2-pt jump shot from 20 ft,,6,9
17,1,8:37.0,,Defensive rebound by B. Hield,6,9
18,1,8:30.0,,W. Cauley-Stein makes 2-pt jump shot from 4 ft,6,11
19,1,8:30.0,,Shooting foul by M. Turner (drawn by W. Cauley-Stein),6,11
20,1,8:30.0,,W. Cauley-Stein makes free throw 1 of 1,6,12
21,1,8:14.0,Shooting foul by J. Jackson (drawn by B. Bogdanović),,6,12
22,1,8:14.0,B. Bogdanović makes free throw 1 of 2,,7,12
23,1,8:14.0,B. Bogdanović makes free throw 2 of 2,,8,12
24,1,8:06.0,,D. Fox makes 2-pt jump shot from 8 ft,8,14
25,1,7:51.0,T. Young makes 3-pt jump shot from 24 ft (assist by D. Collison),,11,14
