,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
0,1,11:47.0,K. Durant makes 2-pt jump shot from 21 ft (assist by D. Green),,2,0
1,1,11:31.0,,B. Ingram makes 2-pt jump shot from 18 ft (assist by L. Nance),2,2
2,1,11:17.0,Turnover by D. Green (bad pass; steal by L. Nance),,2,2
3,1,11:12.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,2,2
4,1,11:08.0,Defensive rebound by S. Curry,,2,2
5,1,11:04.0,K. Durant misses 3-pt jump shot from 28 ft,,2,2
6,1,10:58.0,,Defensive rebound by L. Nance,2,2
7,1,10:53.0,,B. Ingram misses 2-pt jump shot from 20 ft,2,2
8,1,10:50.0,Defensive rebound by Z. Pachulia,,2,2
9,1,10:34.0,S. Curry misses 2-pt jump shot from 17 ft,,2,2
10,1,10:32.0,,Defensive rebound by B. Ingram,2,2
11,1,10:30.0,,Offensive foul by B. Ingram (drawn by K. Durant),2,2
12,1,10:30.0,,Turnover by B. Ingram (offensive foul),2,2
13,1,10:14.0,Turnover by Z. Pachulia (bad pass; steal by B. Lopez),,2,2
14,1,10:06.0,,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,2,2
15,1,10:02.0,Defensive rebound by S. Curry,,2,2
16,1,9:58.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),,5,2
17,1,9:38.0,,L. Nance misses 2-pt hook shot from 14 ft,5,2
18,1,9:36.0,Defensive rebound by Z. Pachulia,,5,2
19,1,9:27.0,D. Green makes 2-pt layup from 2 ft,,7,2
20,1,9:16.0,,B. Ingram makes 3-pt jump shot from 24 ft (assist by L. Nance),7,5
21,1,8:57.0,Turnover by K. Durant (step out of bounds),,7,5
22,1,8:48.0,,L. Nance misses 2-pt jump shot from 17 ft,7,5
23,1,8:45.0,Defensive rebound by Z. Pachulia,,7,5
24,1,8:39.0,Turnover by S. Curry (bad pass; steal by L. Nance),,7,5
25,1,8:33.0,,B. Ingram makes 2-pt layup from 1 ft (assist by L. Nance),7,7
26,1,8:20.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by S. Curry),,9,7
27,1,8:07.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft,9,7
28,1,8:05.0,Defensive rebound by D. Green,,9,7
29,1,8:03.0,Turnover by D. Green (out of bounds lost ball),,9,7
30,1,7:51.0,,Turnover by B. Lopez (bad pass; steal by D. Green),9,7
31,1,7:36.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by K. Durant),,11,7
32,1,7:25.0,,B. Lopez misses 3-pt jump shot from 26 ft,11,7
33,1,7:21.0,Defensive rebound by K. Thompson,,11,7
34,1,7:03.0,Z. Pachulia makes 2-pt layup from 3 ft (assist by K. Durant),,13,7
35,1,6:51.0,,Turnover by B. Ingram (bad pass),13,7
36,1,6:51.0,,LA Lakers full timeout,13,7
37,1,6:39.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,15,7
38,1,6:17.0,,B. Ingram makes 2-pt layup from 1 ft,15,9
39,1,6:02.0,K. Durant misses 2-pt jump shot from 18 ft,,15,9
40,1,5:59.0,,Defensive rebound by K. Caldwell-Pope,15,9
41,1,5:53.0,,Turnover by K. Caldwell-Pope (bad pass; steal by Z. Pachulia),15,9
42,1,5:31.0,D. Green makes 2-pt layup from 1 ft (assist by Z. Pachulia),,17,9
43,1,5:20.0,,Personal foul by K. Durant (drawn by B. Lopez),17,9
44,1,5:20.0,J. Bell enters the game for D. Green,,17,9
45,1,5:20.0,A. Iguodala enters the game for Z. Pachulia,,17,9
46,1,5:20.0,,B. Lopez misses free throw 1 of 2,17,9
47,1,5:20.0,,Offensive rebound by Team,17,9
48,1,5:20.0,,B. Lopez makes free throw 2 of 2,17,10
49,1,5:08.0,Shooting foul by K. Caldwell-Pope (drawn by K. Thompson),,17,10
50,1,5:08.0,K. Thompson makes free throw 1 of 2,,18,10
51,1,5:08.0,K. Thompson makes free throw 2 of 2,,19,10
52,1,4:52.0,,B. Lopez makes 2-pt hook shot from 17 ft,19,12
