,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
0,1,11:41.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by A. Gordon),,3,0
1,1,11:20.0,,Turnover by A. Harrison (bad pass; steal by N. Vučević),3,0
2,1,11:11.0,N. Vučević misses 2-pt hook shot from 13 ft,,3,0
3,1,11:08.0,,Defensive rebound by J. Ennis,3,0
4,1,11:04.0,,A. Harrison makes 2-pt layup at rim (assist by M. Chalmers),3,2
5,1,11:04.0,,Shooting foul by T. Ross (drawn by A. Harrison),3,2
6,1,11:04.0,,A. Harrison makes free throw 1 of 1,3,3
7,1,10:48.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),,6,3
8,1,10:37.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by J. Ennis),6,5
9,1,10:25.0,A. Gordon makes 3-pt jump shot from 22 ft (assist by N. Vučević),,9,5
10,1,10:11.0,,J. Ennis misses 2-pt jump shot from 11 ft,9,5
11,1,10:08.0,Defensive rebound by T. Ross,,9,5
12,1,10:00.0,D. Augustin makes 2-pt layup from 5 ft,,11,5
13,1,10:00.0,Shooting foul by M. Chalmers (drawn by D. Augustin),,11,5
14,1,10:00.0,D. Augustin makes free throw 1 of 1,,12,5
15,1,9:51.0,,Personal foul by E. Fournier (drawn by M. Gasol),12,5
16,1,9:38.0,,M. Gasol misses 2-pt jump shot from 16 ft,12,5
17,1,9:31.0,,Offensive rebound by J. Martin,12,5
18,1,9:31.0,,J. Martin misses 2-pt dunk at rim,12,5
19,1,9:31.0,Defensive rebound by A. Gordon,,12,5
20,1,9:17.0,Personal foul by A. Harrison (drawn by A. Gordon),,12,5
21,1,9:04.0,T. Ross misses 3-pt jump shot from 25 ft,,12,5
22,1,9:01.0,Offensive rebound by Team,,12,5
23,1,8:56.0,T. Ross makes 2-pt jump shot from 10 ft (assist by N. Vučević),,14,5
24,1,8:49.0,,Memphis full timeout,14,5
25,1,8:31.0,,M. Gasol makes 2-pt jump shot from 7 ft,14,7
26,1,8:17.0,E. Fournier misses 2-pt jump shot from 16 ft,,14,7
27,1,8:16.0,,Defensive rebound by Team,14,7
28,1,8:05.0,,J. Ennis misses 3-pt jump shot from 22 ft,14,7
29,1,8:01.0,Defensive rebound by A. Gordon,,14,7
30,1,7:52.0,T. Ross misses 3-pt jump shot from 25 ft,,14,7
31,1,7:49.0,Offensive rebound by N. Vučević,,14,7
32,1,7:47.0,A. Gordon misses 3-pt jump shot from 25 ft,,14,7
33,1,7:44.0,,Defensive rebound by J. Martin,14,7
34,1,7:28.0,,M. Chalmers misses 3-pt jump shot from 24 ft,14,7
35,1,7:25.0,Defensive rebound by E. Fournier,,14,7
36,1,7:18.0,E. Fournier makes 2-pt layup from 5 ft,,16,7
37,1,6:55.0,,M. Gasol makes 2-pt jump shot from 10 ft,16,9
38,1,6:37.0,T. Ross makes 2-pt jump shot from 16 ft (assist by N. Vučević),,18,9
39,1,6:21.0,,M. Chalmers misses 2-pt layup from 2 ft,18,9
40,1,6:20.0,Defensive rebound by Team,,18,9
41,1,6:20.0,,D. Brooks enters the game for A. Harrison,18,9
42,1,6:20.0,,T. Evans enters the game for J. Ennis,18,9
43,1,6:01.0,Turnover by N. Vučević (bad pass; steal by M. Chalmers),,18,9
44,1,6:01.0,,Personal foul by T. Ross (drawn by J. Martin),18,9
45,1,6:01.0,J. Simmons enters the game for T. Ross,,18,9
46,1,5:45.0,,T. Evans misses 2-pt layup from 2 ft,18,9
47,1,5:39.0,Defensive rebound by E. Fournier,,18,9
48,1,5:29.0,A. Gordon makes 2-pt layup from 3 ft,,20,9
49,1,5:15.0,,Turnover by D. Brooks (traveling),20,9
50,1,5:15.0,,C. Parsons enters the game for J. Martin,20,9
51,1,5:04.0,N. Vučević misses 2-pt jump shot from 18 ft,,20,9
52,1,4:58.0,,Defensive rebound by M. Chalmers,20,9
53,1,4:50.0,,M. Chalmers makes 3-pt jump shot from 24 ft (assist by C. Parsons),20,12
54,1,4:33.0,N. Vučević misses 2-pt layup from 2 ft,,20,12
55,1,4:31.0,,Defensive rebound by M. Gasol,20,12
56,1,4:26.0,,C. Parsons misses 3-pt jump shot from 25 ft,20,12
57,1,4:22.0,,Offensive rebound by D. Brooks,20,12
58,1,4:13.0,,T. Evans makes 2-pt layup from 4 ft (assist by C. Parsons),20,14
59,1,4:12.0,Orlando full timeout,,20,14
60,1,3:49.0,D. Augustin misses 2-pt layup from 3 ft,,20,14
61,1,3:49.0,,Defensive rebound by M. Gasol,20,14
62,1,3:43.0,,T. Evans makes 2-pt layup from 2 ft (assist by C. Parsons),20,16
63,1,3:35.0,Turnover by E. Fournier (traveling),,20,16
64,1,3:14.0,,C. Parsons misses 3-pt jump shot from 24 ft,20,16
65,1,3:12.0,Defensive rebound by Team,,20,16
66,1,3:12.0,,J. Ennis enters the game for M. Chalmers,20,16
67,1,3:12.0,,B. Wright enters the game for M. Gasol,20,16
68,1,2:54.0,Turnover by N. Vučević (lost ball; steal by T. Evans),,20,16
69,1,2:51.0,,T. Evans makes 2-pt dunk from 1 ft,20,18
