,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
0,1,11:45.0,W. Selden misses 3-pt jump shot from 26 ft,,0,0
1,1,11:41.0,Offensive rebound by M. Gasol,,0,0
2,1,11:32.0,M. Gasol misses 2-pt layup at rim (block by M. Turner),,0,0
3,1,11:32.0,Offensive rebound by Team,,0,0
4,1,11:25.0,D. Brooks makes 2-pt jump shot from 5 ft,,2,0
5,1,11:06.0,,Personal foul by A. Harrison (drawn by B. Bogdanović),2,0
6,1,10:53.0,,Turnover by B. Bogdanović (bad pass; steal by W. Selden),2,0
7,1,10:49.0,J. Martin makes 3-pt jump shot from 23 ft (assist by A. Harrison),,5,0
8,1,10:33.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),5,3
9,1,10:08.0,Turnover by W. Selden (bad pass; steal by V. Oladipo),,5,3
10,1,10:03.0,,Turnover by V. Oladipo (bad pass; steal by W. Selden),5,3
11,1,9:58.0,D. Brooks misses 2-pt layup from 5 ft,,5,3
12,1,9:54.0,,Defensive rebound by M. Turner,5,3
13,1,9:51.0,,Turnover by V. Oladipo (lost ball; steal by D. Brooks),5,3
14,1,9:40.0,M. Gasol misses 3-pt jump shot from 22 ft,,5,3
15,1,9:37.0,,Defensive rebound by V. Oladipo,5,3
16,1,9:32.0,,Shooting foul by M. Gasol (drawn by M. Turner),5,3
17,1,9:32.0,,M. Turner makes free throw 1 of 2,5,4
18,1,9:32.0,,M. Turner misses free throw 2 of 2,5,4
19,1,9:30.0,Defensive rebound by M. Gasol,,5,4
20,1,9:19.0,A. Harrison makes 2-pt layup at rim,,7,4
21,1,9:01.0,,M. Turner misses 2-pt hook shot from 13 ft,7,4
22,1,8:59.0,Defensive rebound by M. Gasol,,7,4
23,1,8:47.0,M. Gasol misses 2-pt layup from 2 ft,,7,4
24,1,8:45.0,,Defensive rebound by M. Turner,7,4
25,1,8:32.0,,T. Young misses 2-pt jump shot from 10 ft,7,4
26,1,8:29.0,Defensive rebound by A. Harrison,,7,4
27,1,8:20.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by W. Selden),,9,4
28,1,8:04.0,,T. Young misses 2-pt layup from 3 ft,9,4
29,1,8:02.0,,Offensive rebound by D. Collison,9,4
30,1,8:02.0,,D. Collison makes 2-pt jump shot from 17 ft,9,6
31,1,7:46.0,D. Brooks makes 2-pt layup from 2 ft (assist by M. Gasol),,11,6
32,1,7:31.0,,Shooting foul by J. Martin (drawn by M. Turner),11,6
33,1,7:31.0,,M. Turner makes free throw 1 of 2,11,7
34,1,7:31.0,B. McLemore enters the game for W. Selden,,11,7
35,1,7:31.0,,M. Turner makes free throw 2 of 2,11,8
36,1,7:16.0,Turnover by J. Martin (bad pass; steal by T. Young),,11,8
37,1,6:56.0,,T. Young misses 3-pt jump shot from 23 ft,11,8
38,1,6:54.0,,Offensive rebound by M. Turner,11,8
39,1,6:51.0,,Turnover by V. Oladipo (lost ball; steal by M. Gasol),11,8
40,1,6:44.0,M. Gasol misses 2-pt jump shot from 10 ft,,11,8
41,1,6:42.0,,Defensive rebound by M. Turner,11,8
42,1,6:26.0,,Shooting foul by D. Brooks (drawn by M. Turner),11,8
43,1,6:26.0,,Indiana full timeout,11,8
44,1,6:26.0,I. Rabb enters the game for J. Martin,,11,8
45,1,6:26.0,,M. Turner makes free throw 1 of 2,11,9
46,1,6:26.0,,M. Turner makes free throw 2 of 2,11,10
47,1,6:06.0,M. Gasol makes 2-pt jump shot from 7 ft,,13,10
48,1,5:48.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,13,10
49,1,5:46.0,Defensive rebound by A. Harrison,,13,10
50,1,5:38.0,Shooting foul by M. Turner (drawn by A. Harrison),,13,10
51,1,5:38.0,A. Harrison makes free throw 1 of 2,,14,10
52,1,5:38.0,A. Harrison makes free throw 2 of 2,,15,10
53,1,5:26.0,,M. Turner makes 2-pt jump shot from 7 ft (assist by V. Oladipo),15,12
54,1,5:11.0,D. Brooks misses 3-pt jump shot from 27 ft,,15,12
55,1,5:08.0,Offensive rebound by Team,,15,12
56,1,5:08.0,W. Selden enters the game for A. Harrison,,15,12
57,1,4:57.0,D. Brooks misses 2-pt jump shot from 5 ft,,15,12
58,1,4:55.0,,Defensive rebound by M. Turner,15,12
59,1,4:52.0,,B. Bogdanović makes 3-pt jump shot from 25 ft,15,15
60,1,4:34.0,M. Gasol misses 2-pt jump shot from 17 ft,,15,15
61,1,4:32.0,,Defensive rebound by M. Turner,15,15
62,1,4:23.0,,Turnover by V. Oladipo (bad pass; steal by B. McLemore),15,15
63,1,4:17.0,Turnover by B. McLemore (lost ball; steal by D. Collison),,15,15
64,1,4:14.0,,D. Collison makes 2-pt layup at rim,15,17
65,1,4:06.0,Memphis full timeout,,15,17
66,1,4:06.0,,D. Sabonis enters the game for T. Young,15,17
67,1,4:06.0,,C. Joseph enters the game for B. Bogdanović,15,17
68,1,4:06.0,M. Henry enters the game for D. Brooks,,15,17
69,1,4:01.0,Turnover by W. Selden (bad pass; steal by D. Sabonis),,15,17
70,1,3:46.0,,V. Oladipo misses 3-pt jump shot from 27 ft,15,17
71,1,3:43.0,Defensive rebound by W. Selden,,15,17
72,1,3:27.0,I. Rabb misses 2-pt layup from 1 ft,,15,17
73,1,3:26.0,,Defensive rebound by D. Sabonis,15,17
74,1,3:12.0,,Turnover by D. Sabonis (bad pass; steal by M. Henry),15,17
75,1,2:58.0,Turnover by B. McLemore (traveling),,15,17
76,1,2:47.0,,V. Oladipo misses 2-pt jump shot from 12 ft,15,17
77,1,2:44.0,Defensive rebound by M. Gasol,,15,17
78,1,2:33.0,M. Gasol makes 2-pt jump shot from 9 ft,,17,17
79,1,2:24.0,,C. Joseph misses 3-pt jump shot from 22 ft,17,17
80,1,2:22.0,Defensive rebound by M. Gasol,,17,17
81,1,2:08.0,Turnover by W. Selden (bad pass; steal by V. Oladipo),,17,17
82,1,1:56.0,,Personal block foul by W. Selden (drawn by D. Collison),17,17
83,1,1:56.0,,D. Collison makes free throw 1 of 2,17,18
84,1,1:56.0,,L. Stephenson enters the game for V. Oladipo,17,18
85,1,1:56.0,,T. Leaf enters the game for M. Turner,17,18
86,1,1:56.0,J. Martin enters the game for M. Gasol,,17,18
87,1,1:56.0,,D. Collison makes free throw 2 of 2,17,19
88,1,1:41.0,W. Selden makes 2-pt layup from 1 ft,,19,19
89,1,1:25.0,,T. Leaf misses 3-pt jump shot from 27 ft,19,19
90,1,1:22.0,Defensive rebound by B. McLemore,,19,19
91,1,1:17.0,B. McLemore makes 2-pt jump shot from 21 ft,,21,19
92,1,1:01.0,,Personal foul by M. Henry (drawn by D. Sabonis),21,19
93,1,1:01.0,,D. Sabonis makes free throw 1 of 2,21,20
94,1,1:01.0,,J. Young enters the game for D. Collison,21,20
95,1,1:01.0,,D. Sabonis makes free throw 2 of 2,21,21
96,1,0:47.0,B. McLemore misses 2-pt layup from 1 ft,,21,21
97,1,0:46.0,Offensive rebound by I. Rabb,,21,21
98,1,0:46.0,I. Rabb makes 2-pt layup from 2 ft,,23,21
99,1,0:31.0,,L. Stephenson misses 2-pt jump shot from 18 ft,23,21
100,1,0:28.0,Defensive rebound by B. McLemore,,23,21
101,1,0:13.0,Shooting foul by J. Young (drawn by W. Selden),,23,21
102,1,0:13.0,W. Selden makes free throw 1 of 2,,24,21
103,1,0:13.0,A. Harrison enters the game for I. Rabb,,24,21
104,1,0:13.0,W. Selden makes free throw 2 of 2,,25,21
105,1,0:01.0,,C. Joseph misses 2-pt jump shot from 9 ft (block by W. Selden),25,21
106,1,0:01.0,Defensive rebound by M. Henry,,25,21
107,2,11:54.0,,L. Stephenson makes 3-pt jump shot from 27 ft (assist by C. Joseph),25,24
108,2,11:27.0,M. Henry makes 3-pt jump shot from 28 ft (assist by W. Selden),,28,24
109,2,11:07.0,,T. Leaf makes 3-pt jump shot from 23 ft (assist by L. Stephenson),28,27
110,2,10:51.0,Turnover by W. Selden (bad pass),,28,27
111,2,10:51.0,A. Harrison enters the game for B. McLemore,,28,27
112,2,10:39.0,,Personal foul by W. Selden (drawn by D. Sabonis),28,27
113,2,10:39.0,D. Brooks enters the game for W. Selden,,28,27
114,2,10:24.0,,C. Joseph misses 3-pt jump shot from 27 ft,28,27
115,2,10:21.0,Defensive rebound by A. Harrison,,28,27
116,2,10:16.0,Turnover by J. Martin (lost ball; steal by C. Joseph),,28,27
117,2,10:01.0,,Shooting foul by A. Harrison (drawn by L. Stephenson),28,27
118,2,10:01.0,,L. Stephenson misses free throw 1 of 2,28,27
119,2,10:01.0,,Offensive rebound by Team,28,27
120,2,10:01.0,,L. Stephenson makes free throw 2 of 2,28,28
121,2,9:41.0,D. Brooks misses 2-pt jump shot from 18 ft,,28,28
122,2,9:36.0,Offensive rebound by J. Martin,,28,28
123,2,9:28.0,J. Martin makes 2-pt jump shot from 15 ft (assist by A. Harrison),,30,28
124,2,9:08.0,,L. Stephenson misses 2-pt layup from 6 ft,30,28
125,2,9:04.0,Defensive rebound by A. Harrison,,30,28
126,2,9:00.0,,T. Young enters the game for J. Young,30,28
127,2,9:00.0,,B. Bogdanović enters the game for T. Leaf,30,28
128,2,8:52.0,A. Harrison makes 2-pt jump shot from 16 ft,,32,28
129,2,8:34.0,,D. Sabonis makes 2-pt layup at rim (assist by L. Stephenson),32,30
130,2,8:34.0,,Shooting foul by D. Brooks (drawn by D. Sabonis),32,30
131,2,8:34.0,,D. Sabonis misses free throw 1 of 1,32,30
132,2,8:32.0,Defensive rebound by I. Rabb,,32,30
133,2,8:20.0,M. Henry makes 3-pt jump shot from 26 ft (assist by D. Brooks),,35,30
134,2,7:57.0,,L. Stephenson makes 2-pt layup at rim (assist by D. Sabonis),35,32
135,2,7:45.0,A. Harrison misses 2-pt jump shot from 17 ft,,35,32
136,2,7:43.0,,Defensive rebound by L. Stephenson,35,32
137,2,7:40.0,Violation by D. Brooks (kicked ball),,35,32
138,2,7:33.0,,T. Young makes 2-pt layup at rim (assist by D. Sabonis),35,34
139,2,7:13.0,D. Brooks misses 2-pt jump shot from 18 ft,,35,34
140,2,7:10.0,,Defensive rebound by B. Bogdanović,35,34
141,2,7:09.0,,Personal block foul by A. Harrison (drawn by B. Bogdanović),35,34
142,2,7:09.0,,V. Oladipo enters the game for L. Stephenson,35,34
143,2,7:09.0,M. Gasol enters the game for A. Harrison,,35,34
144,2,7:09.0,W. Selden enters the game for I. Rabb,,35,34
145,2,7:04.0,,C. Joseph makes 2-pt jump shot from 13 ft,35,36
146,2,6:51.0,Personal foul by V. Oladipo (drawn by W. Selden),,35,36
147,2,6:51.0,,Indiana full timeout,35,36
148,2,6:35.0,D. Brooks makes 2-pt layup from 1 ft,,37,36
149,2,6:12.0,,T. Young makes 2-pt jump shot from 17 ft,37,38
150,2,5:50.0,W. Selden makes 3-pt jump shot from 25 ft (assist by M. Gasol),,40,38
151,2,5:37.0,,Personal foul by M. Gasol (drawn by T. Young),40,38
152,2,5:37.0,,T. Young misses free throw 1 of 2,40,38
153,2,5:37.0,,Offensive rebound by Team,40,38
154,2,5:37.0,,D. Collison enters the game for C. Joseph,40,38
155,2,5:37.0,,M. Turner enters the game for D. Sabonis,40,38
156,2,5:37.0,I. Rabb enters the game for W. Selden,,40,38
157,2,5:37.0,,T. Young misses free throw 2 of 2,40,38
158,2,5:35.0,Defensive rebound by I. Rabb,,40,38
159,2,5:23.0,J. Martin misses 2-pt layup from 1 ft,,40,38
160,2,5:21.0,Offensive rebound by I. Rabb,,40,38
161,2,5:21.0,I. Rabb makes 2-pt layup at rim,,42,38
162,2,5:11.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),42,41
163,2,4:48.0,M. Gasol misses 2-pt jump shot from 8 ft,,42,41
164,2,4:45.0,Offensive rebound by J. Martin,,42,41
165,2,4:43.0,J. Martin makes 2-pt layup from 1 ft,,44,41
166,2,4:36.0,,V. Oladipo makes 2-pt layup from 1 ft,44,43
167,2,4:27.0,J. Martin misses 2-pt jump shot from 15 ft,,44,43
