,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:46.0,O. Porter makes 2-pt jump shot from 18 ft,,2,0
1,1,11:25.0,,S. Ibaka makes 2-pt jump shot from 16 ft (assist by D. DeRozan),2,2
2,1,11:04.0,B. Beal misses 3-pt jump shot from 22 ft,,2,2
3,1,11:01.0,,Defensive rebound by K. Lowry,2,2
4,1,10:52.0,,J. Valančiūnas makes 2-pt layup at rim (assist by K. Lowry),2,4
5,1,10:45.0,B. Beal makes 2-pt layup from 1 ft,,4,4
6,1,10:39.0,,K. Lowry makes 3-pt jump shot from 26 ft,4,7
7,1,10:23.0,O. Porter misses 2-pt layup from 3 ft (block by J. Valančiūnas),,4,7
8,1,10:21.0,,Defensive rebound by J. Valančiūnas,4,7
9,1,10:20.0,,Turnover by J. Valančiūnas (bad pass; steal by M. Morris),4,7
10,1,10:17.0,Turnover by M. Morris (bad pass; steal by K. Lowry),,4,7
11,1,10:16.0,,Shooting foul by J. Wall (drawn by O. Anunoby),4,7
12,1,10:16.0,,O. Anunoby makes free throw 1 of 2,4,8
13,1,10:16.0,,O. Anunoby makes free throw 2 of 2,4,9
14,1,10:09.0,Personal foul by O. Anunoby (drawn by B. Beal),,4,9
15,1,9:55.0,B. Beal misses 2-pt jump shot from 14 ft,,4,9
16,1,9:53.0,,Defensive rebound by S. Ibaka,4,9
17,1,9:44.0,,O. Anunoby makes 3-pt jump shot from 22 ft (assist by S. Ibaka),4,12
18,1,9:40.0,Washington full timeout,,4,12
19,1,9:33.0,M. Gortat misses 2-pt jump shot from 4 ft,,4,12
20,1,9:30.0,,Defensive rebound by J. Valančiūnas,4,12
21,1,9:23.0,,Shooting foul by B. Beal (drawn by O. Anunoby),4,12
22,1,9:23.0,,O. Anunoby misses free throw 1 of 3,4,12
23,1,9:23.0,,Offensive rebound by Team,4,12
24,1,9:23.0,,O. Anunoby makes free throw 2 of 3,4,13
25,1,9:23.0,,O. Anunoby makes free throw 3 of 3,4,14
26,1,9:10.0,M. Morris makes 2-pt jump shot from 6 ft (assist by B. Beal),,6,14
27,1,8:52.0,,S. Ibaka misses 2-pt jump shot from 16 ft,6,14
28,1,8:49.0,,Offensive rebound by O. Anunoby,6,14
29,1,8:44.0,,D. DeRozan misses 2-pt jump shot from 20 ft,6,14
30,1,8:41.0,Defensive rebound by M. Gortat,,6,14
31,1,8:29.0,M. Gortat misses 2-pt layup from 2 ft,,6,14
32,1,8:27.0,,Defensive rebound by J. Valančiūnas,6,14
33,1,8:19.0,,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by D. DeRozan),6,17
34,1,8:03.0,J. Wall makes 2-pt jump shot from 18 ft,,8,17
35,1,7:54.0,,Personal foul by M. Gortat (drawn by J. Valančiūnas),8,17
36,1,7:54.0,M. Scott enters the game for M. Gortat,,8,17
37,1,7:50.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),8,19
38,1,7:42.0,,Offensive charge foul by J. Wall (drawn by K. Lowry),8,19
39,1,7:42.0,Turnover by J. Wall (offensive foul),,8,19
40,1,7:42.0,T. Lawson enters the game for J. Wall,,8,19
41,1,7:21.0,,K. Lowry makes 2-pt layup from 2 ft,8,21
42,1,7:08.0,Personal foul by K. Lowry (drawn by B. Beal),,8,21
43,1,7:03.0,O. Porter misses 2-pt jump shot from 19 ft (block by S. Ibaka),,8,21
44,1,6:59.0,,Defensive rebound by J. Valančiūnas,8,21
45,1,6:50.0,,O. Anunoby misses 3-pt jump shot from 23 ft,8,21
46,1,6:46.0,,Offensive rebound by D. DeRozan,8,21
47,1,6:44.0,,Turnover by D. DeRozan (bad pass),8,21
48,1,6:35.0,B. Beal misses 3-pt jump shot from 29 ft,,8,21
49,1,6:31.0,,Defensive rebound by K. Lowry,8,21
50,1,6:29.0,,D. DeRozan misses 2-pt layup from 1 ft,8,21
51,1,6:29.0,Defensive rebound by O. Porter,,8,21
52,1,6:21.0,T. Lawson makes 3-pt jump shot from 25 ft (assist by B. Beal),,11,21
53,1,6:12.0,,Offensive foul by J. Valančiūnas (drawn by T. Lawson),11,21
54,1,6:12.0,,Turnover by J. Valančiūnas (offensive foul),11,21
55,1,6:12.0,,D. Wright enters the game for O. Anunoby,11,21
56,1,6:02.0,M. Morris misses 2-pt jump shot from 16 ft,,11,21
57,1,5:59.0,,Defensive rebound by S. Ibaka,11,21
58,1,5:55.0,,Personal foul by M. Morris (drawn by J. Valančiūnas),11,21
59,1,5:55.0,K. Oubre enters the game for O. Porter,,11,21
60,1,5:40.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,11,21
61,1,5:34.0,,Offensive rebound by S. Ibaka,11,21
62,1,5:34.0,,S. Ibaka misses 2-pt layup from 2 ft,11,21
63,1,5:34.0,Defensive rebound by M. Scott,,11,21
64,1,5:24.0,M. Morris misses 3-pt jump shot from 22 ft,,11,21
65,1,5:21.0,,Defensive rebound by S. Ibaka,11,21
66,1,5:12.0,,D. Wright makes 3-pt jump shot from 23 ft (assist by S. Ibaka),11,24
67,1,4:59.0,B. Beal makes 2-pt jump shot from 17 ft,,13,24
68,1,4:47.0,,D. DeRozan makes 2-pt layup at rim (assist by J. Valančiūnas),13,26
69,1,4:32.0,M. Morris misses 2-pt layup from 1 ft,,13,26
70,1,4:29.0,,Defensive rebound by J. Valančiūnas,13,26
71,1,4:20.0,,D. DeRozan makes 2-pt jump shot from 21 ft (assist by K. Lowry),13,28
72,1,4:20.0,Washington full timeout,,13,28
73,1,4:07.0,M. Scott misses 3-pt jump shot from 23 ft,,13,28
74,1,4:05.0,,Defensive rebound by J. Valančiūnas,13,28
75,1,3:59.0,,D. DeRozan makes 3-pt jump shot from 25 ft,13,31
