,QUARTER,TIME_REMAINING,BOSTON_ACTION,MIAMI_ACTION,BOSTON_SCORE,MIAMI_SCORE
0,1,11:48.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Richardson),0,2
1,1,11:24.0,A. Horford makes 2-pt jump shot from 6 ft,,2,2
2,1,11:00.0,,B. Adebayo misses 2-pt jump shot from 3 ft,2,2
3,1,10:52.0,,Offensive rebound by B. Adebayo,2,2
4,1,10:51.0,,Personal foul by J. Brown (drawn by D. Waiters),2,2
5,1,10:36.0,,G. Dragić misses 2-pt jump shot from 18 ft,2,2
6,1,10:32.0,Defensive rebound by J. Brown,,2,2
7,1,10:29.0,J. Brown misses 3-pt jump shot from 25 ft,,2,2
8,1,10:25.0,,Defensive rebound by G. Dragić,2,2
9,1,10:20.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by J. Johnson),2,5
10,1,10:04.0,K. Irving misses 2-pt jump shot from 8 ft,,2,5
11,1,9:58.0,,Defensive rebound by D. Waiters,2,5
12,1,9:54.0,,G. Dragić misses 2-pt jump shot from 9 ft,2,5
13,1,9:54.0,,Offensive rebound by Team,2,5
14,1,9:54.0,,Personal foul by J. Brown (drawn by D. Waiters),2,5
15,1,9:45.0,,D. Waiters makes 2-pt layup from 2 ft,2,7
16,1,9:29.0,Turnover by J. Brown (lost ball; steal by D. Waiters),,2,7
17,1,9:24.0,,D. Waiters misses 2-pt layup from 1 ft,2,7
18,1,9:20.0,Defensive rebound by K. Irving,,2,7
19,1,9:16.0,K. Irving makes 3-pt jump shot from 25 ft,,5,7
20,1,8:54.0,,J. Richardson makes 2-pt jump shot from 7 ft,5,9
21,1,8:46.0,K. Irving misses 2-pt jump shot from 19 ft,,5,9
22,1,8:42.0,,Defensive rebound by G. Dragić,5,9
23,1,8:23.0,,Turnover by D. Waiters (bad pass; steal by K. Irving),5,9
24,1,8:16.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by J. Brown),,8,9
25,1,7:54.0,,J. Johnson misses 3-pt jump shot from 25 ft,8,9
26,1,7:51.0,Defensive rebound by K. Irving,,8,9
27,1,7:47.0,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),,10,9
28,1,7:47.0,Shooting foul by B. Adebayo (drawn by A. Horford),,10,9
29,1,7:47.0,M. Smart enters the game for J. Brown,,10,9
30,1,7:47.0,A. Horford makes free throw 1 of 1,,11,9
31,1,7:28.0,,D. Waiters misses 3-pt jump shot from 25 ft,11,9
32,1,7:26.0,Defensive rebound by A. Horford,,11,9
33,1,7:14.0,K. Irving misses 2-pt jump shot from 10 ft,,11,9
34,1,7:10.0,,Defensive rebound by J. Johnson,11,9
35,1,7:04.0,,B. Adebayo misses 2-pt jump shot from 6 ft,11,9
36,1,7:01.0,Defensive rebound by A. Horford,,11,9
37,1,6:52.0,Personal foul by D. Waiters (drawn by M. Smart),,11,9
38,1,6:52.0,,Miami full timeout,11,9
39,1,6:52.0,,T. Johnson enters the game for G. Dragić,11,9
40,1,6:52.0,S. Ojeleye enters the game for A. Baynes,,11,9
41,1,6:41.0,J. Tatum makes 2-pt layup at rim (assist by A. Horford),,13,9
42,1,6:27.0,,Turnover by D. Waiters (out of bounds lost ball),13,9
43,1,6:16.0,K. Irving misses 2-pt jump shot from 15 ft,,13,9
44,1,6:13.0,,Defensive rebound by J. Johnson,13,9
45,1,6:11.0,,Violation by D. Waiters (kicked ball),13,9
46,1,6:01.0,,Turnover by J. Johnson (out of bounds lost ball),13,9
47,1,5:46.0,M. Smart makes 2-pt jump shot from 3 ft,,15,9
48,1,5:20.0,,T. Johnson misses 3-pt jump shot from 25 ft,15,9
49,1,5:16.0,Defensive rebound by A. Horford,,15,9
50,1,5:09.0,K. Irving misses 2-pt jump shot from 16 ft,,15,9
51,1,5:06.0,,Defensive rebound by D. Waiters,15,9
52,1,4:44.0,,B. Adebayo makes 2-pt dunk at rim (assist by D. Waiters),15,11
53,1,4:31.0,Personal foul by B. Adebayo (drawn by A. Horford),,15,11
54,1,4:31.0,,K. Olynyk enters the game for B. Adebayo,15,11
55,1,4:31.0,,J. Winslow enters the game for J. Johnson,15,11
56,1,4:26.0,Turnover by M. Smart (lost ball; steal by K. Olynyk),,15,11
57,1,4:08.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by T. Johnson),15,14
58,1,4:07.0,Boston full timeout,,15,14
59,1,4:07.0,T. Rozier enters the game for K. Irving,,15,14
60,1,3:57.0,Turnover by A. Horford (out of bounds lost ball),,15,14
61,1,3:41.0,,Turnover by K. Olynyk (bad pass; steal by S. Ojeleye),15,14
62,1,3:34.0,Personal foul by T. Johnson (drawn by J. Tatum),,15,14
63,1,3:26.0,M. Smart misses 3-pt jump shot from 25 ft,,15,14
64,1,3:17.0,Offensive rebound by J. Tatum,,15,14
65,1,3:17.0,J. Tatum makes 2-pt layup at rim,,17,14
66,1,3:08.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Richardson),17,16
67,1,2:42.0,A. Horford misses 2-pt jump shot from 21 ft,,17,16
68,1,2:39.0,,Defensive rebound by D. Waiters,17,16
69,1,2:24.0,,Personal foul by S. Ojeleye (drawn by D. Waiters),17,16
70,1,2:24.0,,G. Dragić enters the game for D. Waiters,17,16
71,1,2:24.0,D. Theis enters the game for A. Horford,,17,16
72,1,2:15.0,,J. Winslow misses 3-pt jump shot from 81 ft,17,16
73,1,2:14.0,,Offensive rebound by K. Olynyk,17,16
74,1,2:11.0,Offensive charge foul by J. Richardson (drawn by M. Smart),,17,16
75,1,2:11.0,,Turnover by J. Richardson (offensive foul),17,16
76,1,1:53.0,T. Rozier misses 2-pt jump shot from 9 ft,,17,16
77,1,1:51.0,Offensive rebound by D. Theis,,17,16
78,1,1:46.0,D. Theis misses 2-pt layup from 1 ft,,17,16
79,1,1:35.0,,Defensive rebound by J. Winslow,17,16
80,1,1:30.0,,K. Olynyk misses 2-pt jump shot from 19 ft,17,16
81,1,1:30.0,,Offensive rebound by J. Winslow,17,16
82,1,1:24.0,,J. Winslow misses 2-pt layup from 2 ft,17,16
83,1,1:24.0,,Offensive rebound by J. Winslow,17,16
84,1,1:19.0,,J. Winslow misses 2-pt layup at rim,17,16
85,1,1:17.0,,Offensive rebound by J. Winslow,17,16
86,1,1:16.0,,G. Dragić makes 3-pt jump shot from 26 ft (assist by T. Johnson),17,19
87,1,1:04.0,M. Smart makes 2-pt jump shot from 15 ft,,19,19
88,1,0:47.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by G. Dragić),19,22
89,1,0:39.0,M. Smart misses 3-pt jump shot from 25 ft,,19,22
90,1,0:34.0,,Defensive rebound by J. Winslow,19,22
91,1,0:32.0,,G. Dragić makes 2-pt layup from 2 ft (assist by J. Winslow),19,24
92,1,0:12.0,D. Theis makes 2-pt layup from 2 ft,,21,24
93,1,0:04.0,,T. Johnson makes 2-pt layup from 1 ft,21,26
94,1,0:00.0,M. Smart misses 3-pt jump shot from 24 ft (block by T. Johnson),,21,26
95,1,0:00.0,Offensive rebound by Team,,21,26
96,2,11:43.0,Shooting foul by J. Winslow (drawn by J. Brown),,21,26
97,2,11:43.0,J. Brown makes free throw 1 of 2,,22,26
98,2,11:43.0,J. Brown makes free throw 2 of 2,,23,26
99,2,11:24.0,,Shooting foul by D. Theis (drawn by K. Olynyk),23,26
100,2,11:24.0,,K. Olynyk makes free throw 1 of 2,23,27
101,2,11:24.0,,K. Olynyk makes free throw 2 of 2,23,28
102,2,11:08.0,S. Larkin misses 2-pt jump shot from 19 ft,,23,28
103,2,11:04.0,Offensive rebound by Team,,23,28
104,2,10:54.0,D. Theis makes 2-pt jump shot from 19 ft (assist by S. Larkin),,25,28
105,2,10:41.0,,J. Winslow makes 2-pt layup from 1 ft (assist by G. Dragić),25,30
106,2,10:26.0,S. Larkin misses 2-pt layup from 1 ft (block by K. Olynyk),,25,30
107,2,10:21.0,,Defensive rebound by K. Olynyk,25,30
108,2,10:20.0,,Turnover by K. Olynyk (bad pass; steal by M. Smart),25,30
109,2,10:14.0,M. Smart makes 2-pt layup from 1 ft,,27,30
110,2,10:06.0,,Personal foul by S. Larkin (drawn by G. Dragić),27,30
111,2,9:57.0,,K. Olynyk misses 3-pt jump shot from 25 ft,27,30
112,2,9:53.0,Defensive rebound by T. Rozier,,27,30
113,2,9:47.0,T. Rozier misses 3-pt jump shot from 23 ft,,27,30
114,2,9:44.0,Offensive rebound by D. Theis,,27,30
115,2,9:39.0,M. Smart makes 3-pt jump shot from 27 ft (assist by S. Larkin),,30,30
116,2,9:25.0,,Turnover by K. Olynyk (bad pass; steal by S. Larkin),30,30
117,2,9:20.0,M. Smart makes 3-pt jump shot from 24 ft (assist by S. Larkin),,33,30
118,2,9:20.0,,Miami full timeout,33,30
119,2,9:02.0,,T. Johnson misses 2-pt jump shot from 6 ft,33,30
120,2,9:00.0,Defensive rebound by T. Rozier,,33,30
121,2,8:46.0,T. Rozier misses 2-pt layup from 1 ft,,33,30
122,2,8:44.0,,Defensive rebound by K. Olynyk,33,30
123,2,8:41.0,,T. Johnson misses 3-pt jump shot from 25 ft,33,30
124,2,8:36.0,Defensive rebound by D. Theis,,33,30
125,2,8:28.0,D. Theis makes 2-pt layup from 2 ft (assist by M. Smart),,35,30
126,2,8:15.0,,Offensive foul by J. Winslow (drawn by M. Smart),35,30
127,2,8:15.0,,Turnover by J. Winslow (offensive foul),35,30
128,2,8:15.0,K. Irving enters the game for M. Smart,,35,30
129,2,7:52.0,D. Theis misses 2-pt jump shot from 11 ft,,35,30
130,2,7:48.0,,Defensive rebound by J. Winslow,35,30
131,2,7:37.0,,Turnover by G. Dragić (bad pass; steal by T. Rozier),35,30
132,2,7:36.0,Shooting foul by G. Dragić (drawn by J. Brown),,35,30
