,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:41.0,T. Harris makes 2-pt hook shot from 6 ft (assist by I. Smith),,2,0
1,1,11:17.0,,L. James makes 2-pt layup at rim,2,2
2,1,11:00.0,Shooting block foul by T. Thompson (drawn by A. Drummond),,2,2
3,1,11:00.0,A. Drummond makes free throw 1 of 2,,3,2
4,1,11:00.0,A. Drummond makes free throw 2 of 2,,4,2
5,1,10:52.0,,Turnover by L. James (bad pass),4,2
6,1,10:39.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by T. Harris),,7,2
7,1,10:25.0,,K. Love makes 2-pt jump shot from 17 ft,7,4
8,1,10:10.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by A. Drummond),,10,4
9,1,9:59.0,,J. Smith misses 3-pt jump shot from 23 ft,10,4
10,1,9:57.0,Defensive rebound by T. Harris,,10,4
11,1,9:51.0,R. Bullock misses 3-pt jump shot from 22 ft,,10,4
12,1,9:48.0,,Defensive rebound by J. Smith,10,4
13,1,9:42.0,,K. Love makes 2-pt layup at rim (assist by L. James),10,6
14,1,9:21.0,A. Tolliver misses 3-pt jump shot from 25 ft,,10,6
15,1,9:18.0,,Defensive rebound by T. Thompson,10,6
16,1,9:08.0,,I. Thomas makes 2-pt jump shot from 19 ft,10,8
17,1,8:55.0,Turnover by I. Smith (bad pass),,10,8
18,1,8:35.0,,K. Love makes 3-pt jump shot from 24 ft (assist by I. Thomas),10,11
19,1,8:13.0,T. Harris misses 3-pt jump shot from 25 ft,,10,11
20,1,8:09.0,,Defensive rebound by L. James,10,11
21,1,8:06.0,,T. Thompson makes 2-pt dunk at rim (assist by L. James),10,13
22,1,7:57.0,Detroit full timeout,,10,13
23,1,7:45.0,T. Harris makes 2-pt jump shot from 8 ft,,12,13
24,1,7:22.0,,T. Thompson makes 2-pt layup from 1 ft (assist by I. Thomas),12,15
25,1,7:08.0,T. Harris misses 3-pt jump shot from 27 ft,,12,15
26,1,7:05.0,,Defensive rebound by K. Love,12,15
27,1,7:03.0,,Shooting foul by T. Harris (drawn by L. James),12,15
28,1,7:03.0,,L. James makes free throw 1 of 2,12,16
29,1,7:03.0,,L. James makes free throw 2 of 2,12,17
30,1,6:50.0,R. Bullock misses 2-pt jump shot from 14 ft,,12,17
31,1,6:47.0,,Defensive rebound by K. Love,12,17
