,QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,,L. Aldridge misses 2-pt jump shot from 13 ft,0,0
1,1,11:35.0,Defensive rebound by K. Bazemore,,0,0
2,1,11:24.0,L. Babbitt misses 3-pt jump shot from 26 ft,,0,0
3,1,11:21.0,,Defensive rebound by K. Anderson,0,0
4,1,11:06.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by P. Mills),0,2
5,1,10:51.0,T. Prince misses 3-pt jump shot from 23 ft,,0,2
6,1,10:49.0,,Defensive rebound by L. Aldridge,0,2
7,1,10:34.0,,D. Green misses 2-pt layup from 2 ft (block by K. Bazemore),0,2
8,1,10:30.0,Defensive rebound by K. Bazemore,,0,2
9,1,10:25.0,K. Bazemore misses 2-pt layup at rim,,0,2
10,1,10:18.0,Offensive rebound by D. Dedmon,,0,2
11,1,10:18.0,D. Dedmon makes 2-pt layup at rim,,2,2
12,1,10:09.0,,D. Green misses 3-pt jump shot from 25 ft,2,2
13,1,10:09.0,Defensive rebound by T. Prince,,2,2
14,1,9:58.0,T. Prince misses 3-pt jump shot from 25 ft,,2,2
15,1,9:55.0,,Defensive rebound by P. Gasol,2,2
16,1,9:48.0,,P. Mills misses 3-pt jump shot from 25 ft,2,2
17,1,9:45.0,Defensive rebound by D. Dedmon,,2,2
18,1,9:35.0,K. Bazemore misses 2-pt jump shot from 10 ft,,2,2
19,1,9:33.0,,Defensive rebound by P. Gasol,2,2
20,1,9:24.0,,Personal foul by T. Prince (drawn by L. Aldridge),2,2
21,1,9:22.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Anderson),2,4
22,1,9:00.0,D. Schröder misses 2-pt jump shot from 16 ft,,2,4
23,1,8:58.0,Offensive rebound by D. Schröder,,2,4
24,1,8:54.0,L. Babbitt misses 3-pt jump shot from 26 ft,,2,4
25,1,8:54.0,,Defensive rebound by P. Gasol,2,4
26,1,8:44.0,,P. Gasol misses 3-pt jump shot from 25 ft,2,4
27,1,8:40.0,Defensive rebound by Team,,2,4
28,1,8:30.0,Turnover by D. Dedmon (lost ball; steal by P. Mills),,2,4
29,1,8:17.0,,D. Green misses 3-pt jump shot from 22 ft,2,4
30,1,8:17.0,,Offensive rebound by Team,2,4
31,1,8:17.0,,Personal foul by D. Dedmon (drawn by K. Anderson),2,4
32,1,8:10.0,,Shooting foul by L. Babbitt (drawn by P. Gasol),2,4
33,1,8:10.0,,P. Gasol makes free throw 1 of 2,2,5
34,1,8:10.0,,P. Gasol makes free throw 2 of 2,2,6
35,1,8:03.0,Turnover by D. Schröder (out of bounds lost ball),,2,6
36,1,7:51.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Mills),2,9
37,1,7:33.0,T. Prince makes 2-pt layup from 1 ft (assist by L. Babbitt),,4,9
38,1,7:33.0,Shooting foul by P. Gasol (drawn by T. Prince),,4,9
39,1,7:33.0,J. Collins enters the game for L. Babbitt,,4,9
40,1,7:33.0,T. Prince misses free throw 1 of 1,,4,9
41,1,7:30.0,,Defensive rebound by P. Gasol,4,9
42,1,7:18.0,,P. Gasol misses 2-pt jump shot from 9 ft,4,9
43,1,7:16.0,Defensive rebound by D. Dedmon,,4,9
44,1,7:05.0,D. Schröder misses 2-pt jump shot from 17 ft,,4,9
45,1,7:04.0,,Defensive rebound by P. Gasol,4,9
46,1,7:04.0,,Personal foul by J. Collins (drawn by P. Gasol),4,9
47,1,7:04.0,M. Belinelli enters the game for K. Bazemore,,4,9
48,1,6:47.0,,L. Aldridge misses 2-pt jump shot from 12 ft,4,9
49,1,6:45.0,Defensive rebound by M. Belinelli,,4,9
50,1,6:29.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,7,9
51,1,6:29.0,,San Antonio full timeout,7,9
52,1,6:07.0,,K. Anderson makes 3-pt jump shot from 24 ft (assist by L. Aldridge),7,12
53,1,5:43.0,T. Prince makes 3-pt jump shot from 23 ft (assist by D. Schröder),,10,12
54,1,5:26.0,,P. Gasol misses 2-pt hook shot from 6 ft,10,12
55,1,5:26.0,Defensive rebound by M. Belinelli,,10,12
56,1,5:13.0,D. Schröder misses 2-pt jump shot from 15 ft,,10,12
57,1,5:09.0,,Defensive rebound by P. Mills,10,12
58,1,4:58.0,,L. Aldridge misses 3-pt jump shot from 25 ft,10,12
59,1,4:58.0,Defensive rebound by D. Dedmon,,10,12
60,1,4:37.0,M. Belinelli misses 2-pt layup from 4 ft,,10,12
61,1,4:37.0,Offensive rebound by D. Dedmon,,10,12
62,1,4:33.0,D. Dedmon makes 2-pt layup at rim,,12,12
63,1,4:25.0,,Turnover by L. Aldridge (out of bounds lost ball),12,12
64,1,4:25.0,,R. Gay enters the game for K. Anderson,12,12
65,1,4:25.0,,J. Lauvergne enters the game for D. Green,12,12
66,1,4:25.0,,M. Ginóbili enters the game for P. Gasol,12,12
67,1,4:25.0,M. Delaney enters the game for T. Prince,,12,12
68,1,4:09.0,D. Dedmon makes 3-pt jump shot from 23 ft (assist by D. Schröder),,15,12
69,1,3:50.0,,L. Aldridge makes 2-pt hook shot from 5 ft (assist by P. Mills),15,14
70,1,3:27.0,Turnover by D. Dedmon (offensive goaltending),,15,14
71,1,3:27.0,Atlanta full timeout,,15,14
72,1,3:27.0,,D. Murray enters the game for P. Mills,15,14
73,1,3:27.0,T. Prince enters the game for D. Schröder,,15,14
74,1,3:09.0,,R. Gay makes 2-pt jump shot from 13 ft,15,16
75,1,2:56.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by D. Dedmon),,17,16
