,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:37.0,,K. Irving misses 2-pt jump shot from 15 ft,0,0
1,1,11:35.0,Defensive rebound by A. Gordon,,0,0
2,1,11:19.0,E. Fournier makes 3-pt jump shot from 25 ft,,3,0
3,1,11:04.0,,K. Irving makes 2-pt layup at rim,3,2
4,1,10:58.0,E. Payton makes 2-pt layup from 1 ft,,5,2
5,1,10:44.0,,M. Morris makes 2-pt layup from 1 ft (assist by A. Horford),5,4
6,1,10:29.0,A. Gordon misses 2-pt jump shot from 10 ft,,5,4
7,1,10:27.0,,Defensive rebound by K. Irving,5,4
8,1,10:14.0,,M. Morris misses 2-pt jump shot from 4 ft,5,4
9,1,10:12.0,Defensive rebound by A. Gordon,,5,4
10,1,10:02.0,Shooting foul by M. Morris (drawn by B. Biyombo),,5,4
11,1,10:02.0,B. Biyombo makes free throw 1 of 2,,6,4
12,1,10:02.0,B. Biyombo makes free throw 2 of 2,,7,4
13,1,9:54.0,,M. Morris misses 2-pt layup from 1 ft (block by B. Biyombo),7,4
14,1,9:53.0,Defensive rebound by Team,,7,4
15,1,9:39.0,Turnover by A. Gordon (bad pass; steal by A. Horford),,7,4
16,1,9:37.0,,J. Brown misses 2-pt layup from 1 ft (block by J. Simmons),7,4
17,1,9:36.0,,Offensive rebound by Team,7,4
18,1,9:33.0,,J. Tatum misses 2-pt jump shot from 20 ft,7,4
19,1,9:28.0,,Offensive rebound by J. Tatum,7,4
20,1,9:22.0,,J. Brown misses 2-pt hook shot from 2 ft,7,4
21,1,9:20.0,Defensive rebound by E. Fournier,,7,4
22,1,9:12.0,E. Payton makes 2-pt layup from 2 ft (assist by E. Fournier),,9,4
23,1,8:58.0,,K. Irving makes 2-pt jump shot from 8 ft,9,6
24,1,8:51.0,,Offensive charge foul by J. Simmons (drawn by K. Irving),9,6
25,1,8:51.0,Turnover by J. Simmons (offensive foul),,9,6
26,1,8:40.0,,Turnover by J. Brown (bad pass; steal by J. Simmons),9,6
27,1,8:37.0,,Violation by J. Brown (kicked ball),9,6
28,1,8:23.0,Turnover by E. Fournier (bad pass; steal by J. Tatum),,9,6
29,1,8:17.0,,J. Brown makes 2-pt layup at rim (assist by M. Morris),9,8
30,1,8:02.0,J. Simmons misses 3-pt jump shot from 22 ft,,9,8
31,1,7:59.0,Offensive rebound by A. Gordon,,9,8
32,1,7:57.0,J. Simmons makes 2-pt layup from 1 ft (assist by E. Payton),,11,8
33,1,7:43.0,,K. Irving makes 3-pt jump shot from 22 ft (assist by A. Horford),11,11
34,1,7:25.0,E. Payton misses 2-pt jump shot from 21 ft,,11,11
35,1,7:24.0,,Defensive rebound by A. Horford,11,11
36,1,7:13.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by A. Horford),11,14
37,1,6:58.0,,Boston full timeout,11,14
38,1,6:50.0,E. Payton makes 2-pt layup from 1 ft (assist by J. Simmons),,13,14
39,1,6:39.0,,Personal foul by E. Fournier,13,14
40,1,6:39.0,Technical foul by E. Fournier,,13,14
41,1,6:39.0,,K. Irving makes technical free throw,13,15
42,1,6:32.0,,J. Tatum misses 3-pt jump shot from 25 ft,13,15
43,1,6:30.0,,Offensive rebound by J. Brown,13,15
44,1,6:27.0,,J. Brown makes 2-pt layup from 4 ft,13,17
45,1,6:11.0,J. Simmons misses 3-pt jump shot from 23 ft,,13,17
46,1,6:09.0,,Defensive rebound by K. Irving,13,17
47,1,6:03.0,,Turnover by J. Tatum (traveling),13,17
48,1,6:03.0,,M. Smart enters the game for J. Tatum,13,17
49,1,5:54.0,E. Fournier misses 2-pt layup from 5 ft (block by A. Horford),,13,17
50,1,5:53.0,Offensive rebound by Team,,13,17
51,1,5:46.0,E. Payton misses 3-pt jump shot from 25 ft,,13,17
52,1,5:44.0,,Defensive rebound by M. Morris,13,17
53,1,5:38.0,,J. Brown makes 2-pt layup from 1 ft,13,19
54,1,5:18.0,Shooting foul by J. Brown (drawn by E. Payton),,13,19
55,1,5:18.0,E. Payton makes free throw 1 of 2,,14,19
56,1,5:18.0,,S. Ojeleye enters the game for M. Morris,14,19
57,1,5:18.0,,A. Baynes enters the game for A. Horford,14,19
58,1,5:18.0,E. Payton makes free throw 2 of 2,,15,19
59,1,5:06.0,,J. Brown misses 3-pt jump shot from 23 ft,15,19
60,1,5:04.0,Defensive rebound by Team,,15,19
61,1,4:53.0,E. Payton misses 2-pt layup from 3 ft (block by A. Baynes),,15,19
62,1,4:49.0,,Defensive rebound by S. Ojeleye,15,19
63,1,4:42.0,,K. Irving makes 2-pt layup from 1 ft (assist by J. Brown),15,21
64,1,4:42.0,Orlando full timeout,,15,21
65,1,4:42.0,S. Mack enters the game for E. Fournier,,15,21
66,1,4:20.0,S. Mack makes 2-pt jump shot from 18 ft (assist by J. Simmons),,17,21
67,1,4:10.0,,Offensive foul by A. Baynes (drawn by J. Simmons),17,21
68,1,4:10.0,,Turnover by A. Baynes (offensive foul),17,21
69,1,3:54.0,J. Simmons makes 2-pt jump shot from 9 ft,,19,21
