,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:43.0,,T. Hardaway misses 2-pt hook shot from 9 ft,0,0
1,1,11:38.0,,Offensive rebound by L. Kornet,0,0
2,1,11:38.0,,L. Kornet makes 2-pt dunk at rim,0,2
3,1,11:27.0,D. DeRozan makes 2-pt layup from 1 ft (assist by J. Valančiūnas),,2,2
4,1,11:10.0,,M. Beasley misses 2-pt jump shot from 8 ft,2,2
5,1,11:05.0,Defensive rebound by K. Lowry,,2,2
6,1,10:58.0,Shooting foul by F. Ntilikina (drawn by J. Valančiūnas),,2,2
7,1,10:58.0,J. Valančiūnas makes free throw 1 of 2,,3,2
8,1,10:58.0,J. Valančiūnas makes free throw 2 of 2,,4,2
9,1,10:50.0,,Shooting foul by N. Powell (drawn by T. Hardaway),4,2
10,1,10:50.0,,T. Hardaway makes free throw 1 of 2,4,3
11,1,10:50.0,,T. Hardaway makes free throw 2 of 2,4,4
12,1,10:37.0,Turnover by S. Ibaka (lost ball; steal by E. Mudiay),,4,4
13,1,10:32.0,,E. Mudiay misses 2-pt layup from 2 ft,4,4
14,1,10:27.0,,Offensive rebound by F. Ntilikina,4,4
15,1,10:27.0,,F. Ntilikina makes 2-pt layup at rim,4,6
16,1,10:23.0,N. Powell makes 2-pt jump shot from 6 ft (assist by D. DeRozan),,6,6
17,1,10:10.0,,L. Kornet misses 2-pt layup from 2 ft,6,6
18,1,10:10.0,,Offensive rebound by L. Kornet,6,6
19,1,10:07.0,,L. Kornet makes 2-pt layup from 1 ft,6,8
20,1,9:54.0,K. Lowry misses 3-pt jump shot from 25 ft,,6,8
21,1,9:52.0,,Defensive rebound by M. Beasley,6,8
22,1,9:41.0,,E. Mudiay misses 3-pt jump shot from 25 ft,6,8
23,1,9:39.0,Defensive rebound by J. Valančiūnas,,6,8
24,1,9:25.0,D. DeRozan misses 2-pt jump shot from 14 ft,,6,8
25,1,9:23.0,,Defensive rebound by M. Beasley,6,8
26,1,9:18.0,,L. Kornet misses 3-pt jump shot from 25 ft,6,8
