,QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
0,1,11:45.0,,Turnover by A. Tolliver (step out of bounds),0,0
1,1,11:30.0,J. Motley misses 3-pt jump shot from 26 ft,,0,0
2,1,11:27.0,,Defensive rebound by A. Drummond,0,0
3,1,11:15.0,,S. Johnson makes 3-pt jump shot from 25 ft (assist by A. Drummond),0,3
4,1,11:00.0,Personal foul by S. Johnson (drawn by H. Barnes),,0,3
5,1,10:50.0,D. Smith misses 2-pt jump shot from 16 ft,,0,3
6,1,10:46.0,,Defensive rebound by S. Johnson,0,3
7,1,10:25.0,,A. Drummond misses 3-pt jump shot from 26 ft,0,3
8,1,10:21.0,Defensive rebound by D. Powell,,0,3
9,1,10:16.0,Personal foul by L. Kennard (drawn by D. Powell),,0,3
10,1,10:07.0,Turnover by D. Finney-Smith (bad pass),,0,3
11,1,9:53.0,,L. Kennard misses 3-pt jump shot from 25 ft,0,3
12,1,9:52.0,,Offensive rebound by Team,0,3
13,1,9:52.0,Loose ball foul by D. Smith (drawn by R. Jackson),,0,3
14,1,9:44.0,,R. Jackson misses 3-pt jump shot from 26 ft,0,3
15,1,9:40.0,Defensive rebound by D. Powell,,0,3
16,1,9:36.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Smith),,3,3
17,1,9:12.0,,Turnover by L. Kennard (bad pass; steal by J. Motley),3,3
18,1,9:08.0,D. Smith misses 2-pt layup from 1 ft,,3,3
19,1,9:05.0,,Defensive rebound by A. Tolliver,3,3
20,1,9:02.0,,Shooting foul by D. Finney-Smith (drawn by A. Drummond),3,3
21,1,9:02.0,,A. Drummond makes free throw 1 of 2,3,4
22,1,9:02.0,,A. Drummond misses free throw 2 of 2,3,4
23,1,9:00.0,Defensive rebound by J. Motley,,3,4
24,1,8:46.0,H. Barnes makes 3-pt jump shot from 26 ft,,6,4
25,1,8:37.0,,Detroit full timeout,6,4
26,1,8:29.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by R. Jackson),6,7
27,1,8:06.0,H. Barnes makes 2-pt jump shot from 10 ft,,8,7
28,1,7:51.0,,A. Drummond misses 2-pt hook shot from 7 ft,8,7
29,1,7:48.0,Defensive rebound by D. Powell,,8,7
30,1,7:37.0,J. Motley makes 2-pt layup from 3 ft,,10,7
31,1,7:24.0,,S. Johnson misses 3-pt jump shot from 25 ft,10,7
32,1,7:21.0,Defensive rebound by D. Finney-Smith,,10,7
33,1,7:08.0,J. Motley misses 2-pt jump shot from 6 ft,,10,7
34,1,7:05.0,,Defensive rebound by A. Drummond,10,7
35,1,7:01.0,,A. Drummond makes 2-pt layup from 3 ft (assist by S. Johnson),10,9
36,1,6:40.0,Turnover by D. Powell (bad pass; steal by A. Tolliver),,10,9
37,1,6:23.0,,A. Drummond misses 2-pt layup from 5 ft,10,9
38,1,6:20.0,Defensive rebound by J. Motley,,10,9
