,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,,A. Davis makes 2-pt jump shot from 11 ft (assist by R. Rondo),0,2
1,1,11:33.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by B. Simmons),,2,2
2,1,11:15.0,,A. Davis makes 2-pt layup at rim (assist by J. Holiday),2,4
3,1,11:10.0,B. Simmons makes 2-pt layup from 1 ft,,4,4
4,1,10:56.0,,J. Holiday misses 2-pt jump shot from 4 ft,4,4
5,1,10:56.0,Defensive rebound by B. Simmons,,4,4
6,1,10:47.0,Turnover by D. Šarić (bad pass; steal by J. Holiday),,4,4
7,1,10:43.0,,Shooting foul by D. Šarić (drawn by A. Davis),4,4
8,1,10:43.0,,A. Davis misses free throw 1 of 2,4,4
9,1,10:43.0,,Offensive rebound by Team,4,4
10,1,10:43.0,,A. Davis makes free throw 2 of 2,4,5
11,1,10:31.0,J. Redick misses 2-pt jump shot from 20 ft,,4,5
12,1,10:27.0,,Defensive rebound by D. Cousins,4,5
13,1,10:22.0,,E. Moore misses 3-pt jump shot from 23 ft,4,5
14,1,10:20.0,,Offensive rebound by Team,4,5
15,1,10:18.0,,J. Holiday misses 3-pt jump shot from 22 ft,4,5
16,1,10:15.0,Defensive rebound by J. Redick,,4,5
17,1,10:01.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 2 ft (block by R. Rondo),,4,5
18,1,9:57.0,Offensive rebound by D. Šarić,,4,5
19,1,9:53.0,D. Šarić misses 2-pt layup from 3 ft (block by D. Cousins),,4,5
20,1,9:47.0,Offensive rebound by T. Luwawu-Cabarrot,,4,5
21,1,9:45.0,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft (block by A. Davis),,4,5
22,1,9:40.0,Offensive rebound by D. Šarić,,4,5
23,1,9:38.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,4,5
24,1,9:36.0,,Defensive rebound by D. Cousins,4,5
25,1,9:25.0,,R. Rondo misses 2-pt jump shot from 18 ft,4,5
26,1,9:19.0,Defensive rebound by D. Šarić,,4,5
27,1,9:13.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,7,5
28,1,8:59.0,,A. Davis makes 2-pt jump shot from 13 ft,7,7
29,1,8:42.0,Offensive foul by D. Šarić (drawn by E. Moore),,7,7
30,1,8:42.0,Turnover by D. Šarić (offensive foul),,7,7
31,1,8:42.0,T. Booker enters the game for D. Šarić,,7,7
32,1,8:28.0,,J. Holiday misses 2-pt layup from 2 ft (block by B. Simmons),7,7
33,1,8:25.0,Defensive rebound by A. Johnson,,7,7
34,1,8:21.0,B. Simmons makes 2-pt jump shot from 10 ft,,9,7
