,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:53.0,,R. Covington misses 3-pt jump shot from 23 ft,0,0
1,1,11:47.0,,Offensive rebound by J. Embiid,0,0
2,1,11:47.0,,J. Embiid misses 2-pt layup at rim,0,0
3,1,11:46.0,Defensive rebound by D. Howard,,0,0
4,1,11:34.0,M. Williams makes 2-pt jump shot from 3 ft,,2,0
5,1,11:18.0,,D. Šarić misses 2-pt jump shot from 6 ft,2,0
6,1,11:15.0,Defensive rebound by K. Walker,,2,0
7,1,11:08.0,D. Howard misses 2-pt layup from 2 ft (block by J. Embiid),,2,0
8,1,11:08.0,Offensive rebound by Team,,2,0
9,1,11:07.0,M. Williams misses 3-pt jump shot from 26 ft,,2,0
10,1,11:04.0,,Defensive rebound by J. Embiid,2,0
11,1,11:00.0,,R. Covington misses 3-pt jump shot from 27 ft,2,0
12,1,10:56.0,Defensive rebound by D. Howard,,2,0
13,1,10:44.0,D. Howard misses 2-pt jump shot from 19 ft,,2,0
14,1,10:40.0,,Defensive rebound by D. Šarić,2,0
15,1,10:34.0,,J. Embiid makes 2-pt jump shot from 10 ft (assist by B. Simmons),2,2
16,1,10:07.0,J. Lamb misses 3-pt jump shot from 25 ft,,2,2
17,1,10:04.0,,Defensive rebound by J. Redick,2,2
18,1,9:59.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),2,5
19,1,9:45.0,Turnover by K. Walker (bad pass; steal by B. Simmons),,2,5
20,1,9:33.0,,J. Redick misses 2-pt jump shot from 11 ft,2,5
21,1,9:31.0,Defensive rebound by J. Lamb,,2,5
22,1,9:28.0,Charlotte full timeout,,2,5
23,1,9:17.0,D. Howard makes 2-pt hook shot from 9 ft (assist by J. Lamb),,4,5
24,1,8:59.0,,J. Embiid misses 2-pt jump shot from 13 ft,4,5
25,1,8:57.0,Defensive rebound by M. Williams,,4,5
26,1,8:45.0,D. Howard makes 2-pt layup from 2 ft,,6,5
27,1,8:35.0,,J. Redick makes 2-pt layup at rim (assist by D. Šarić),6,7
28,1,8:24.0,K. Walker misses 3-pt jump shot from 27 ft,,6,7
29,1,8:20.0,,Defensive rebound by J. Embiid,6,7
30,1,8:14.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Simmons),6,7
31,1,8:14.0,,B. Simmons misses free throw 1 of 2,6,7
32,1,8:14.0,,Offensive rebound by Team,6,7
33,1,8:14.0,,B. Simmons makes free throw 2 of 2,6,8
34,1,7:53.0,D. Howard makes 2-pt dunk from 2 ft (assist by K. Walker),,8,8
35,1,7:34.0,,D. Šarić misses 3-pt jump shot from 27 ft,8,8
36,1,7:31.0,Defensive rebound by J. Lamb,,8,8
