,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHOENIX_ACTION,LA CLIPPERS_SCORE,PHOENIX_SCORE
0,1,11:43.0,T. Wallace misses 2-pt jump shot from 6 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Len,0,0
2,1,11:30.0,,Turnover by D. Bender (bad pass; steal by W. Johnson),0,0
3,1,11:22.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by T. Harris),,3,0
4,1,11:03.0,,T. Warren misses 2-pt jump shot from 19 ft,3,0
5,1,11:00.0,Defensive rebound by D. Jordan,,3,0
6,1,10:58.0,Shooting foul by A. Len (drawn by T. Wallace),,3,0
7,1,10:58.0,T. Wallace misses free throw 1 of 2,,3,0
8,1,10:58.0,Offensive rebound by Team,,3,0
9,1,10:58.0,T. Wallace makes free throw 2 of 2,,4,0
10,1,10:40.0,,A. Len misses 2-pt hook shot from 6 ft,4,0
11,1,10:38.0,Defensive rebound by D. Jordan,,4,0
12,1,10:29.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Rivers),,7,0
13,1,10:14.0,,T. Warren misses 2-pt layup from 1 ft,7,0
14,1,10:13.0,Defensive rebound by D. Jordan,,7,0
15,1,9:57.0,D. Jordan makes 2-pt dunk at rim (assist by T. Harris),,9,0
16,1,9:57.0,,Phoenix full timeout,9,0
17,1,9:47.0,,E. Payton misses 3-pt jump shot from 25 ft,9,0
18,1,9:46.0,Defensive rebound by Team,,9,0
19,1,9:31.0,Shooting foul by D. Booker (drawn by T. Harris),,9,0
20,1,9:31.0,T. Harris makes free throw 1 of 2,,10,0
21,1,9:31.0,T. Harris makes free throw 2 of 2,,11,0
22,1,9:20.0,,Turnover by D. Booker (bad pass; steal by D. Jordan),11,0
23,1,9:05.0,Turnover by A. Rivers (lost ball; steal by D. Bender),,11,0
24,1,9:01.0,,T. Warren misses 2-pt layup at rim (block by T. Wallace),11,0
25,1,9:01.0,Defensive rebound by Team,,11,0
26,1,8:51.0,T. Wallace makes 2-pt hook shot from 6 ft,,13,0
27,1,8:38.0,,D. Booker misses 3-pt jump shot from 25 ft,13,0
28,1,8:35.0,Defensive rebound by T. Harris,,13,0
29,1,8:19.0,Shooting foul by E. Payton (drawn by T. Harris),,13,0
30,1,8:19.0,T. Harris makes free throw 1 of 2,,14,0
31,1,8:19.0,T. Harris makes free throw 2 of 2,,15,0
32,1,8:10.0,,Turnover by E. Payton (bad pass; steal by T. Harris),15,0
33,1,8:05.0,A. Rivers misses 3-pt jump shot from 25 ft,,15,0
34,1,8:01.0,,Defensive rebound by A. Len,15,0
35,1,7:58.0,,D. Booker misses 3-pt jump shot from 26 ft,15,0
36,1,7:55.0,Defensive rebound by T. Wallace,,15,0
37,1,7:53.0,T. Harris makes 2-pt dunk at rim (assist by T. Wallace),,17,0
38,1,7:53.0,,Phoenix full timeout,17,0
39,1,7:53.0,,M. Chriss enters the game for T. Warren,17,0
40,1,7:53.0,,J. Jackson enters the game for A. Len,17,0
41,1,7:35.0,,D. Bender misses 3-pt jump shot from 26 ft,17,0
42,1,7:33.0,Defensive rebound by D. Jordan,,17,0
43,1,7:20.0,T. Wallace makes 2-pt layup at rim,,19,0
44,1,7:09.0,,J. Jackson makes 2-pt layup from 1 ft,19,2
45,1,6:43.0,Personal foul by M. Chriss (drawn by D. Jordan),,19,2
46,1,6:37.0,T. Harris makes 2-pt jump shot from 16 ft,,21,2
47,1,6:21.0,,M. Chriss misses 3-pt jump shot from 22 ft,21,2
48,1,6:18.0,Defensive rebound by T. Harris,,21,2
49,1,6:07.0,W. Johnson makes 3-pt jump shot from 22 ft (assist by A. Rivers),,24,2
50,1,5:57.0,,J. Jackson makes 2-pt layup at rim (assist by D. Bender),24,4
51,1,5:57.0,,Shooting foul by D. Jordan (drawn by J. Jackson),24,4
52,1,5:57.0,,T. Daniels enters the game for D. Booker,24,4
53,1,5:57.0,,J. Jackson makes free throw 1 of 1,24,5
54,1,5:47.0,T. Wallace makes 3-pt jump shot from 25 ft (assist by A. Rivers),,27,5
55,1,5:31.0,,D. Bender misses 3-pt jump shot from 24 ft,27,5
56,1,5:29.0,Defensive rebound by D. Jordan,,27,5
57,1,5:22.0,T. Wallace makes 2-pt layup from 2 ft,,29,5
58,1,5:08.0,,M. Chriss misses 3-pt jump shot from 22 ft,29,5
59,1,5:05.0,Defensive rebound by T. Wallace,,29,5
60,1,4:58.0,D. Jordan misses 2-pt hook shot from 2 ft,,29,5
61,1,4:56.0,,Defensive rebound by T. Daniels,29,5
62,1,4:46.0,,J. Jackson misses 2-pt layup from 10 ft (block by T. Harris),29,5
63,1,4:45.0,,Offensive rebound by J. Jackson,29,5
64,1,4:44.0,,J. Jackson misses 2-pt jump shot from 3 ft,29,5
65,1,4:43.0,,Offensive rebound by M. Chriss,29,5
66,1,4:42.0,,Shooting foul by D. Jordan (drawn by M. Chriss),29,5
67,1,4:42.0,,M. Chriss misses free throw 1 of 2,29,5
68,1,4:42.0,,Offensive rebound by Team,29,5
69,1,4:42.0,,J. Dudley enters the game for E. Payton,29,5
70,1,4:42.0,,S. Harrison enters the game for D. Bender,29,5
71,1,4:42.0,M. Harrell enters the game for D. Jordan,,29,5
72,1,4:42.0,,M. Chriss misses free throw 2 of 2,29,5
73,1,4:40.0,Defensive rebound by T. Harris,,29,5
74,1,4:21.0,M. Harrell misses 2-pt jump shot from 9 ft,,29,5
75,1,4:18.0,,Defensive rebound by J. Jackson,29,5
76,1,4:12.0,,J. Jackson misses 2-pt layup from 1 ft,29,5
77,1,4:10.0,Defensive rebound by T. Harris,,29,5
78,1,4:04.0,T. Harris makes 2-pt layup from 1 ft,,31,5
79,1,3:43.0,,T. Daniels makes 3-pt jump shot from 30 ft (assist by J. Jackson),31,8
80,1,3:28.0,Turnover by A. Rivers (out of bounds lost ball),,31,8
81,1,3:28.0,L. Williams enters the game for A. Rivers,,31,8
82,1,3:28.0,M. Teodosić enters the game for W. Johnson,,31,8
83,1,3:09.0,,J. Jackson misses 2-pt layup from 1 ft,31,8
84,1,3:07.0,,Offensive rebound by J. Jackson,31,8
85,1,3:06.0,,J. Jackson misses 2-pt layup at rim (block by M. Harrell),31,8
86,1,3:06.0,Defensive rebound by L. Williams,,31,8
87,1,3:01.0,L. Williams misses 2-pt jump shot from 2 ft,,31,8
88,1,2:58.0,,Defensive rebound by J. Jackson,31,8
89,1,2:55.0,,Turnover by J. Jackson (bad pass; steal by L. Williams),31,8
90,1,2:51.0,Shooting foul by J. Jackson (drawn by T. Wallace),,31,8
91,1,2:51.0,T. Wallace misses free throw 1 of 2,,31,8
92,1,2:51.0,Offensive rebound by Team,,31,8
93,1,2:51.0,,D. Booker enters the game for J. Jackson,31,8
94,1,2:51.0,T. Wallace makes free throw 2 of 2,,32,8
95,1,2:36.0,,Personal foul by T. Wallace (drawn by M. Chriss),32,8
96,1,2:33.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by S. Harrison),32,11
97,1,2:19.0,T. Harris makes 3-pt jump shot from 23 ft (assist by M. Teodosić),,35,11
98,1,2:12.0,,Shooting foul by T. Wallace (drawn by D. Booker),35,11
99,1,2:12.0,,D. Booker makes free throw 1 of 2,35,12
100,1,2:12.0,S. Dekker enters the game for T. Wallace,,35,12
101,1,2:12.0,A. Rivers enters the game for T. Harris,,35,12
102,1,2:12.0,,D. Booker makes free throw 2 of 2,35,13
103,1,2:02.0,Personal foul by S. Harrison (drawn by L. Williams),,35,13
104,1,2:02.0,L. Williams makes free throw 1 of 2,,36,13
105,1,2:02.0,L. Williams makes free throw 2 of 2,,37,13
106,1,1:53.0,,Turnover by M. Chriss (traveling),37,13
107,1,1:42.0,L. Williams misses 2-pt layup from 1 ft (block by S. Harrison),,37,13
108,1,1:39.0,Offensive rebound by L. Williams,,37,13
109,1,1:38.0,Turnover by L. Williams (bad pass; steal by S. Harrison),,37,13
110,1,1:36.0,,Shooting block foul by M. Teodosić (drawn by D. Booker),37,13
111,1,1:36.0,,D. Booker makes free throw 1 of 2,37,14
112,1,1:36.0,,D. Booker makes free throw 2 of 2,37,15
113,1,1:25.0,,Violation by M. Chriss (kicked ball),37,15
114,1,1:18.0,Turnover by M. Teodosić (bad pass),,37,15
115,1,1:04.0,,T. Daniels makes 3-pt jump shot from 25 ft,37,18
116,1,0:42.0,A. Rivers makes 3-pt jump shot from 25 ft,,40,18
117,1,0:36.0,,D. Booker misses 2-pt layup from 1 ft (block by S. Dekker),40,18
118,1,0:35.0,,Offensive rebound by D. Booker,40,18
119,1,0:35.0,,Turnover by D. Booker (bad pass),40,18
120,1,0:28.0,A. Rivers misses 3-pt jump shot from 24 ft,,40,18
121,1,0:25.0,,Defensive rebound by M. Chriss,40,18
122,1,0:04.0,,D. Booker misses 2-pt layup at rim,40,18
123,1,0:03.0,,Offensive rebound by M. Chriss,40,18
124,1,0:02.0,,Turnover by Team (shot clock),40,18
125,1,0:00.0,M. Harrell misses 3-pt jump shot from 24 ft,,40,18
126,1,0:00.0,Offensive rebound by Team,,40,18
127,2,11:48.0,,D. Booker makes 2-pt jump shot from 13 ft (assist by T. Warren),40,20
128,2,11:48.0,,Shooting foul by M. Teodosić (drawn by D. Booker),40,20
129,2,11:48.0,,D. Booker makes free throw 1 of 1,40,21
130,2,11:39.0,Shooting foul by D. Bender (drawn by M. Harrell),,40,21
131,2,11:39.0,M. Harrell makes free throw 1 of 2,,41,21
132,2,11:39.0,M. Harrell makes free throw 2 of 2,,42,21
133,2,11:20.0,,Personal foul by A. Rivers (drawn by D. Booker),42,21
134,2,11:06.0,,D. Booker makes 2-pt layup from 1 ft,42,23
135,2,10:54.0,M. Teodosić makes 3-pt jump shot from 24 ft (assist by A. Rivers),,45,23
136,2,10:43.0,,D. Bender misses 2-pt layup at rim,45,23
137,2,10:40.0,Defensive rebound by M. Teodosić,,45,23
138,2,10:29.0,A. Rivers makes 2-pt layup at rim,,47,23
139,2,10:18.0,,D. Bender makes 2-pt layup at rim,47,25
140,2,10:08.0,L. Williams misses 3-pt jump shot from 24 ft,,47,25
141,2,10:06.0,,Defensive rebound by T. Daniels,47,25
142,2,9:57.0,,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),47,27
143,2,9:42.0,S. Dekker misses 3-pt jump shot from 22 ft,,47,27
144,2,9:40.0,,Defensive rebound by J. Dudley,47,27
145,2,9:37.0,,T. Warren makes 2-pt layup at rim (assist by J. Dudley),47,29
146,2,9:37.0,LA Clippers full timeout,,47,29
147,2,9:37.0,,E. Payton enters the game for J. Dudley,47,29
148,2,9:19.0,M. Harrell makes 2-pt hook shot from 7 ft (assist by A. Rivers),,49,29
149,2,9:07.0,,T. Daniels makes 3-pt jump shot from 25 ft (assist by E. Payton),49,32
150,2,8:49.0,L. Williams makes 3-pt jump shot from 25 ft,,52,32
151,2,8:30.0,Offensive charge foul by T. Warren (drawn by M. Teodosić),,52,32
152,2,8:30.0,,Turnover by T. Warren (offensive foul),52,32
153,2,8:30.0,,J. Jackson enters the game for D. Booker,52,32
154,2,8:20.0,L. Williams makes 2-pt jump shot from 12 ft,,54,32
155,2,8:08.0,,T. Daniels misses 3-pt jump shot from 27 ft,54,32
156,2,8:06.0,Defensive rebound by S. Dekker,,54,32
157,2,8:00.0,M. Harrell misses 2-pt layup from 1 ft,,54,32
158,2,7:59.0,Offensive rebound by M. Harrell,,54,32
159,2,7:57.0,M. Harrell misses 2-pt layup at rim (block by T. Daniels),,54,32
160,2,7:57.0,,Defensive rebound by E. Payton,54,32
161,2,7:52.0,,T. Warren makes 2-pt dunk at rim (assist by E. Payton),54,34
162,2,7:41.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,56,34
163,2,7:23.0,,E. Payton misses 2-pt jump shot from 4 ft,56,34
164,2,7:23.0,Defensive rebound by Team,,56,34
165,2,7:23.0,,M. Chriss enters the game for D. Bender,56,34
166,2,7:23.0,T. Harris enters the game for M. Harrell,,56,34
167,2,7:23.0,D. Jordan enters the game for S. Dekker,,56,34
168,2,7:09.0,L. Williams misses 3-pt jump shot from 24 ft,,56,34
169,2,7:06.0,,Defensive rebound by T. Warren,56,34
170,2,6:55.0,,T. Daniels makes 3-pt jump shot from 22 ft,56,37
171,2,6:42.0,Turnover by M. Teodosić (turnover),,56,37
172,2,6:42.0,,A. Len enters the game for T. Daniels,56,37
173,2,6:42.0,T. Wallace enters the game for M. Teodosić,,56,37
174,2,6:27.0,,M. Chriss misses 2-pt jump shot from 22 ft,56,37
175,2,6:24.0,Defensive rebound by A. Rivers,,56,37
176,2,6:18.0,L. Williams makes 2-pt jump shot from 9 ft,,58,37
177,2,6:06.0,,T. Warren misses 2-pt layup from 1 ft,58,37
178,2,6:02.0,,Offensive rebound by T. Warren,58,37
179,2,6:02.0,,T. Warren makes 2-pt layup at rim,58,39
180,2,5:41.0,Shooting foul by M. Chriss (drawn by A. Rivers),,58,39
181,2,5:41.0,A. Rivers makes free throw 1 of 2,,59,39
182,2,5:41.0,,D. Booker enters the game for M. Chriss,59,39
183,2,5:41.0,A. Rivers makes free throw 2 of 2,,60,39
184,2,5:29.0,,E. Payton makes 2-pt jump shot from 18 ft,60,41
185,2,5:15.0,T. Harris makes 2-pt jump shot from 2 ft,,62,41
186,2,5:02.0,,E. Payton misses 2-pt jump shot from 5 ft,62,41
187,2,5:02.0,,Offensive rebound by A. Len,62,41
188,2,5:02.0,,Shooting foul by T. Harris (drawn by A. Len),62,41
189,2,5:02.0,,A. Len misses free throw 1 of 2,62,41
190,2,5:02.0,,Offensive rebound by Team,62,41
191,2,5:02.0,W. Johnson enters the game for A. Rivers,,62,41
192,2,5:02.0,,A. Len misses free throw 2 of 2,62,41
193,2,4:59.0,Defensive rebound by D. Jordan,,62,41
194,2,4:39.0,T. Wallace misses 2-pt jump shot from 7 ft,,62,41
195,2,4:37.0,,Defensive rebound by T. Warren,62,41
196,2,4:36.0,,Turnover by J. Jackson (bad pass),62,41
197,2,4:24.0,L. Williams makes 2-pt dunk at rim (assist by D. Jordan),,64,41
198,2,4:24.0,,Phoenix full timeout,64,41
199,2,4:24.0,,T. Daniels enters the game for E. Payton,64,41
200,2,4:11.0,,D. Booker makes 2-pt jump shot from 13 ft,64,43
201,2,3:55.0,L. Williams makes 3-pt jump shot from 25 ft,,67,43
202,2,3:45.0,,T. Daniels misses 3-pt jump shot from 26 ft,67,43
203,2,3:42.0,Defensive rebound by T. Harris,,67,43
204,2,3:34.0,L. Williams misses 2-pt jump shot from 14 ft,,67,43
205,2,3:31.0,,Defensive rebound by A. Len,67,43
206,2,3:27.0,,D. Booker misses 2-pt layup from 1 ft (block by D. Jordan),67,43
