,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
0,1,11:42.0,,K. Lowry makes 3-pt jump shot from 30 ft (assist by D. DeRozan),0,3
1,1,11:25.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Parker),,2,3
2,1,11:13.0,,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by D. DeRozan),2,6
3,1,11:00.0,T. Parker misses 2-pt layup from 4 ft (block by K. Lowry),,2,6
4,1,11:00.0,Offensive rebound by Team,,2,6
5,1,10:49.0,L. Aldridge makes 3-pt jump shot from 24 ft (assist by T. Parker),,5,6
6,1,10:27.0,,Turnover by O. Anunoby (bad pass; steal by T. Parker),5,6
7,1,10:22.0,T. Parker misses 2-pt jump shot from 16 ft,,5,6
8,1,10:18.0,Offensive rebound by D. Green,,5,6
9,1,10:11.0,Personal block foul by J. Valančiūnas (drawn by T. Parker),,5,6
10,1,10:04.0,L. Aldridge misses 2-pt jump shot from 16 ft,,5,6
11,1,10:02.0,,Defensive rebound by S. Ibaka,5,6
12,1,9:53.0,,J. Valančiūnas misses 2-pt hook shot from 8 ft,5,6
13,1,9:49.0,Defensive rebound by P. Gasol,,5,6
14,1,9:35.0,T. Parker makes 2-pt jump shot from 15 ft,,7,6
15,1,9:20.0,,D. DeRozan misses 2-pt layup from 3 ft,7,6
16,1,9:19.0,Defensive rebound by L. Aldridge,,7,6
17,1,9:03.0,Turnover by P. Gasol (lost ball; steal by O. Anunoby),,7,6
18,1,8:51.0,,D. DeRozan misses 2-pt jump shot from 19 ft,7,6
19,1,8:48.0,,Offensive rebound by J. Valančiūnas,7,6
20,1,8:46.0,,J. Valančiūnas misses 2-pt layup at rim,7,6
21,1,8:46.0,Defensive rebound by P. Gasol,,7,6
22,1,8:41.0,Shooting foul by O. Anunoby (drawn by T. Parker),,7,6
23,1,8:41.0,T. Parker makes free throw 1 of 2,,8,6
24,1,8:41.0,T. Parker misses free throw 2 of 2,,8,6
25,1,8:39.0,,Defensive rebound by J. Valančiūnas,8,6
26,1,8:28.0,,Turnover by J. Valančiūnas (bad pass; steal by T. Parker),8,6
27,1,8:14.0,P. Gasol misses 2-pt jump shot from 22 ft,,8,6
28,1,8:11.0,,Defensive rebound by D. DeRozan,8,6
29,1,8:04.0,,D. DeRozan misses 2-pt jump shot from 7 ft,8,6
