,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
0,1,11:48.0,,O. Porter misses 2-pt jump shot from 22 ft,0,0
1,1,11:41.0,Defensive rebound by T. Gibson,,0,0
2,1,11:28.0,K. Towns makes 2-pt layup from 2 ft,,2,0
3,1,11:08.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by O. Porter),2,3
4,1,10:49.0,A. Wiggins misses 2-pt jump shot from 22 ft,,2,3
5,1,10:46.0,,Defensive rebound by B. Beal,2,3
6,1,10:33.0,,O. Porter misses 2-pt layup from 5 ft,2,3
7,1,10:30.0,Defensive rebound by N. Bjelica,,2,3
8,1,10:17.0,T. Gibson makes 2-pt dunk from 1 ft (assist by N. Bjelica),,4,3
9,1,10:00.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by B. Beal),4,5
10,1,9:41.0,J. Teague makes 2-pt jump shot from 7 ft,,6,5
11,1,9:18.0,,T. Satoranský makes 2-pt jump shot from 19 ft (assist by M. Gortat),6,7
12,1,9:03.0,N. Bjelica misses 2-pt layup from 7 ft,,6,7
13,1,8:57.0,Offensive rebound by N. Bjelica,,6,7
14,1,8:56.0,N. Bjelica misses 2-pt layup from 1 ft,,6,7
15,1,8:56.0,Offensive rebound by N. Bjelica,,6,7
16,1,8:50.0,N. Bjelica makes 2-pt layup at rim,,8,7
17,1,8:42.0,,B. Beal makes 2-pt layup at rim,8,9
18,1,8:27.0,K. Towns misses 2-pt jump shot from 18 ft,,8,9
19,1,8:22.0,,Defensive rebound by T. Satoranský,8,9
20,1,8:04.0,,Turnover by B. Beal (bad pass; steal by N. Bjelica),8,9
21,1,7:48.0,T. Gibson misses 2-pt jump shot from 19 ft,,8,9
22,1,7:45.0,,Defensive rebound by T. Satoranský,8,9
23,1,7:38.0,,M. Morris makes 2-pt hook shot from 4 ft (assist by T. Satoranský),8,11
