,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHARLOTTE_ACTION,DALLAS_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,0,2
1,1,11:20.0,W. Matthews misses 3-pt jump shot from 25 ft,,0,2
2,1,11:18.0,,Defensive rebound by D. Howard,0,2
3,1,11:00.0,,D. Howard makes 2-pt hook shot from 4 ft (assist by M. Kidd-Gilchrist),0,4
4,1,10:43.0,H. Barnes misses 3-pt jump shot from 26 ft,,0,4
5,1,10:40.0,,Defensive rebound by M. Kidd-Gilchrist,0,4
6,1,10:35.0,,Shooting foul by D. Nowitzki (drawn by D. Howard),0,4
7,1,10:35.0,,D. Howard misses free throw 1 of 2,0,4
8,1,10:35.0,,Offensive rebound by Team,0,4
9,1,10:35.0,,D. Howard misses free throw 2 of 2,0,4
10,1,10:30.0,Defensive rebound by Y. Ferrell,,0,4
11,1,10:12.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,0,4
12,1,10:07.0,,Defensive rebound by N. Batum,0,4
13,1,10:01.0,,K. Walker makes 2-pt layup from 1 ft (assist by M. Williams),0,6
14,1,10:01.0,,Shooting foul by Y. Ferrell (drawn by K. Walker),0,6
15,1,10:01.0,Dallas full timeout,,0,6
16,1,10:01.0,,K. Walker makes free throw 1 of 1,0,7
17,1,9:38.0,W. Matthews misses 2-pt jump shot from 17 ft,,0,7
18,1,9:35.0,,Defensive rebound by M. Williams,0,7
19,1,9:28.0,,K. Walker makes 2-pt jump shot from 15 ft (assist by N. Batum),0,9
20,1,9:15.0,D. Smith makes 2-pt jump shot from 17 ft,,2,9
21,1,8:52.0,,M. Williams makes 2-pt layup from 1 ft (assist by D. Howard),2,11
22,1,8:43.0,D. Smith misses 3-pt jump shot from 24 ft,,2,11
23,1,8:38.0,Offensive rebound by H. Barnes,,2,11
24,1,8:34.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by H. Barnes),,5,11
25,1,8:17.0,,K. Walker misses 3-pt jump shot from 22 ft,5,11
26,1,8:16.0,Defensive rebound by Team,,5,11
27,1,8:16.0,M. Kleber enters the game for D. Nowitzki,,5,11
