,QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
0,1,11:39.0,J. Nurkić misses 2-pt hook shot from 7 ft,,0,0
1,1,11:35.0,,Defensive rebound by D. Collison,0,0
2,1,11:29.0,,V. Oladipo misses 3-pt jump shot from 24 ft,0,0
3,1,11:27.0,Defensive rebound by D. Lillard,,0,0
4,1,11:16.0,M. Harkless misses 3-pt jump shot from 26 ft,,0,0
5,1,11:14.0,Offensive rebound by Team,,0,0
6,1,11:06.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,2,0
7,1,10:50.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Sabonis),2,2
8,1,10:34.0,C. McCollum makes 2-pt jump shot from 10 ft (assist by D. Lillard),,4,2
9,1,10:20.0,,V. Oladipo misses 2-pt jump shot from 17 ft (block by C. McCollum),4,2
10,1,10:17.0,,Offensive rebound by T. Young,4,2
11,1,10:16.0,,T. Young makes 2-pt jump shot from 17 ft,4,4
12,1,9:54.0,C. McCollum misses 2-pt jump shot from 17 ft,,4,4
13,1,9:52.0,,Defensive rebound by D. Sabonis,4,4
14,1,9:50.0,,Personal foul by C. McCollum (drawn by V. Oladipo),4,4
15,1,9:39.0,,D. Sabonis makes 2-pt jump shot from 14 ft (assist by V. Oladipo),4,6
16,1,9:29.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,6,6
17,1,9:15.0,,T. Young makes 2-pt jump shot from 7 ft,6,8
18,1,8:43.0,C. McCollum makes 2-pt jump shot from 15 ft,,8,8
19,1,8:20.0,,Turnover by V. Oladipo (bad pass; steal by D. Lillard),8,8
20,1,8:17.0,D. Lillard makes 2-pt layup from 1 ft,,10,8
21,1,8:07.0,,Turnover by D. Sabonis (traveling),10,8
22,1,7:58.0,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),,12,8
23,1,7:42.0,,B. Bogdanović makes 2-pt layup from 1 ft,12,10
24,1,7:32.0,Turnover by J. Nurkić (traveling),,12,10
25,1,7:21.0,,D. Collison makes 2-pt jump shot from 17 ft,12,12
26,1,6:59.0,A. Aminu misses 2-pt jump shot from 12 ft,,12,12
27,1,6:55.0,,Defensive rebound by D. Sabonis,12,12
28,1,6:49.0,,D. Collison makes 2-pt jump shot from 22 ft,12,14
