,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:33.0,,J. Simmons makes 2-pt jump shot from 2 ft,0,2
1,1,11:17.0,A. Horford misses 2-pt layup from 7 ft (block by J. Isaac),,0,2
2,1,11:16.0,Offensive rebound by A. Horford,,0,2
3,1,11:14.0,A. Baynes misses 2-pt layup from 3 ft (block by N. Vučević),,0,2
4,1,11:14.0,Offensive rebound by Team,,0,2
5,1,11:12.0,Personal foul by J. Simmons (drawn by T. Rozier),,0,2
6,1,10:59.0,A. Horford misses 2-pt hook shot from 7 ft (block by J. Isaac),,0,2
7,1,10:56.0,,Defensive rebound by D. Augustin,0,2
8,1,10:52.0,,J. Simmons misses 3-pt jump shot from 24 ft,0,2
9,1,10:48.0,,Offensive rebound by J. Simmons,0,2
10,1,10:47.0,,Turnover by J. Simmons (bad pass; steal by M. Morris),0,2
11,1,10:41.0,J. Tatum misses 3-pt jump shot from 26 ft,,0,2
12,1,10:37.0,Offensive rebound by A. Horford,,0,2
13,1,10:34.0,A. Horford misses 2-pt layup from 11 ft,,0,2
14,1,10:32.0,,Defensive rebound by D. Augustin,0,2
15,1,10:17.0,,M. Hezonja misses 3-pt jump shot from 25 ft,0,2
16,1,10:14.0,Defensive rebound by J. Tatum,,0,2
17,1,10:04.0,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Rozier),,3,2
18,1,9:38.0,,Personal foul by T. Rozier (drawn by J. Isaac),3,2
19,1,9:29.0,,N. Vučević misses 2-pt layup from 9 ft,3,2
20,1,9:26.0,Defensive rebound by A. Horford,,3,2
21,1,9:21.0,M. Morris misses 3-pt jump shot from 25 ft,,3,2
22,1,9:18.0,Offensive rebound by T. Rozier,,3,2
23,1,9:07.0,T. Rozier makes 3-pt jump shot from 25 ft,,6,2
24,1,8:54.0,,N. Vučević misses 2-pt jump shot from 22 ft,6,2
25,1,8:51.0,Defensive rebound by T. Rozier,,6,2
26,1,8:41.0,T. Rozier misses 2-pt jump shot from 15 ft,,6,2
27,1,8:39.0,,Defensive rebound by M. Hezonja,6,2
28,1,8:32.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by D. Augustin),6,4
29,1,8:09.0,A. Baynes misses 2-pt hook shot from 8 ft,,6,4
30,1,8:06.0,,Defensive rebound by J. Simmons,6,4
31,1,7:58.0,Offensive charge foul by M. Hezonja (drawn by A. Baynes),,6,4
32,1,7:58.0,,Turnover by M. Hezonja (offensive foul),6,4
33,1,7:43.0,M. Morris misses 3-pt jump shot from 22 ft,,6,4
34,1,7:40.0,Offensive rebound by T. Rozier,,6,4
35,1,7:38.0,J. Tatum misses 3-pt jump shot from 24 ft,,6,4
36,1,7:38.0,Offensive rebound by A. Baynes,,6,4
37,1,7:35.0,Turnover by A. Baynes (bad pass; steal by J. Isaac),,6,4
38,1,7:21.0,,N. Vučević misses 2-pt hook shot from 9 ft,6,4
39,1,7:18.0,Defensive rebound by M. Morris,,6,4
40,1,7:15.0,Offensive foul by A. Baynes (drawn by M. Hezonja),,6,4
41,1,7:15.0,Turnover by A. Baynes (offensive foul),,6,4
42,1,6:59.0,,D. Augustin misses 3-pt jump shot from 26 ft,6,4
43,1,6:56.0,Defensive rebound by J. Tatum,,6,4
44,1,6:46.0,A. Horford makes 2-pt jump shot from 17 ft,,8,4
45,1,6:45.0,,Orlando full timeout,8,4
46,1,6:45.0,,K. Birch enters the game for J. Isaac,8,4
47,1,6:25.0,,N. Vučević misses 3-pt jump shot from 26 ft,8,4
48,1,6:22.0,,Offensive rebound by K. Birch,8,4
49,1,6:18.0,,J. Simmons misses 2-pt hook shot from 5 ft,8,4
50,1,6:14.0,Defensive rebound by A. Horford,,8,4
51,1,5:59.0,T. Rozier misses 3-pt jump shot from 25 ft,,8,4
52,1,5:56.0,,Defensive rebound by K. Birch,8,4
53,1,5:47.0,,D. Augustin makes 2-pt jump shot from 15 ft,8,6
54,1,5:33.0,M. Morris makes 2-pt jump shot from 19 ft (assist by A. Baynes),,10,6
55,1,5:19.0,,J. Simmons misses 3-pt jump shot from 23 ft,10,6
56,1,5:16.0,Defensive rebound by A. Horford,,10,6
