,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:43.0,,A. Gordon makes 2-pt jump shot from 15 ft,0,2
1,1,11:28.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by C. Payne),,3,2
2,1,11:12.0,,A. Gordon misses 3-pt jump shot from 28 ft,3,2
3,1,11:08.0,Defensive rebound by J. Holiday,,3,2
4,1,10:48.0,D. Nwaba misses 2-pt jump shot from 11 ft,,3,2
5,1,10:43.0,Offensive rebound by C. Felício,,3,2
6,1,10:43.0,C. Felício misses 2-pt layup at rim,,3,2
7,1,10:43.0,Offensive rebound by C. Felício,,3,2
8,1,10:41.0,C. Felício makes 2-pt layup at rim,,5,2
9,1,10:32.0,,R. Purvis makes 3-pt jump shot from 25 ft (assist by N. Vučević),5,5
10,1,10:15.0,C. Felício makes 2-pt layup from 1 ft (assist by D. Nwaba),,7,5
11,1,10:02.0,,R. Purvis misses 3-pt jump shot from 27 ft,7,5
12,1,9:58.0,Defensive rebound by C. Felício,,7,5
13,1,9:47.0,Turnover by L. Markkanen (bad pass),,7,5
14,1,9:32.0,,N. Vučević misses 3-pt jump shot from 26 ft,7,5
15,1,9:28.0,Defensive rebound by L. Markkanen,,7,5
16,1,9:19.0,L. Markkanen makes 2-pt jump shot from 14 ft (assist by C. Payne),,9,5
17,1,8:57.0,,R. Purvis misses 2-pt layup from 2 ft,9,5
18,1,8:55.0,Defensive rebound by C. Felício,,9,5
19,1,8:50.0,L. Markkanen misses 3-pt jump shot from 25 ft,,9,5
20,1,8:47.0,,Defensive rebound by D. Augustin,9,5
21,1,8:39.0,,D. Augustin makes 2-pt layup from 3 ft,9,7
22,1,8:26.0,J. Holiday misses 2-pt layup from 1 ft,,9,7
23,1,8:24.0,,Defensive rebound by N. Vučević,9,7
24,1,8:22.0,,A. Gordon misses 3-pt jump shot from 26 ft,9,7
25,1,8:19.0,Defensive rebound by D. Nwaba,,9,7
26,1,8:15.0,Offensive foul by C. Felício (drawn by J. Isaac),,9,7
27,1,8:15.0,Turnover by C. Felício (offensive foul),,9,7
28,1,8:02.0,,A. Gordon misses 2-pt layup from 2 ft,9,7
29,1,8:00.0,Defensive rebound by C. Payne,,9,7
30,1,7:58.0,L. Markkanen makes 2-pt dunk from 1 ft (assist by C. Payne),,11,7
31,1,7:58.0,Shooting foul by N. Vučević (drawn by L. Markkanen),,11,7
32,1,7:58.0,L. Markkanen makes free throw 1 of 1,,12,7
33,1,7:41.0,,J. Isaac misses 3-pt jump shot from 23 ft,12,7
34,1,7:40.0,Defensive rebound by Team,,12,7
35,1,7:40.0,,Loose ball foul by A. Gordon (drawn by J. Holiday),12,7
36,1,7:30.0,C. Felício makes 2-pt dunk from 1 ft (assist by C. Payne),,14,7
37,1,7:15.0,,A. Gordon misses 3-pt jump shot from 22 ft,14,7
38,1,7:12.0,Defensive rebound by C. Felício,,14,7
39,1,6:57.0,Shooting foul by N. Vučević (drawn by J. Holiday),,14,7
40,1,6:57.0,,Orlando full timeout,14,7
41,1,6:57.0,,B. Biyombo enters the game for N. Vučević,14,7
42,1,6:57.0,J. Holiday makes free throw 1 of 2,,15,7
43,1,6:57.0,J. Holiday makes free throw 2 of 2,,16,7
44,1,6:42.0,,D. Augustin misses 3-pt jump shot from 27 ft,16,7
45,1,6:38.0,,Offensive rebound by B. Biyombo,16,7
46,1,6:35.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by D. Augustin),16,9
47,1,6:19.0,J. Holiday misses 3-pt jump shot from 26 ft,,16,9
48,1,6:16.0,,Defensive rebound by B. Biyombo,16,9
49,1,6:05.0,,Personal foul by D. Nwaba (drawn by A. Gordon),16,9
50,1,6:05.0,,M. Hezonja enters the game for J. Isaac,16,9
51,1,5:54.0,,A. Gordon misses 2-pt jump shot from 15 ft,16,9
52,1,5:50.0,Defensive rebound by C. Felício,,16,9
53,1,5:43.0,C. Payne makes 3-pt jump shot from 25 ft,,19,9
54,1,5:29.0,,B. Biyombo makes 2-pt layup from 2 ft (assist by A. Gordon),19,11
55,1,5:17.0,C. Payne makes 3-pt jump shot from 26 ft (assist by C. Felício),,22,11
56,1,5:00.0,,Turnover by M. Hezonja (lost ball; steal by J. Holiday),22,11
57,1,4:41.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by C. Payne),,25,11
58,1,4:40.0,,Orlando full timeout,25,11
59,1,4:40.0,,S. Mack enters the game for R. Purvis,25,11
60,1,4:40.0,D. Valentine enters the game for D. Nwaba,,25,11
61,1,4:25.0,,B. Biyombo misses 2-pt jump shot from 7 ft,25,11
62,1,4:23.0,,Offensive rebound by A. Gordon,25,11
63,1,4:23.0,,A. Gordon misses 2-pt layup from 1 ft,25,11
