,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
0,1,11:37.0,,A. Aminu misses 3-pt jump shot from 25 ft,0,0
1,1,11:33.0,Defensive rebound by D. Fox,,0,0
2,1,11:14.0,Z. Randolph misses 2-pt jump shot from 2 ft,,0,0
3,1,11:14.0,Offensive rebound by Team,,0,0
4,1,11:12.0,Z. Randolph misses 2-pt jump shot from 19 ft,,0,0
5,1,11:09.0,,Defensive rebound by M. Harkless,0,0
6,1,11:04.0,,D. Lillard makes 2-pt jump shot from 16 ft,0,2
7,1,10:56.0,D. Fox misses 2-pt layup from 1 ft,,0,2
8,1,10:55.0,,Defensive rebound by J. Nurkić,0,2
9,1,10:49.0,,D. Lillard makes 3-pt jump shot from 25 ft,0,5
10,1,10:35.0,Z. Randolph misses 3-pt jump shot from 24 ft,,0,5
11,1,10:33.0,,Defensive rebound by C. McCollum,0,5
12,1,10:29.0,,C. McCollum misses 2-pt jump shot from 5 ft,0,5
13,1,10:27.0,Defensive rebound by Z. Randolph,,0,5
14,1,10:20.0,B. Bogdanović misses 2-pt jump shot from 8 ft,,0,5
15,1,10:18.0,,Defensive rebound by M. Harkless,0,5
16,1,10:08.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by D. Lillard),0,8
17,1,10:06.0,Sacramento full timeout,,0,8
18,1,9:55.0,J. Jackson makes 2-pt jump shot from 7 ft (assist by D. Fox),,2,8
19,1,9:34.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by M. Harkless),2,11
20,1,9:21.0,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,5,11
21,1,9:04.0,,Turnover by A. Aminu (bad pass),5,11
22,1,8:53.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),,7,11
23,1,8:35.0,,C. McCollum misses 3-pt jump shot from 26 ft,7,11
24,1,8:34.0,Defensive rebound by B. Bogdanović,,7,11
25,1,8:27.0,B. Bogdanović makes 2-pt jump shot from 14 ft,,9,11
26,1,8:09.0,,C. McCollum misses 2-pt jump shot from 6 ft,9,11
27,1,8:04.0,,Offensive rebound by J. Nurkić,9,11
28,1,8:04.0,,J. Nurkić makes 2-pt dunk at rim,9,13
29,1,7:57.0,Shooting foul by A. Aminu (drawn by Z. Randolph),,9,13
30,1,7:57.0,Z. Randolph makes free throw 1 of 2,,10,13
31,1,7:57.0,Z. Randolph makes free throw 2 of 2,,11,13
32,1,7:44.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),11,15
33,1,7:33.0,D. Fox makes 2-pt jump shot from 2 ft,,13,15
34,1,7:21.0,,J. Nurkić misses 2-pt jump shot from 11 ft,13,15
35,1,7:20.0,Defensive rebound by J. Jackson,,13,15
36,1,7:16.0,D. Fox misses 3-pt jump shot from 24 ft,,13,15
37,1,7:13.0,,Defensive rebound by A. Aminu,13,15
38,1,7:07.0,,J. Nurkić makes 2-pt jump shot from 13 ft (assist by D. Lillard),13,17
39,1,6:43.0,Z. Randolph misses 2-pt hook shot from 1 ft,,13,17
40,1,6:42.0,,Defensive rebound by J. Nurkić,13,17
41,1,6:37.0,,C. McCollum makes 2-pt jump shot from 10 ft (assist by D. Lillard),13,19
42,1,6:20.0,Turnover by W. Cauley-Stein (bad pass; steal by D. Lillard),,13,19
43,1,6:14.0,,D. Lillard makes 2-pt layup at rim,13,21
44,1,5:50.0,B. Bogdanović makes 2-pt jump shot from 3 ft,,15,21
45,1,5:35.0,,M. Harkless makes 2-pt layup from 1 ft,15,23
