,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
0,1,11:40.0,,J. Jack misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,Defensive rebound by D. Carroll,,0,0
2,1,11:21.0,Q. Acy makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,3,0
3,1,11:08.0,,T. Hardaway misses 2-pt layup from 1 ft,3,0
4,1,11:06.0,,Offensive rebound by K. Porziņģis,3,0
5,1,10:54.0,,K. Porziņģis makes 3-pt jump shot from 22 ft (assist by J. Jack),3,3
6,1,10:39.0,Personal take foul by J. Jack (drawn by A. Crabbe),,3,3
7,1,10:26.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,3,3
8,1,10:24.0,,Defensive rebound by J. Jack,3,3
9,1,10:17.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by C. Lee),3,6
10,1,10:07.0,Offensive foul by D. Carroll (drawn by T. Hardaway),,3,6
11,1,10:07.0,Turnover by D. Carroll (offensive foul),,3,6
12,1,9:57.0,,E. Freedom makes 2-pt layup from 1 ft (assist by K. Porziņģis),3,8
13,1,9:45.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by Q. Acy),,6,8
14,1,9:29.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by E. Freedom),6,11
15,1,9:14.0,J. Allen makes 2-pt hook shot from 6 ft (assist by D. Carroll),,8,11
16,1,9:07.0,,C. Lee misses 3-pt jump shot from 26 ft,8,11
17,1,9:05.0,Defensive rebound by A. Crabbe,,8,11
18,1,8:56.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,11,11
19,1,8:46.0,,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by J. Jack),11,13
20,1,8:31.0,A. Crabbe makes 2-pt jump shot from 9 ft,,13,13
21,1,8:13.0,,C. Lee makes 2-pt layup from 1 ft (assist by K. Porziņģis),13,15
22,1,8:13.0,Brooklyn full timeout,,13,15
23,1,7:57.0,Q. Acy misses 3-pt jump shot from 26 ft,,13,15
24,1,7:54.0,,Defensive rebound by K. Porziņģis,13,15
25,1,7:35.0,,E. Freedom makes 2-pt hook shot from 5 ft,13,17
26,1,7:14.0,A. Crabbe misses 2-pt jump shot from 22 ft,,13,17
27,1,7:12.0,,Defensive rebound by E. Freedom,13,17
28,1,7:05.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,13,17
29,1,7:03.0,Defensive rebound by Q. Acy,,13,17
30,1,6:58.0,Offensive foul by J. Allen (drawn by J. Jack),,13,17
31,1,6:58.0,Turnover by J. Allen (offensive foul),,13,17
32,1,6:45.0,,Turnover by T. Hardaway (bad pass; steal by D. Carroll),13,17
33,1,6:42.0,D. Carroll makes 2-pt dunk at rim,,15,17
34,1,6:29.0,,T. Hardaway makes 2-pt layup from 1 ft,15,19
35,1,6:07.0,Turnover by S. Dinwiddie (bad pass; steal by T. Hardaway),,15,19
36,1,5:54.0,,T. Hardaway misses 3-pt jump shot from 28 ft,15,19
37,1,5:52.0,,Offensive rebound by K. Porziņģis,15,19
38,1,5:39.0,,E. Freedom makes 2-pt hook shot from 6 ft,15,21
39,1,5:25.0,J. Allen makes 2-pt layup from 1 ft (assist by A. Crabbe),,17,21
40,1,5:10.0,,Turnover by T. Hardaway (bad pass),17,21
41,1,5:10.0,J. Harris enters the game for Q. Acy,,17,21
42,1,5:10.0,J. Okafor enters the game for J. Allen,,17,21
43,1,4:48.0,D. Carroll misses 3-pt jump shot from 26 ft,,17,21
44,1,4:46.0,,Defensive rebound by E. Freedom,17,21
45,1,4:27.0,,Turnover by E. Freedom (traveling),17,21
46,1,4:27.0,,L. Thomas enters the game for T. Hardaway,17,21
47,1,4:13.0,J. Okafor misses 2-pt jump shot from 13 ft,,17,21
48,1,4:11.0,Offensive rebound by D. Carroll,,17,21
49,1,4:05.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,17,21
50,1,4:03.0,,Defensive rebound by E. Freedom,17,21
51,1,3:47.0,,K. Porziņģis misses 2-pt jump shot from 17 ft,17,21
52,1,3:45.0,Defensive rebound by J. Okafor,,17,21
53,1,3:25.0,A. Crabbe misses 3-pt jump shot from 25 ft,,17,21
54,1,3:24.0,,Defensive rebound by E. Freedom,17,21
55,1,3:24.0,,New York full timeout,17,21
56,1,3:24.0,,R. Baker enters the game for K. Porziņģis,17,21
57,1,3:24.0,,M. Beasley enters the game for J. Jack,17,21
58,1,3:24.0,,F. Ntilikina enters the game for C. Lee,17,21
59,1,3:24.0,N. Stauskas enters the game for A. Crabbe,,17,21
60,1,3:24.0,D. Russell enters the game for S. Dinwiddie,,17,21
61,1,3:10.0,,R. Baker misses 3-pt jump shot from 23 ft,17,21
62,1,3:08.0,Defensive rebound by Team,,17,21
63,1,2:46.0,Turnover by Team (shot clock),,17,21
64,1,2:46.0,,C. Lee enters the game for R. Baker,17,21
65,1,2:46.0,,New York full timeout,17,21
66,1,2:46.0,J. Webb enters the game for D. Carroll,,17,21
67,1,2:31.0,,Turnover by E. Freedom (bad pass; steal by D. Russell),17,21
68,1,2:25.0,J. Harris misses 3-pt jump shot from 25 ft,,17,21
69,1,2:24.0,,Defensive rebound by E. Freedom,17,21
70,1,2:10.0,,M. Beasley makes 2-pt hook shot from 4 ft,17,23
71,1,2:10.0,,Shooting foul by J. Webb (drawn by M. Beasley),17,23
72,1,2:10.0,,K. O'Quinn enters the game for E. Freedom,17,23
73,1,2:10.0,,M. Beasley makes free throw 1 of 1,17,24
74,1,1:50.0,N. Stauskas misses 3-pt jump shot from 25 ft,,17,24
75,1,1:48.0,Offensive rebound by J. Okafor,,17,24
76,1,1:48.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Okafor),,20,24
77,1,1:36.0,,Shooting foul by N. Stauskas (drawn by C. Lee),20,24
78,1,1:36.0,,C. Lee makes free throw 1 of 2,20,25
79,1,1:36.0,,C. Lee makes free throw 2 of 2,20,26
80,1,1:21.0,N. Stauskas makes 2-pt layup at rim,,22,26
81,1,1:09.0,,K. O'Quinn makes 2-pt layup from 6 ft (assist by C. Lee),22,28
82,1,0:52.0,D. Russell misses 2-pt layup from 3 ft,,22,28
83,1,0:49.0,Offensive rebound by J. Okafor,,22,28
84,1,0:49.0,J. Okafor misses 2-pt layup at rim,,22,28
85,1,0:48.0,,Defensive rebound by K. O'Quinn,22,28
86,1,0:40.0,,M. Beasley misses 2-pt jump shot from 10 ft,22,28
87,1,0:38.0,,Offensive rebound by Team,22,28
88,1,0:33.0,,C. Lee misses 2-pt jump shot from 22 ft,22,28
89,1,0:30.0,,Offensive rebound by M. Beasley,22,28
90,1,0:28.0,,Shooting foul by J. Webb (drawn by M. Beasley),22,28
91,1,0:28.0,,M. Beasley makes free throw 1 of 2,22,29
92,1,0:28.0,,M. Beasley makes free throw 2 of 2,22,30
93,1,0:02.0,N. Stauskas misses 3-pt jump shot from 30 ft,,22,30
94,1,0:01.0,,Defensive rebound by M. Beasley,22,30
95,2,11:46.0,D. Russell misses 2-pt jump shot from 9 ft,,22,30
96,2,11:44.0,Offensive rebound by D. Russell,,22,30
97,2,11:39.0,J. Webb misses 3-pt jump shot from 23 ft,,22,30
