,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,A. Rivers misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by Z. Randolph,0,0
2,1,11:25.0,,Turnover by D. Fox (bad pass; steal by A. Rivers),0,0
3,1,11:20.0,L. Williams misses 2-pt layup from 2 ft,,0,0
4,1,11:15.0,Offensive rebound by B. Griffin,,0,0
5,1,11:15.0,B. Griffin makes 2-pt layup at rim,,2,0
6,1,11:13.0,,D. Fox misses 2-pt layup from 2 ft (block by D. Jordan),2,0
7,1,11:13.0,,Offensive rebound by Team,2,0
8,1,11:03.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by D. Fox),2,3
9,1,10:36.0,W. Johnson misses 2-pt jump shot from 20 ft,,2,3
10,1,10:34.0,,Defensive rebound by Z. Randolph,2,3
11,1,10:24.0,,Shooting foul by B. Griffin (drawn by S. Labissière),2,3
12,1,10:24.0,,S. Labissière makes free throw 1 of 2,2,4
13,1,10:24.0,,S. Labissière makes free throw 2 of 2,2,5
14,1,10:10.0,B. Griffin makes 2-pt layup from 2 ft,,4,5
15,1,10:00.0,,S. Labissière makes 3-pt jump shot from 24 ft (assist by G. Hill),4,8
16,1,9:56.0,Turnover by L. Williams (bad pass),,4,8
17,1,9:46.0,,D. Fox makes 2-pt jump shot from 14 ft,4,10
18,1,9:30.0,Turnover by D. Jordan (bad pass; steal by D. Fox),,4,10
19,1,9:21.0,,S. Labissière makes 2-pt jump shot from 15 ft,4,12
20,1,9:20.0,LA Clippers full timeout,,4,12
21,1,9:06.0,B. Griffin misses 3-pt jump shot from 23 ft,,4,12
22,1,9:02.0,,Defensive rebound by D. Fox,4,12
23,1,8:47.0,,Z. Randolph makes 2-pt jump shot from 16 ft,4,14
24,1,8:33.0,D. Jordan makes 2-pt dunk from 2 ft (assist by A. Rivers),,6,14
25,1,8:10.0,,Z. Randolph makes 3-pt jump shot from 24 ft (assist by G. Hill),6,17
26,1,7:58.0,Personal foul by Z. Randolph (drawn by B. Griffin),,6,17
27,1,7:50.0,Turnover by L. Williams (bad pass),,6,17
28,1,7:41.0,,D. Fox misses 2-pt jump shot from 14 ft,6,17
29,1,7:40.0,,Offensive rebound by Team,6,17
