,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:41.0,,C. Anthony makes 2-pt jump shot from 9 ft,0,2
1,1,11:26.0,J. Murray misses 2-pt layup from 4 ft (block by R. Westbrook),,0,2
2,1,11:24.0,,Defensive rebound by R. Westbrook,0,2
3,1,11:12.0,,S. Adams misses 2-pt layup from 1 ft (block by N. Jokić),0,2
4,1,11:10.0,,Offensive rebound by S. Adams,0,2
5,1,11:10.0,,S. Adams misses 2-pt layup from 1 ft,0,2
6,1,11:10.0,Defensive rebound by N. Jokić,,0,2
7,1,11:02.0,Turnover by N. Jokić (bad pass; steal by P. George),,0,2
8,1,10:58.0,,P. George makes 2-pt layup from 1 ft,0,4
9,1,10:32.0,N. Jokić misses 2-pt layup at rim,,0,4
10,1,10:28.0,,Defensive rebound by R. Westbrook,0,4
11,1,10:21.0,,S. Adams makes 2-pt dunk at rim (assist by C. Brewer),0,6
12,1,10:06.0,W. Chandler misses 2-pt jump shot from 4 ft,,0,6
13,1,10:03.0,,Defensive rebound by C. Anthony,0,6
14,1,9:57.0,,C. Anthony makes 3-pt jump shot from 25 ft,0,9
15,1,9:40.0,W. Chandler misses 2-pt layup at rim,,0,9
16,1,9:38.0,Offensive rebound by W. Chandler,,0,9
17,1,9:38.0,W. Chandler makes 2-pt layup at rim,,2,9
18,1,9:29.0,,P. George misses 2-pt layup from 1 ft,2,9
19,1,9:26.0,Defensive rebound by N. Jokić,,2,9
20,1,9:23.0,W. Barton makes 2-pt dunk from 1 ft,,4,9
21,1,9:13.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Westbrook),4,12
22,1,8:50.0,W. Chandler misses 2-pt jump shot from 12 ft,,4,12
23,1,8:47.0,Offensive rebound by P. Millsap,,4,12
24,1,8:46.0,P. Millsap makes 2-pt jump shot from 5 ft,,6,12
25,1,8:38.0,,Shooting foul by N. Jokić (drawn by S. Adams),6,12
26,1,8:38.0,,S. Adams misses free throw 1 of 2,6,12
27,1,8:38.0,,Offensive rebound by Team,6,12
28,1,8:38.0,,S. Adams misses free throw 2 of 2,6,12
29,1,8:35.0,Defensive rebound by P. Millsap,,6,12
30,1,8:19.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),,9,12
31,1,7:57.0,,S. Adams misses 2-pt jump shot from 6 ft,9,12
32,1,7:55.0,Defensive rebound by W. Barton,,9,12
33,1,7:46.0,W. Barton misses 3-pt jump shot from 27 ft,,9,12
34,1,7:42.0,,Defensive rebound by S. Adams,9,12
35,1,7:38.0,,C. Brewer makes 2-pt layup at rim (assist by R. Westbrook),9,14
36,1,7:25.0,P. Millsap makes 2-pt jump shot from 8 ft,,11,14
37,1,7:12.0,,S. Adams misses 2-pt layup from 1 ft (block by N. Jokić),11,14
38,1,7:09.0,Defensive rebound by N. Jokić,,11,14
39,1,7:03.0,J. Murray makes 3-pt jump shot from 23 ft (assist by W. Chandler),,14,14
40,1,7:01.0,,Oklahoma City full timeout,14,14
41,1,6:42.0,,C. Anthony misses 2-pt layup from 1 ft,14,14
42,1,6:40.0,,Offensive rebound by C. Anthony,14,14
43,1,6:40.0,,C. Anthony makes 2-pt layup at rim,14,16
44,1,6:19.0,P. Millsap makes 2-pt jump shot from 10 ft,,16,16
45,1,6:04.0,,C. Anthony makes 2-pt jump shot from 10 ft,16,18
46,1,5:41.0,W. Barton makes 2-pt jump shot from 9 ft (assist by P. Millsap),,18,18
47,1,5:18.0,,C. Anthony misses 2-pt jump shot from 13 ft,18,18
48,1,5:18.0,,Offensive rebound by Team,18,18
49,1,5:18.0,Loose ball foul by N. Jokić (drawn by S. Adams),,18,18
50,1,5:18.0,M. Plumlee enters the game for N. Jokić,,18,18
51,1,5:18.0,D. Harris enters the game for J. Murray,,18,18
52,1,5:13.0,,P. George misses 2-pt jump shot from 12 ft,18,18
53,1,5:10.0,Defensive rebound by M. Plumlee,,18,18
54,1,4:56.0,P. Millsap misses 2-pt layup at rim,,18,18
55,1,4:54.0,,Defensive rebound by S. Adams,18,18
56,1,4:49.0,,R. Westbrook misses 2-pt jump shot from 11 ft,18,18
57,1,4:46.0,,Offensive rebound by S. Adams,18,18
58,1,4:42.0,,C. Anthony misses 3-pt jump shot from 24 ft,18,18
59,1,4:40.0,,Offensive rebound by C. Brewer,18,18
60,1,4:38.0,,C. Brewer makes 2-pt dunk at rim,18,20
61,1,4:27.0,W. Barton misses 3-pt jump shot from 25 ft,,18,20
62,1,4:25.0,Offensive rebound by M. Plumlee,,18,20
63,1,4:23.0,W. Barton misses 2-pt jump shot from 13 ft,,18,20
64,1,4:19.0,,Defensive rebound by P. George,18,20
