,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
0,1,11:50.0,Turnover by K. Middleton (lost ball; steal by J. Ingles),,0,0
1,1,11:45.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),0,2
2,1,11:31.0,Turnover by K. Middleton (turnover),,0,2
3,1,11:30.0,Loose ball foul by K. Middleton (drawn by J. Ingles),,0,2
4,1,11:15.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by D. Favors),0,5
5,1,10:51.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,0,5
6,1,10:49.0,,Defensive rebound by J. Jerebko,0,5
7,1,10:30.0,,D. Favors misses 2-pt jump shot from 11 ft,0,5
8,1,10:23.0,Defensive rebound by G. Payton,,0,5
9,1,10:21.0,Offensive foul by G. Antetokounmpo (drawn by J. Jerebko),,0,5
10,1,10:21.0,Turnover by G. Antetokounmpo (offensive foul),,0,5
11,1,10:02.0,,Turnover by J. Jerebko (lost ball; steal by K. Middleton),0,5
12,1,9:55.0,Personal foul by J. Jerebko (drawn by G. Antetokounmpo),,0,5
13,1,9:50.0,Shooting foul by R. Rubio (drawn by G. Antetokounmpo),,0,5
14,1,9:50.0,G. Antetokounmpo makes free throw 1 of 2,,1,5
15,1,9:50.0,G. Antetokounmpo makes free throw 2 of 2,,2,5
16,1,9:36.0,,R. Rubio makes 2-pt jump shot from 18 ft,2,7
17,1,9:21.0,K. Middleton misses 3-pt jump shot from 24 ft,,2,7
18,1,9:19.0,,Defensive rebound by D. Favors,2,7
19,1,9:01.0,,Turnover by D. Favors (out of bounds lost ball),2,7
20,1,8:53.0,Shooting foul by R. Rubio (drawn by E. Bledsoe),,2,7
21,1,8:53.0,E. Bledsoe makes free throw 1 of 2,,3,7
22,1,8:53.0,,R. Neto enters the game for R. Rubio,3,7
23,1,8:53.0,E. Bledsoe makes free throw 2 of 2,,4,7
24,1,8:41.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Neto),4,10
25,1,8:32.0,Shooting foul by J. Jerebko (drawn by J. Henson),,4,10
26,1,8:32.0,J. Henson makes free throw 1 of 2,,5,10
27,1,8:32.0,,T. Sefolosha enters the game for J. Jerebko,5,10
28,1,8:32.0,J. Henson makes free throw 2 of 2,,6,10
29,1,8:19.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. Neto),6,13
30,1,8:06.0,J. Henson makes 2-pt jump shot from 7 ft (assist by K. Middleton),,8,13
31,1,7:53.0,,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),8,15
32,1,7:41.0,K. Middleton misses 2-pt jump shot from 10 ft,,8,15
33,1,7:38.0,,Defensive rebound by T. Sefolosha,8,15
34,1,7:19.0,,D. Favors misses 2-pt jump shot from 21 ft,8,15
35,1,7:14.0,Defensive rebound by G. Antetokounmpo,,8,15
36,1,7:06.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,8,15
37,1,7:02.0,,Defensive rebound by D. Mitchell,8,15
38,1,6:49.0,,R. Neto misses 2-pt layup from 2 ft (block by J. Henson),8,15
39,1,6:48.0,Defensive rebound by G. Antetokounmpo,,8,15
40,1,6:48.0,Personal foul by D. Mitchell (drawn by G. Antetokounmpo),,8,15
41,1,6:48.0,,Utah full timeout,8,15
42,1,6:48.0,,R. Hood enters the game for D. Mitchell,8,15
43,1,6:48.0,D. Liggins enters the game for G. Payton,,8,15
44,1,6:48.0,T. Snell enters the game for K. Middleton,,8,15
45,1,6:48.0,G. Antetokounmpo makes free throw 1 of 2,,9,15
46,1,6:48.0,G. Antetokounmpo makes free throw 2 of 2,,10,15
47,1,6:33.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by J. Ingles),10,18
48,1,6:09.0,T. Snell makes 2-pt jump shot from 21 ft,,12,18
49,1,5:50.0,,T. Sefolosha misses 2-pt layup from 3 ft,12,18
50,1,5:46.0,Defensive rebound by E. Bledsoe,,12,18
51,1,5:44.0,G. Antetokounmpo makes 2-pt jump shot from 2 ft (assist by E. Bledsoe),,14,18
52,1,5:27.0,,T. Sefolosha makes 2-pt jump shot from 10 ft (assist by R. Hood),14,20
53,1,5:10.0,Shooting foul by T. Sefolosha (drawn by G. Antetokounmpo),,14,20
54,1,5:10.0,G. Antetokounmpo makes free throw 1 of 2,,15,20
55,1,5:10.0,T. Maker enters the game for J. Henson,,15,20
56,1,5:10.0,G. Antetokounmpo makes free throw 2 of 2,,16,20
57,1,4:55.0,,J. Ingles misses 3-pt jump shot from 26 ft,16,20
58,1,4:52.0,Defensive rebound by D. Liggins,,16,20
59,1,4:42.0,Turnover by D. Liggins (bad pass; steal by D. Favors),,16,20
60,1,4:31.0,,Personal foul by T. Maker (drawn by T. Sefolosha),16,20
61,1,4:31.0,,A. Burks enters the game for J. Ingles,16,20
62,1,4:31.0,M. Brogdon enters the game for E. Bledsoe,,16,20
63,1,4:21.0,,R. Hood makes 2-pt jump shot from 15 ft,16,22
64,1,4:02.0,M. Brogdon makes 2-pt layup from 1 ft (assist by T. Maker),,18,22
65,1,3:41.0,,Turnover by R. Neto (out of bounds lost ball),18,22
66,1,3:31.0,M. Brogdon makes 3-pt jump shot from 24 ft,,21,22
67,1,3:12.0,,Shooting foul by D. Liggins (drawn by D. Favors),21,22
68,1,3:12.0,,D. Favors misses free throw 1 of 2,21,22
69,1,3:12.0,,Offensive rebound by Team,21,22
70,1,3:12.0,,D. Mitchell enters the game for R. Neto,21,22
71,1,3:12.0,K. Middleton enters the game for G. Antetokounmpo,,21,22
72,1,3:12.0,,D. Favors makes free throw 2 of 2,21,23
73,1,3:04.0,Turnover by M. Brogdon (step out of bounds),,21,23
74,1,2:45.0,,A. Burks misses 2-pt layup from 6 ft (block by T. Snell),21,23
75,1,2:45.0,,Offensive rebound by Team,21,23
76,1,2:45.0,Milwaukee full timeout,,21,23
77,1,2:45.0,,E. Udoh enters the game for D. Favors,21,23
78,1,2:43.0,,R. Hood misses 2-pt jump shot from 20 ft,21,23
79,1,2:39.0,Defensive rebound by K. Middleton,,21,23
80,1,2:26.0,T. Snell makes 2-pt dunk from 1 ft,,23,23
81,1,2:06.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,23,23
82,1,2:04.0,Defensive rebound by T. Maker,,23,23
83,1,1:49.0,K. Middleton makes 2-pt layup from 1 ft,,25,23
84,1,1:37.0,,Personal foul by D. Liggins (drawn by R. Hood),25,23
85,1,1:34.0,,Personal foul by D. Liggins (drawn by R. Hood),25,23
86,1,1:34.0,,R. Hood makes free throw 1 of 2,25,24
87,1,1:34.0,S. Brown enters the game for D. Liggins,,25,24
88,1,1:34.0,,R. Hood makes free throw 2 of 2,25,25
89,1,1:21.0,K. Middleton misses 2-pt jump shot from 10 ft,,25,25
90,1,1:18.0,,Defensive rebound by T. Sefolosha,25,25
91,1,1:05.0,,E. Udoh makes 2-pt layup from 1 ft (assist by A. Burks),25,27
92,1,0:55.0,Turnover by K. Middleton (bad pass; steal by D. Mitchell),,25,27
93,1,0:45.0,,R. Hood makes 2-pt dunk from 1 ft (assist by D. Mitchell),25,29
94,1,0:30.0,M. Brogdon makes 3-pt jump shot from 24 ft (assist by K. Middleton),,28,29
95,1,0:11.0,,D. Mitchell misses 3-pt jump shot from 25 ft,28,29
96,1,0:08.0,,Offensive rebound by T. Sefolosha,28,29
97,1,0:07.0,,T. Sefolosha makes 2-pt layup from 2 ft,28,31
98,1,0:00.0,K. Middleton makes 2-pt jump shot from 8 ft,,30,31
99,2,11:45.0,,R. Hood misses 2-pt jump shot from 4 ft (block by M. Brogdon),30,31
100,2,11:38.0,Defensive rebound by T. Maker,,30,31
101,2,11:35.0,S. Brown misses 3-pt jump shot from 23 ft,,30,31
102,2,11:27.0,,Defensive rebound by A. Burks,30,31
103,2,11:15.0,,T. Sefolosha misses 3-pt jump shot from 22 ft,30,31
104,2,11:12.0,Defensive rebound by M. Brogdon,,30,31
105,2,11:04.0,Turnover by M. Brogdon (lost ball; steal by A. Burks),,30,31
106,2,11:01.0,,A. Burks makes 2-pt layup from 1 ft,30,33
107,2,10:40.0,T. Snell makes 2-pt jump shot from 12 ft,,32,33
108,2,10:19.0,,E. Udoh misses 2-pt hook shot from 5 ft,32,33
109,2,10:18.0,,Offensive rebound by E. Udoh,32,33
110,2,10:16.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by E. Udoh),32,36
111,2,10:00.0,Turnover by K. Middleton (traveling),,32,36
112,2,10:00.0,,J. Ingles enters the game for T. Sefolosha,32,36
113,2,9:46.0,,Turnover by R. Hood (bad pass; steal by S. Brown),32,36
114,2,9:42.0,S. Brown makes 2-pt jump shot from 16 ft,,34,36
115,2,9:26.0,,Turnover by J. Ingles (traveling),34,36
116,2,9:12.0,T. Snell makes 2-pt layup from 1 ft,,36,36
117,2,8:59.0,,E. Udoh makes 2-pt layup from 1 ft (assist by J. Ingles),36,38
118,2,8:59.0,,Shooting foul by S. Brown (drawn by E. Udoh),36,38
