,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:48.0,,J. Murray misses 2-pt layup from 2 ft (block by R. Westbrook),0,0
1,1,11:45.0,Defensive rebound by S. Adams,,0,0
2,1,11:40.0,Turnover by R. Westbrook (lost ball; steal by G. Harris),,0,0
3,1,11:36.0,,G. Harris makes 3-pt jump shot from 24 ft,0,3
4,1,11:16.0,P. George misses 3-pt jump shot from 22 ft,,0,3
5,1,11:14.0,,Defensive rebound by Team,0,3
6,1,11:03.0,,N. Jokić misses 2-pt hook shot from 3 ft,0,3
7,1,10:59.0,Defensive rebound by P. George,,0,3
8,1,10:46.0,S. Adams misses 2-pt dunk from 2 ft,,0,3
9,1,10:45.0,Offensive rebound by P. George,,0,3
10,1,10:42.0,P. George makes 2-pt layup from 1 ft,,2,3
11,1,10:29.0,,G. Harris makes 2-pt jump shot from 16 ft (assist by N. Jokić),2,5
12,1,10:06.0,R. Westbrook misses 2-pt layup from 1 ft (block by N. Jokić),,2,5
13,1,10:04.0,,Defensive rebound by G. Harris,2,5
14,1,10:01.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by G. Harris),2,8
15,1,9:42.0,C. Anthony makes 2-pt jump shot from 10 ft (assist by P. George),,4,8
16,1,9:25.0,,J. Murray makes 2-pt jump shot from 17 ft (assist by N. Jokić),4,10
17,1,9:15.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,6,10
18,1,9:03.0,,J. Murray misses 3-pt jump shot from 24 ft,6,10
19,1,9:02.0,Defensive rebound by R. Westbrook,,6,10
20,1,8:42.0,C. Anthony makes 2-pt jump shot from 5 ft (assist by R. Westbrook),,8,10
21,1,8:28.0,,N. Jokić makes 2-pt jump shot from 10 ft (assist by W. Barton),8,12
22,1,8:17.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,10,12
23,1,8:05.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by G. Harris),10,15
24,1,7:50.0,P. George makes 2-pt jump shot from 4 ft (assist by R. Westbrook),,12,15
25,1,7:48.0,,Denver full timeout,12,15
26,1,7:48.0,Á. Abrines enters the game for T. Ferguson,,12,15
27,1,7:32.0,,G. Harris makes 2-pt jump shot from 18 ft,12,17
28,1,7:17.0,Turnover by S. Adams (bad pass),,12,17
29,1,7:10.0,,G. Harris makes 2-pt jump shot from 23 ft (assist by N. Jokić),12,19
30,1,7:03.0,Á. Abrines misses 3-pt jump shot from 22 ft,,12,19
31,1,7:00.0,Offensive rebound by S. Adams,,12,19
32,1,6:59.0,S. Adams misses 2-pt layup from 2 ft,,12,19
33,1,6:59.0,,Defensive rebound by N. Jokić,12,19
34,1,6:50.0,,G. Harris misses 3-pt jump shot from 22 ft,12,19
