,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,M. Gasol makes 2-pt dunk at rim (assist by T. Evans),0,2
1,1,11:27.0,L. James makes 2-pt layup from 1 ft (assist by T. Thompson),,2,2
2,1,11:05.0,,J. Green misses 2-pt layup from 2 ft,2,2
3,1,11:02.0,Defensive rebound by T. Thompson,,2,2
4,1,10:59.0,J. Smith misses 3-pt jump shot from 25 ft,,2,2
5,1,10:55.0,,Defensive rebound by J. Green,2,2
6,1,10:41.0,,M. Gasol makes 2-pt jump shot from 18 ft,2,4
7,1,10:21.0,Personal foul by A. Harrison (drawn by G. Hill),,2,4
8,1,10:15.0,Turnover by C. Osman (traveling),,2,4
9,1,9:59.0,,D. Brooks makes 2-pt jump shot from 11 ft,2,6
10,1,9:49.0,G. Hill misses 2-pt jump shot from 13 ft,,2,6
11,1,9:46.0,,Defensive rebound by M. Gasol,2,6
12,1,9:38.0,,T. Evans misses 2-pt layup from 1 ft,2,6
13,1,9:36.0,Defensive rebound by L. James,,2,6
14,1,9:35.0,Shooting foul by J. Green (drawn by L. James),,2,6
15,1,9:35.0,L. James makes free throw 1 of 2,,3,6
16,1,9:35.0,L. James makes free throw 2 of 2,,4,6
17,1,9:31.0,,Turnover by T. Evans (bad pass),4,6
18,1,9:21.0,Turnover by J. Smith (bad pass),,4,6
19,1,9:16.0,,A. Harrison makes 3-pt jump shot from 25 ft (assist by M. Gasol),4,9
20,1,8:58.0,L. James misses 3-pt jump shot from 26 ft,,4,9
21,1,8:58.0,,Defensive rebound by A. Harrison,4,9
22,1,8:43.0,,T. Evans misses 3-pt jump shot from 25 ft,4,9
23,1,8:41.0,Defensive rebound by T. Thompson,,4,9
24,1,8:34.0,Turnover by G. Hill (bad pass; steal by J. Green),,4,9
25,1,8:28.0,,J. Green makes 2-pt layup at rim (assist by A. Harrison),4,11
26,1,8:28.0,Cleveland full timeout,,4,11
27,1,8:05.0,T. Thompson misses 2-pt jump shot from 13 ft,,4,11
28,1,8:01.0,,Defensive rebound by M. Gasol,4,11
29,1,7:57.0,,D. Brooks makes 2-pt jump shot from 1 ft (assist by J. Green),4,13
30,1,7:57.0,Violation by T. Thompson (def goaltending),,4,13
31,1,7:42.0,G. Hill makes 2-pt layup at rim,,6,13
32,1,7:19.0,,J. Green makes 2-pt jump shot from 11 ft (assist by T. Evans),6,15
33,1,6:55.0,Turnover by L. James (bad pass; steal by T. Evans),,6,15
34,1,6:52.0,,Shooting foul by G. Hill (drawn by D. Brooks),6,15
35,1,6:52.0,,D. Brooks makes free throw 1 of 2,6,16
36,1,6:52.0,,J. Martin enters the game for J. Green,6,16
37,1,6:52.0,,M. Chalmers enters the game for A. Harrison,6,16
38,1,6:52.0,,D. Brooks misses free throw 2 of 2,6,16
39,1,6:49.0,Defensive rebound by C. Osman,,6,16
40,1,6:32.0,L. James misses 2-pt jump shot from 22 ft,,6,16
41,1,6:30.0,,Defensive rebound by D. Brooks,6,16
42,1,6:24.0,,J. Martin makes 2-pt layup at rim (assist by T. Evans),6,18
43,1,6:13.0,G. Hill makes 2-pt jump shot from 15 ft,,8,18
44,1,5:59.0,,D. Brooks misses 2-pt jump shot from 6 ft,8,18
45,1,5:57.0,Defensive rebound by L. James,,8,18
46,1,5:47.0,G. Hill misses 3-pt jump shot from 25 ft,,8,18
47,1,5:44.0,,Defensive rebound by Team,8,18
48,1,5:30.0,,D. Brooks makes 2-pt layup at rim (assist by T. Evans),8,20
49,1,5:14.0,Shooting foul by M. Chalmers (drawn by G. Hill),,8,20
50,1,5:14.0,G. Hill makes free throw 1 of 2,,9,20
51,1,5:14.0,,B. McLemore enters the game for T. Evans,9,20
52,1,5:14.0,L. Nance enters the game for J. Smith,,9,20
53,1,5:14.0,R. Hood enters the game for T. Thompson,,9,20
54,1,5:14.0,G. Hill makes free throw 2 of 2,,10,20
55,1,4:57.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by M. Gasol),10,23
56,1,4:35.0,C. Osman makes 2-pt jump shot from 15 ft,,12,23
57,1,4:25.0,,Personal foul by L. Nance (drawn by M. Gasol),12,23
58,1,4:25.0,J. Clarkson enters the game for C. Osman,,12,23
59,1,4:16.0,,M. Gasol misses 2-pt jump shot from 11 ft,12,23
60,1,4:13.0,Defensive rebound by L. James,,12,23
61,1,4:08.0,G. Hill makes 2-pt layup from 1 ft (assist by L. James),,14,23
62,1,3:54.0,,Turnover by M. Chalmers (bad pass; steal by G. Hill),14,23
63,1,3:50.0,L. James makes 2-pt dunk from 1 ft (assist by G. Hill),,16,23
64,1,3:50.0,,Memphis full timeout,16,23
