,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,A. Davis misses 2-pt jump shot from 9 ft,0,0
1,1,11:37.0,Defensive rebound by A. Gordon,,0,0
2,1,11:28.0,Shooting foul by D. Cunningham (drawn by T. Ross),,0,0
3,1,11:28.0,T. Ross makes free throw 1 of 2,,1,0
4,1,11:28.0,T. Ross misses free throw 2 of 2,,1,0
5,1,11:24.0,,Defensive rebound by D. Cousins,1,0
6,1,11:10.0,,Turnover by J. Holiday (traveling),1,0
7,1,10:50.0,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),,3,0
8,1,10:40.0,,Turnover by J. Holiday (bad pass; steal by A. Gordon),3,0
9,1,10:34.0,Turnover by A. Gordon (turnover),,3,0
10,1,10:34.0,,Personal foul by A. Gordon (drawn by A. Davis),3,0
11,1,10:27.0,,Turnover by D. Cousins (bad pass),3,0
12,1,10:15.0,T. Ross makes 2-pt layup from 1 ft,,5,0
13,1,10:02.0,,E. Moore misses 2-pt jump shot from 10 ft,5,0
14,1,9:54.0,Defensive rebound by N. Vučević,,5,0
15,1,9:52.0,E. Fournier makes 3-pt jump shot from 25 ft,,8,0
16,1,9:40.0,,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),8,2
17,1,9:32.0,N. Vučević misses 2-pt layup from 4 ft (block by D. Cousins),,8,2
18,1,9:32.0,A. Gordon misses 2-pt layup at rim (block by A. Davis),,8,2
19,1,9:32.0,,Defensive rebound by J. Holiday,8,2
20,1,9:28.0,Defensive rebound by A. Gordon,,8,2
21,1,9:22.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),8,4
22,1,9:08.0,Turnover by E. Fournier (bad pass; steal by D. Cousins),,8,4
23,1,9:00.0,,Personal foul by A. Gordon (drawn by A. Davis),8,4
24,1,9:00.0,J. Isaac enters the game for A. Gordon,,8,4
25,1,8:49.0,,E. Moore makes 2-pt jump shot from 6 ft (assist by D. Cousins),8,6
26,1,8:34.0,E. Fournier misses 2-pt layup from 2 ft,,8,6
27,1,8:30.0,,Defensive rebound by D. Cousins,8,6
28,1,8:28.0,,Turnover by D. Cousins (bad pass; steal by T. Ross),8,6
29,1,8:28.0,Personal foul by D. Cousins (drawn by T. Ross),,8,6
30,1,8:14.0,N. Vučević misses 2-pt jump shot from 21 ft,,8,6
31,1,8:11.0,,Defensive rebound by J. Holiday,8,6
32,1,8:01.0,,D. Cousins misses 3-pt jump shot from 26 ft,8,6
33,1,7:54.0,Defensive rebound by J. Isaac,,8,6
34,1,7:42.0,T. Ross misses 2-pt layup from 1 ft (block by D. Cunningham),,8,6
35,1,7:41.0,,Defensive rebound by Team,8,6
36,1,7:30.0,,D. Cousins misses 2-pt jump shot from 19 ft,8,6
37,1,7:24.0,Defensive rebound by J. Isaac,,8,6
38,1,7:22.0,Turnover by E. Fournier (bad pass; steal by E. Moore),,8,6
39,1,7:15.0,,A. Davis misses 2-pt dunk at rim,8,6
40,1,7:11.0,Defensive rebound by N. Vučević,,8,6
41,1,7:09.0,E. Fournier misses 3-pt jump shot from 23 ft,,8,6
42,1,7:02.0,,Defensive rebound by D. Cunningham,8,6
43,1,6:57.0,,D. Cunningham misses 3-pt jump shot from 25 ft,8,6
44,1,6:57.0,,Offensive rebound by Team,8,6
45,1,6:57.0,Loose ball foul by J. Isaac (drawn by D. Cousins),,8,6
46,1,6:57.0,,New Orleans full timeout,8,6
47,1,6:47.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by D. Cousins),8,8
48,1,6:25.0,Personal foul by J. Holiday (drawn by E. Fournier),,8,8
49,1,6:18.0,D. Augustin makes 2-pt jump shot from 18 ft,,10,8
50,1,6:08.0,,E. Moore misses 2-pt jump shot from 6 ft,10,8
51,1,6:01.0,Defensive rebound by N. Vučević,,10,8
52,1,5:59.0,N. Vučević misses 2-pt jump shot from 13 ft,,10,8
53,1,5:53.0,Offensive rebound by J. Isaac,,10,8
54,1,5:52.0,J. Isaac makes 2-pt layup from 2 ft,,12,8
55,1,5:46.0,,J. Holiday misses 2-pt layup from 11 ft,12,8
56,1,5:46.0,,Offensive rebound by A. Davis,12,8
