,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:40.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by Z. LaVine),0,2
1,1,11:20.0,H. Whiteside misses 2-pt jump shot from 13 ft,,0,2
2,1,11:18.0,,Defensive rebound by L. Markkanen,0,2
3,1,11:08.0,,Z. LaVine makes 2-pt layup from 1 ft,0,4
4,1,10:53.0,H. Whiteside makes 2-pt jump shot from 5 ft (assist by J. Richardson),,2,4
5,1,10:34.0,,Z. LaVine makes 3-pt jump shot from 24 ft,2,7
6,1,10:24.0,Shooting foul by K. Dunn (drawn by G. Dragić),,2,7
7,1,10:24.0,G. Dragić makes free throw 1 of 2,,3,7
8,1,10:24.0,G. Dragić makes free throw 2 of 2,,4,7
9,1,10:06.0,,J. Holiday misses 2-pt jump shot from 15 ft,4,7
10,1,10:03.0,Defensive rebound by H. Whiteside,,4,7
11,1,9:53.0,G. Dragić misses 3-pt jump shot from 23 ft,,4,7
12,1,9:51.0,,Defensive rebound by Z. LaVine,4,7
13,1,9:44.0,,Z. LaVine misses 2-pt jump shot from 20 ft,4,7
14,1,9:39.0,Defensive rebound by H. Whiteside,,4,7
15,1,9:35.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),,6,7
16,1,9:35.0,Shooting foul by J. Holiday (drawn by H. Whiteside),,6,7
17,1,9:35.0,H. Whiteside makes free throw 1 of 1,,7,7
18,1,9:28.0,,J. Holiday misses 3-pt jump shot from 24 ft,7,7
19,1,9:26.0,Defensive rebound by H. Whiteside,,7,7
20,1,9:17.0,T. Johnson misses 2-pt jump shot from 18 ft,,7,7
21,1,9:12.0,,Defensive rebound by L. Markkanen,7,7
22,1,9:05.0,,K. Dunn makes 2-pt jump shot from 19 ft (assist by J. Holiday),7,9
23,1,8:51.0,G. Dragić misses 3-pt jump shot from 25 ft,,7,9
24,1,8:46.0,,Defensive rebound by L. Markkanen,7,9
25,1,8:35.0,,R. Lopez makes 2-pt layup from 1 ft (assist by Z. LaVine),7,11
26,1,8:26.0,Personal foul by Z. LaVine (drawn by T. Johnson),,7,11
27,1,8:19.0,J. Richardson misses 2-pt jump shot from 16 ft,,7,11
28,1,8:15.0,,Defensive rebound by R. Lopez,7,11
29,1,8:04.0,,Z. LaVine makes 2-pt layup from 2 ft,7,13
30,1,7:53.0,J. Richardson misses 3-pt jump shot from 24 ft,,7,13
31,1,7:50.0,,Defensive rebound by K. Dunn,7,13
32,1,7:43.0,,Z. LaVine misses 2-pt layup from 2 ft,7,13
33,1,7:41.0,Defensive rebound by J. Richardson,,7,13
34,1,7:38.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Richardson),,10,13
35,1,7:37.0,,Chicago full timeout,10,13
36,1,7:37.0,,D. Valentine enters the game for Z. LaVine,10,13
37,1,7:22.0,,K. Dunn misses 2-pt jump shot from 8 ft,10,13
38,1,7:19.0,Defensive rebound by J. Johnson,,10,13
39,1,7:14.0,G. Dragić makes 2-pt layup at rim (assist by J. Johnson),,12,13
40,1,7:05.0,,L. Markkanen misses 3-pt jump shot from 25 ft,12,13
41,1,7:05.0,Defensive rebound by J. Richardson,,12,13
42,1,6:53.0,Offensive foul by G. Dragić (drawn by K. Dunn),,12,13
43,1,6:53.0,Turnover by G. Dragić (offensive foul),,12,13
44,1,6:36.0,,D. Valentine makes 2-pt layup from 1 ft (assist by K. Dunn),12,15
45,1,6:20.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Johnson),,15,15
46,1,5:52.0,,K. Dunn makes 2-pt layup at rim (assist by D. Valentine),15,17
47,1,5:40.0,J. Johnson misses 3-pt jump shot from 25 ft,,15,17
48,1,5:38.0,,Defensive rebound by K. Dunn,15,17
49,1,5:21.0,,L. Markkanen makes 2-pt jump shot from 16 ft,15,19
50,1,5:10.0,G. Dragić misses 2-pt jump shot from 4 ft,,15,19
51,1,5:08.0,,Defensive rebound by D. Valentine,15,19
52,1,5:04.0,,J. Holiday misses 2-pt layup from 1 ft (block by H. Whiteside),15,19
53,1,5:03.0,Defensive rebound by T. Johnson,,15,19
54,1,4:53.0,T. Johnson misses 3-pt jump shot from 25 ft,,15,19
55,1,4:51.0,Offensive rebound by Team,,15,19
56,1,4:51.0,W. Ellington enters the game for J. Richardson,,15,19
57,1,4:43.0,J. Johnson misses 2-pt layup from 4 ft,,15,19
58,1,4:39.0,,Defensive rebound by R. Lopez,15,19
59,1,4:36.0,,K. Dunn misses 2-pt jump shot from 14 ft,15,19
60,1,4:33.0,Defensive rebound by H. Whiteside,,15,19
61,1,4:23.0,G. Dragić misses 3-pt jump shot from 25 ft,,15,19
62,1,4:23.0,,Defensive rebound by D. Valentine,15,19
63,1,4:18.0,,D. Valentine makes 2-pt jump shot from 22 ft,15,21
64,1,4:08.0,Miami full timeout,,15,21
65,1,4:08.0,K. Olynyk enters the game for J. Johnson,,15,21
66,1,4:08.0,B. Adebayo enters the game for H. Whiteside,,15,21
67,1,3:50.0,K. Olynyk misses 3-pt jump shot from 25 ft,,15,21
68,1,3:47.0,,Defensive rebound by R. Lopez,15,21
69,1,3:41.0,,Offensive foul by R. Lopez (drawn by K. Olynyk),15,21
70,1,3:41.0,,Turnover by R. Lopez (offensive foul),15,21
71,1,3:41.0,,N. Mirotić enters the game for L. Markkanen,15,21
72,1,3:41.0,J. Richardson enters the game for G. Dragić,,15,21
73,1,3:33.0,B. Adebayo misses 2-pt jump shot from 18 ft,,15,21
74,1,3:29.0,,Defensive rebound by N. Mirotić,15,21
75,1,3:24.0,,Turnover by D. Valentine (out of bounds lost ball),15,21
76,1,3:24.0,,B. Portis enters the game for R. Lopez,15,21
77,1,3:10.0,Turnover by W. Ellington (out of bounds lost ball),,15,21
78,1,2:57.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by K. Dunn),15,24
79,1,2:37.0,J. Richardson misses 3-pt jump shot from 26 ft,,15,24
80,1,2:34.0,,Defensive rebound by D. Valentine,15,24
81,1,2:27.0,,K. Dunn misses 2-pt layup from 2 ft,15,24
82,1,2:22.0,,Offensive rebound by J. Holiday,15,24
83,1,2:22.0,,J. Holiday misses 2-pt layup at rim,15,24
84,1,2:22.0,Defensive rebound by K. Olynyk,,15,24
85,1,2:12.0,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Richardson),,17,24
86,1,1:54.0,,B. Portis makes 2-pt jump shot from 13 ft (assist by J. Holiday),17,26
87,1,1:29.0,T. Johnson makes 2-pt layup from 1 ft (assist by K. Olynyk),,19,26
88,1,1:29.0,Shooting foul by B. Portis (drawn by T. Johnson),,19,26
89,1,1:29.0,,J. Grant enters the game for K. Dunn,19,26
90,1,1:29.0,T. Johnson makes free throw 1 of 1,,20,26
91,1,1:17.0,,Turnover by J. Holiday (lost ball; steal by J. Richardson),20,26
92,1,1:08.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by T. Johnson),,23,26
93,1,0:51.0,,D. Valentine misses 2-pt hook shot from 10 ft,23,26
94,1,0:49.0,Defensive rebound by K. Olynyk,,23,26
95,1,0:39.0,W. Ellington makes 2-pt layup from 1 ft (assist by K. Olynyk),,25,26
96,1,0:28.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Grant),25,29
97,1,0:13.0,Turnover by K. Olynyk (step out of bounds),,25,29
98,1,0:13.0,J. Winslow enters the game for T. Johnson,,25,29
99,1,0:02.0,,Personal foul by K. Olynyk (drawn by J. Grant),25,29
100,1,0:00.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by J. Grant),25,32
101,2,11:40.0,W. Ellington misses 3-pt jump shot from 24 ft,,25,32
102,2,11:35.0,Offensive rebound by J. Winslow,,25,32
103,2,11:33.0,K. Olynyk misses 3-pt jump shot from 25 ft,,25,32
104,2,11:28.0,Offensive rebound by W. Ellington,,25,32
105,2,11:21.0,K. Olynyk misses 2-pt hook shot from 5 ft,,25,32
106,2,11:21.0,Offensive rebound by Team,,25,32
107,2,11:21.0,,Loose ball foul by J. Grant (drawn by J. Richardson),25,32
108,2,11:15.0,W. Ellington misses 3-pt jump shot from 26 ft,,25,32
109,2,11:08.0,Offensive rebound by B. Adebayo,,25,32
110,2,11:08.0,B. Adebayo misses 2-pt layup at rim,,25,32
111,2,11:07.0,,Defensive rebound by Z. LaVine,25,32
112,2,11:05.0,,Shooting foul by J. Richardson (drawn by B. Portis),25,32
113,2,11:05.0,,B. Portis misses free throw 1 of 2,25,32
114,2,11:05.0,,Offensive rebound by Team,25,32
115,2,11:05.0,,B. Portis makes free throw 2 of 2,25,33
116,2,10:43.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,28,33
117,2,10:25.0,,N. Mirotić misses 3-pt jump shot from 23 ft,28,33
118,2,10:22.0,Defensive rebound by K. Olynyk,,28,33
119,2,10:13.0,,Violation by B. Portis (kicked ball),28,33
120,2,10:09.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Winslow),,30,33
121,2,9:54.0,,Z. LaVine makes 2-pt jump shot from 17 ft,30,35
122,2,9:41.0,K. Olynyk misses 3-pt jump shot from 23 ft,,30,35
123,2,9:39.0,,Defensive rebound by N. Mirotić,30,35
124,2,9:32.0,,B. Portis misses 3-pt jump shot from 24 ft,30,35
125,2,9:32.0,Defensive rebound by J. Winslow,,30,35
126,2,9:19.0,Turnover by W. Ellington (out of bounds lost ball),,30,35
127,2,9:09.0,,Turnover by N. Mirotić (bad pass; steal by J. Winslow),30,35
128,2,9:05.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Winslow),,33,35
129,2,8:52.0,,N. Mirotić misses 3-pt jump shot from 26 ft,33,35
