,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
0,1,11:39.0,L. Aldridge makes 2-pt jump shot from 15 ft (assist by T. Parker),,2,0
1,1,11:22.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by K. Bazemore),2,2
2,1,11:06.0,P. Gasol misses 2-pt jump shot from 11 ft,,2,2
3,1,11:03.0,,Defensive rebound by T. Prince,2,2
4,1,10:57.0,,D. Schröder misses 2-pt jump shot from 14 ft,2,2
5,1,10:54.0,Defensive rebound by K. Anderson,,2,2
6,1,10:47.0,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. Green),,5,2
7,1,10:25.0,,T. Prince misses 2-pt jump shot from 7 ft,5,2
8,1,10:21.0,Defensive rebound by P. Gasol,,5,2
9,1,10:11.0,L. Aldridge misses 2-pt layup from 1 ft (block by K. Bazemore),,5,2
10,1,10:07.0,,Defensive rebound by E. İlyasova,5,2
11,1,9:59.0,,K. Bazemore makes 2-pt layup from 8 ft (assist by T. Prince),5,4
12,1,9:50.0,Shooting foul by M. Plumlee (drawn by P. Gasol),,5,4
13,1,9:50.0,P. Gasol makes free throw 1 of 2,,6,4
14,1,9:50.0,P. Gasol makes free throw 2 of 2,,7,4
15,1,9:40.0,,Turnover by D. Schröder (bad pass; steal by T. Parker),7,4
16,1,9:36.0,,Violation by E. İlyasova (kicked ball),7,4
17,1,9:23.0,Shooting foul by T. Prince (drawn by K. Anderson),,7,4
18,1,9:23.0,K. Anderson makes free throw 1 of 2,,8,4
19,1,9:23.0,K. Anderson makes free throw 2 of 2,,9,4
20,1,9:12.0,,Turnover by D. Schröder (bad pass; steal by T. Parker),9,4
21,1,8:55.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by K. Anderson),,11,4
22,1,8:54.0,,Atlanta full timeout,11,4
23,1,8:42.0,,Personal foul by D. Green (drawn by M. Plumlee),11,4
24,1,8:35.0,,K. Bazemore misses 2-pt jump shot from 22 ft,11,4
25,1,8:31.0,Defensive rebound by T. Parker,,11,4
26,1,8:10.0,T. Parker misses 2-pt jump shot from 22 ft,,11,4
27,1,8:06.0,Offensive rebound by P. Gasol,,11,4
28,1,8:02.0,K. Anderson makes 3-pt jump shot from 22 ft (assist by T. Parker),,14,4
29,1,7:38.0,,M. Plumlee misses 2-pt hook shot from 8 ft,14,4
30,1,7:35.0,Defensive rebound by D. Green,,14,4
31,1,7:26.0,L. Aldridge makes 2-pt hook shot from 5 ft (assist by P. Gasol),,16,4
32,1,7:05.0,,Turnover by D. Schröder (lost ball; steal by T. Parker),16,4
33,1,6:58.0,T. Parker makes 2-pt jump shot from 16 ft,,18,4
34,1,6:42.0,,D. Schröder makes 2-pt jump shot from 17 ft,18,6
35,1,6:24.0,K. Anderson misses 3-pt jump shot from 25 ft,,18,6
36,1,6:21.0,,Defensive rebound by E. İlyasova,18,6
37,1,6:10.0,,D. Schröder misses 2-pt jump shot from 18 ft,18,6
38,1,6:06.0,Defensive rebound by L. Aldridge,,18,6
39,1,5:54.0,Turnover by P. Gasol (bad pass; steal by K. Bazemore),,18,6
40,1,5:51.0,,K. Bazemore makes 2-pt layup from 1 ft,18,8
41,1,5:51.0,,Shooting foul by P. Gasol (drawn by K. Bazemore),18,8
42,1,5:51.0,San Antonio full timeout,,18,8
43,1,5:51.0,,M. Belinelli enters the game for T. Prince,18,8
44,1,5:51.0,,D. Dedmon enters the game for E. İlyasova,18,8
45,1,5:51.0,,J. Collins enters the game for M. Plumlee,18,8
46,1,5:51.0,M. Ginóbili enters the game for P. Gasol,,18,8
47,1,5:51.0,D. Bertāns enters the game for D. Green,,18,8
48,1,5:51.0,D. Murray enters the game for T. Parker,,18,8
49,1,5:51.0,,K. Bazemore makes free throw 1 of 1,18,9
50,1,5:34.0,L. Aldridge misses 2-pt jump shot from 18 ft,,18,9
51,1,5:30.0,,Defensive rebound by K. Bazemore,18,9
52,1,5:20.0,,J. Collins misses 3-pt jump shot from 23 ft,18,9
53,1,5:16.0,Defensive rebound by K. Anderson,,18,9
54,1,5:02.0,D. Bertāns misses 3-pt jump shot from 25 ft,,18,9
55,1,4:58.0,Offensive rebound by L. Aldridge,,18,9
56,1,4:49.0,Turnover by L. Aldridge (bad pass),,18,9
57,1,4:49.0,P. Mills enters the game for K. Anderson,,18,9
58,1,4:37.0,,D. Dedmon makes 2-pt jump shot from 19 ft (assist by K. Bazemore),18,11
59,1,4:17.0,L. Aldridge misses 2-pt jump shot from 11 ft,,18,11
60,1,4:13.0,,Defensive rebound by K. Bazemore,18,11
61,1,4:01.0,,J. Collins makes 2-pt jump shot from 11 ft (assist by D. Schröder),18,13
62,1,3:43.0,Personal foul by K. Bazemore (drawn by L. Aldridge),,18,13
63,1,3:43.0,,M. Delaney enters the game for D. Schröder,18,13
64,1,3:43.0,,T. Prince enters the game for K. Bazemore,18,13
65,1,3:43.0,P. Gasol enters the game for L. Aldridge,,18,13
66,1,3:35.0,P. Gasol makes 2-pt layup from 1 ft (assist by M. Ginóbili),,20,13
67,1,3:17.0,,M. Belinelli misses 2-pt jump shot from 15 ft,20,13
68,1,3:11.0,Defensive rebound by D. Murray,,20,13
69,1,3:06.0,D. Murray misses 2-pt jump shot from 13 ft,,20,13
70,1,3:02.0,,Defensive rebound by J. Collins,20,13
71,1,2:45.0,,Turnover by M. Delaney (bad pass; steal by P. Mills),20,13
72,1,2:37.0,P. Mills misses 3-pt jump shot from 25 ft,,20,13
73,1,2:34.0,,Defensive rebound by D. Dedmon,20,13
74,1,2:32.0,,Shooting foul by D. Murray (drawn by M. Delaney),20,13
75,1,2:32.0,,M. Delaney makes free throw 1 of 2,20,14
76,1,2:32.0,,M. Delaney makes free throw 2 of 2,20,15
77,1,2:11.0,M. Ginóbili misses 2-pt jump shot from 21 ft,,20,15
78,1,2:08.0,,Defensive rebound by M. Delaney,20,15
79,1,2:00.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by J. Collins),20,18
