,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
0,1,11:38.0,,M. Smart misses 3-pt jump shot from 22 ft,0,0
1,1,11:33.0,Defensive rebound by G. Antetokounmpo,,0,0
2,1,11:33.0,Personal foul by J. Brown (drawn by G. Antetokounmpo),,0,0
3,1,11:26.0,T. Maker misses 3-pt jump shot from 25 ft,,0,0
4,1,11:22.0,,Defensive rebound by J. Brown,0,0
5,1,11:16.0,,Turnover by A. Horford (bad pass; steal by K. Middleton),0,0
6,1,11:10.0,K. Middleton makes 2-pt layup from 1 ft (assist by M. Brogdon),,2,0
7,1,10:53.0,,K. Irving misses 2-pt jump shot from 17 ft,2,0
8,1,10:50.0,Defensive rebound by G. Antetokounmpo,,2,0
9,1,10:47.0,,Offensive charge foul by G. Antetokounmpo (drawn by J. Brown),2,0
10,1,10:47.0,Turnover by G. Antetokounmpo (offensive foul),,2,0
11,1,10:28.0,,J. Brown misses 2-pt layup from 6 ft,2,0
12,1,10:24.0,Defensive rebound by G. Antetokounmpo,,2,0
13,1,10:19.0,G. Antetokounmpo misses 2-pt jump shot from 22 ft,,2,0
14,1,10:16.0,Offensive rebound by T. Maker,,2,0
15,1,10:15.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Irving),,2,0
16,1,10:07.0,,Turnover by K. Irving (bad pass; steal by T. Maker),2,0
17,1,9:58.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,2,0
18,1,9:58.0,G. Antetokounmpo makes free throw 1 of 2,,3,0
19,1,9:58.0,G. Antetokounmpo makes free throw 2 of 2,,4,0
20,1,9:36.0,,A. Horford makes 2-pt layup from 2 ft (assist by M. Smart),4,2
21,1,9:13.0,T. Maker misses 2-pt hook shot from 2 ft (block by A. Horford),,4,2
22,1,9:11.0,,Defensive rebound by J. Tatum,4,2
23,1,9:10.0,,J. Tatum makes 2-pt layup from 1 ft,4,4
