,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHOENIX_ACTION,ORLANDO_SCORE,PHOENIX_SCORE
0,1,11:48.0,E. Payton makes 2-pt dunk from 1 ft (assist by N. Vučević),,2,0
1,1,11:24.0,,Personal foul by E. Payton (drawn by M. Chriss),2,0
2,1,11:17.0,,M. Chriss makes 2-pt layup from 1 ft,2,2
3,1,11:04.0,T. Ross makes 3-pt jump shot from 23 ft (assist by E. Fournier),,5,2
4,1,10:51.0,,Turnover by A. Len (bad pass; steal by T. Ross),5,2
5,1,10:47.0,N. Vučević makes 2-pt dunk at rim (assist by T. Ross),,7,2
6,1,10:46.0,,Phoenix full timeout,7,2
7,1,10:37.0,,Turnover by A. Len (bad pass),7,2
8,1,10:25.0,N. Vučević misses 2-pt jump shot from 12 ft,,7,2
9,1,10:25.0,,Defensive rebound by Team,7,2
10,1,10:25.0,Loose ball foul by A. Gordon (drawn by M. Chriss),,7,2
11,1,10:19.0,,D. Booker misses 2-pt jump shot from 19 ft,7,2
12,1,10:14.0,,Offensive rebound by M. Chriss,7,2
13,1,10:14.0,,M. Chriss makes 2-pt dunk at rim,7,4
14,1,10:01.0,T. Ross makes 2-pt layup at rim (assist by E. Payton),,9,4
15,1,9:46.0,,M. James misses 3-pt jump shot from 27 ft,9,4
16,1,9:43.0,Defensive rebound by T. Ross,,9,4
17,1,9:34.0,T. Ross misses 3-pt jump shot from 25 ft,,9,4
18,1,9:31.0,,Defensive rebound by A. Len,9,4
19,1,9:11.0,,T. Warren makes 2-pt jump shot from 11 ft,9,6
20,1,9:04.0,E. Payton makes 2-pt layup at rim,,11,6
21,1,8:47.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by M. James),11,9
22,1,8:31.0,E. Fournier makes 2-pt layup from 4 ft (assist by E. Payton),,13,9
23,1,8:15.0,,M. James makes 2-pt layup at rim,13,11
24,1,8:08.0,E. Fournier misses 3-pt jump shot from 22 ft,,13,11
25,1,8:05.0,Offensive rebound by E. Payton,,13,11
26,1,8:04.0,,T. Ulis enters the game for A. Len,13,11
27,1,8:04.0,,D. Bender enters the game for M. James,13,11
28,1,8:00.0,Turnover by E. Payton (turnover; steal by D. Booker),,13,11
29,1,7:49.0,,M. Chriss misses 2-pt layup from 3 ft (block by A. Gordon),13,11
30,1,7:45.0,Defensive rebound by E. Payton,,13,11
31,1,7:43.0,T. Ross makes 3-pt jump shot from 22 ft (assist by E. Payton),,16,11
32,1,7:38.0,,Personal block foul by E. Fournier (drawn by D. Booker),16,11
33,1,7:31.0,,D. Booker makes 2-pt jump shot from 9 ft (assist by T. Ulis),16,13
34,1,7:17.0,E. Fournier makes 2-pt layup at rim,,18,13
35,1,7:09.0,,D. Booker makes 2-pt jump shot from 12 ft,18,15
36,1,6:58.0,Personal foul by D. Booker (drawn by E. Fournier),,18,15
37,1,6:55.0,E. Payton makes 2-pt layup at rim (assist by E. Fournier),,20,15
38,1,6:46.0,,Shooting foul by E. Payton (drawn by T. Warren),20,15
39,1,6:46.0,,T. Warren misses free throw 1 of 2,20,15
40,1,6:46.0,,Offensive rebound by Team,20,15
41,1,6:46.0,S. Mack enters the game for E. Payton,,20,15
42,1,6:46.0,,T. Warren makes free throw 2 of 2,20,16
43,1,6:37.0,N. Vučević misses 3-pt jump shot from 25 ft,,20,16
44,1,6:34.0,,Defensive rebound by M. Chriss,20,16
45,1,6:31.0,,T. Warren makes 2-pt layup from 2 ft,20,18
46,1,6:31.0,,Shooting foul by N. Vučević (drawn by T. Warren),20,18
47,1,6:31.0,,T. Warren makes free throw 1 of 1,20,19
48,1,6:16.0,Personal foul by M. Chriss (drawn by E. Fournier),,20,19
49,1,6:10.0,E. Fournier misses 3-pt jump shot from 24 ft,,20,19
50,1,6:08.0,,Defensive rebound by Team,20,19
51,1,5:55.0,,M. Chriss misses 3-pt jump shot from 24 ft,20,19
52,1,5:52.0,,Offensive rebound by T. Warren,20,19
53,1,5:51.0,,T. Warren makes 2-pt layup at rim,20,21
54,1,5:46.0,Orlando full timeout,,20,21
55,1,5:46.0,J. Simmons enters the game for T. Ross,,20,21
56,1,5:31.0,N. Vučević makes 2-pt hook shot from 8 ft,,22,21
57,1,5:15.0,,T. Warren misses 2-pt jump shot from 10 ft,22,21
58,1,5:12.0,Defensive rebound by N. Vučević,,22,21
59,1,5:02.0,J. Simmons misses 2-pt layup from 2 ft,,22,21
60,1,5:00.0,Shooting foul by D. Bender (drawn by N. Vučević),,22,21
61,1,5:00.0,N. Vučević makes free throw 1 of 2,,23,21
