,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
0,1,11:49.0,,I. Smith misses 2-pt jump shot from 8 ft,0,0
1,1,11:45.0,Defensive rebound by D. Dedmon,,0,0
2,1,11:33.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Dorsey),,2,0
3,1,11:18.0,,S. Johnson misses 2-pt jump shot from 14 ft,2,0
4,1,11:13.0,Defensive rebound by T. Dorsey,,2,0
5,1,11:04.0,D. Dedmon makes 2-pt jump shot from 21 ft (assist by T. Dorsey),,4,0
6,1,10:44.0,,Turnover by B. Griffin (bad pass),4,0
7,1,10:32.0,T. Prince misses 3-pt jump shot from 27 ft,,4,0
8,1,10:28.0,,Defensive rebound by B. Griffin,4,0
9,1,10:23.0,,Turnover by B. Griffin (lost ball; steal by T. Prince),4,0
10,1,10:18.0,Shooting foul by S. Johnson (drawn by J. Collins),,4,0
11,1,10:18.0,J. Collins misses free throw 1 of 2,,4,0
12,1,10:18.0,Offensive rebound by Team,,4,0
13,1,10:18.0,J. Collins makes free throw 2 of 2,,5,0
14,1,10:10.0,,I. Smith misses 2-pt jump shot from 15 ft,5,0
15,1,10:04.0,Defensive rebound by J. Collins,,5,0
16,1,9:55.0,T. Dorsey misses 3-pt jump shot from 26 ft,,5,0
17,1,9:52.0,,Defensive rebound by I. Smith,5,0
18,1,9:47.0,,Turnover by R. Bullock (lost ball; steal by M. Delaney),5,0
19,1,9:39.0,T. Dorsey misses 2-pt layup from 2 ft,,5,0
20,1,9:37.0,Offensive rebound by T. Dorsey,,5,0
21,1,9:36.0,Turnover by M. Delaney (step out of bounds),,5,0
22,1,9:36.0,,Detroit full timeout,5,0
23,1,9:19.0,,I. Smith makes 2-pt jump shot from 14 ft (assist by S. Johnson),5,2
24,1,8:59.0,M. Delaney misses 2-pt jump shot from 8 ft,,5,2
25,1,8:57.0,,Defensive rebound by A. Drummond,5,2
26,1,8:45.0,,R. Bullock misses 3-pt jump shot from 25 ft,5,2
27,1,8:41.0,,Offensive rebound by B. Griffin,5,2
28,1,8:31.0,,S. Johnson makes 3-pt jump shot from 22 ft (assist by I. Smith),5,5
29,1,8:07.0,M. Delaney makes 3-pt jump shot from 27 ft (assist by T. Dorsey),,8,5
30,1,7:53.0,,B. Griffin misses 2-pt jump shot from 16 ft,8,5
31,1,7:49.0,Defensive rebound by D. Dedmon,,8,5
32,1,7:44.0,T. Prince misses 3-pt jump shot from 27 ft,,8,5
33,1,7:40.0,,Defensive rebound by S. Johnson,8,5
34,1,7:33.0,,Turnover by B. Griffin (bad pass),8,5
35,1,7:18.0,D. Dedmon misses 2-pt jump shot from 15 ft,,8,5
36,1,7:15.0,,Defensive rebound by I. Smith,8,5
37,1,7:09.0,Violation by M. Delaney (kicked ball),,8,5
38,1,7:03.0,,R. Bullock misses 2-pt jump shot from 14 ft,8,5
39,1,6:58.0,Defensive rebound by D. Dedmon,,8,5
40,1,6:50.0,T. Dorsey makes 2-pt layup from 3 ft (assist by M. Delaney),,10,5
41,1,6:50.0,,Violation by A. Drummond (def goaltending),10,5
42,1,6:32.0,,R. Bullock misses 2-pt jump shot from 8 ft,10,5
43,1,6:30.0,,Offensive rebound by Team,10,5
44,1,6:30.0,M. Plumlee enters the game for J. Collins,,10,5
45,1,6:30.0,,Personal foul by T. Prince (drawn by R. Bullock),10,5
46,1,6:18.0,,S. Johnson misses 3-pt jump shot from 27 ft,10,5
47,1,6:14.0,Defensive rebound by T. Prince,,10,5
48,1,6:01.0,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Prince),,12,5
49,1,5:47.0,,B. Griffin makes 3-pt jump shot from 24 ft,12,8
50,1,5:30.0,M. Delaney misses 3-pt jump shot from 26 ft,,12,8
51,1,5:27.0,,Defensive rebound by A. Drummond,12,8
52,1,5:26.0,,Personal foul by M. Delaney (drawn by I. Smith),12,8
53,1,5:26.0,,A. Tolliver enters the game for A. Drummond,12,8
54,1,5:15.0,,S. Johnson makes 2-pt layup at rim (assist by B. Griffin),12,10
55,1,4:57.0,T. Dorsey misses 2-pt dunk from 1 ft (block by R. Bullock),,12,10
56,1,4:54.0,,Defensive rebound by B. Griffin,12,10
57,1,4:52.0,,Shooting foul by T. Prince (drawn by B. Griffin),12,10
58,1,4:52.0,,B. Griffin misses free throw 1 of 2,12,10
59,1,4:52.0,,Offensive rebound by Team,12,10
60,1,4:52.0,M. Muscala enters the game for T. Prince,,12,10
61,1,4:52.0,D. Bembry enters the game for D. Dedmon,,12,10
62,1,4:52.0,,B. Griffin makes free throw 2 of 2,12,11
63,1,4:35.0,T. Dorsey misses 3-pt jump shot from 26 ft,,12,11
64,1,4:34.0,,Defensive rebound by Team,12,11
65,1,4:34.0,,J. Ennis enters the game for S. Johnson,12,11
66,1,4:26.0,,I. Smith makes 2-pt jump shot from 16 ft,12,13
67,1,4:03.0,M. Delaney misses 2-pt layup from 4 ft,,12,13
68,1,4:00.0,,Defensive rebound by I. Smith,12,13
69,1,3:58.0,,R. Bullock makes 2-pt layup at rim (assist by I. Smith),12,15
70,1,3:58.0,Atlanta full timeout,,12,15
71,1,3:58.0,I. Taylor enters the game for T. Dorsey,,12,15
72,1,3:58.0,A. White enters the game for M. Delaney,,12,15
73,1,3:43.0,Turnover by A. White (lost ball; steal by R. Bullock),,12,15
74,1,3:32.0,,R. Bullock misses 3-pt jump shot from 26 ft (block by D. Bembry),12,15
75,1,3:29.0,Defensive rebound by D. Bembry,,12,15
76,1,3:27.0,A. White misses 3-pt jump shot from 26 ft,,12,15
77,1,3:22.0,,Defensive rebound by J. Ennis,12,15
78,1,3:15.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by I. Smith),12,18
79,1,2:53.0,A. White misses 2-pt layup from 4 ft,,12,18
80,1,2:53.0,,Defensive rebound by Team,12,18
81,1,2:53.0,,J. Nelson enters the game for I. Smith,12,18
82,1,2:53.0,,L. Kennard enters the game for R. Bullock,12,18
83,1,2:53.0,Loose ball foul by A. White (drawn by B. Griffin),,12,18
84,1,2:40.0,,L. Kennard misses 2-pt jump shot from 14 ft,12,18
85,1,2:37.0,Defensive rebound by M. Muscala,,12,18
86,1,2:29.0,A. White makes 2-pt layup from 1 ft (assist by D. Bembry),,14,18
87,1,2:22.0,,Shooting foul by A. White (drawn by J. Ennis),14,18
88,1,2:22.0,,J. Ennis makes free throw 1 of 2,14,19
89,1,2:22.0,,A. Drummond enters the game for B. Griffin,14,19
90,1,2:22.0,,J. Ennis makes free throw 2 of 2,14,20
91,1,2:11.0,D. Bembry misses 2-pt jump shot from 15 ft,,14,20
