,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,,A. Davis makes 2-pt layup from 4 ft (assist by R. Rondo),0,2
1,1,11:25.0,Turnover by J. Martin (bad pass; steal by E. Moore),,0,2
2,1,11:19.0,,E. Moore makes 2-pt dunk at rim,0,4
3,1,11:05.0,Turnover by K. Simmons (bad pass),,0,4
4,1,10:50.0,,J. Holiday misses 2-pt layup from 7 ft (block by D. Brooks),0,4
5,1,10:50.0,Defensive rebound by J. Martin,,0,4
6,1,10:35.0,Turnover by B. McLemore (bad pass; steal by J. Holiday),,0,4
7,1,10:29.0,,J. Holiday makes 2-pt dunk at rim,0,6
8,1,10:21.0,Memphis full timeout,,0,6
9,1,10:08.0,J. Martin misses 2-pt jump shot from 17 ft,,0,6
10,1,10:05.0,,Defensive rebound by J. Holiday,0,6
11,1,10:04.0,,Personal foul by J. Martin (drawn by R. Rondo),0,6
12,1,9:52.0,,Shooting foul by M. Gasol (drawn by A. Davis),0,6
13,1,9:52.0,,A. Davis makes free throw 1 of 2,0,7
14,1,9:52.0,,A. Davis makes free throw 2 of 2,0,8
15,1,9:34.0,K. Simmons misses 2-pt layup from 11 ft (block by A. Davis),,0,8
16,1,9:30.0,,Defensive rebound by R. Rondo,0,8
17,1,9:29.0,,N. Mirotić makes 2-pt dunk at rim (assist by R. Rondo),0,10
18,1,9:17.0,J. Martin misses 2-pt jump shot from 18 ft,,0,10
19,1,9:14.0,,Defensive rebound by N. Mirotić,0,10
20,1,9:08.0,,Turnover by J. Holiday (lost ball; steal by D. Brooks),0,10
21,1,9:04.0,Personal block foul by J. Holiday (drawn by D. Brooks),,0,10
22,1,8:50.0,M. Gasol misses 2-pt jump shot from 9 ft,,0,10
23,1,8:46.0,Offensive rebound by M. Gasol,,0,10
24,1,8:42.0,D. Brooks makes 2-pt jump shot from 14 ft,,2,10
25,1,8:31.0,,Turnover by R. Rondo (lost ball; steal by M. Gasol),2,10
26,1,8:26.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by D. Brooks),,5,10
27,1,8:14.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by J. Holiday),5,12
28,1,7:59.0,B. McLemore makes 2-pt jump shot from 17 ft (assist by J. Martin),,7,12
29,1,7:50.0,,A. Davis makes 2-pt jump shot from 15 ft,7,14
30,1,7:33.0,B. McLemore misses 2-pt jump shot from 15 ft,,7,14
31,1,7:30.0,,Defensive rebound by N. Mirotić,7,14
32,1,7:22.0,,Turnover by R. Rondo (bad pass),7,14
33,1,7:22.0,M. Brooks enters the game for D. Brooks,,7,14
34,1,7:22.0,M. Teague enters the game for K. Simmons,,7,14
35,1,7:09.0,Turnover by M. Gasol (traveling),,7,14
